"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Twins","2154","1458","12924.0","4308","1476","78","46","31","359","144","113","144","33","75","29","16","52",".987","","2154","1458","12924.0","4308","1476","78","46","31","359","144","113","144","33","75","29","16","52",".987","","1","-6","2","-5","23","20","2180","1791",".822","606","","10","-0.3","-7.7","11.0","12.0","15.1","1.0","","","14.1","0.0 %","276","5.5 %","181","32.3 %","158","55.3 %","123","77.3 %","238","98.3 %","2710"
"Yankees","2115","1458","13038.0","4346","1467","95","54","38","240","102","76","102","29","65","26","21","83",".984","","2115","1458","13038.0","4346","1467","95","54","38","240","102","76","102","29","65","26","21","83",".984","","0","-9","1","-4","28","18","1893","1533",".810","574","","4","-1.8","-6.2","16.3","0.2","8.5","0.2","","","8.5","0.0 %","224","3.2 %","186","24.2 %","128","58.8 %","102","72.3 %","188","97.8 %","2500"
"Mariners","2134","1458","12963.0","4321","1422","103","67","35","355","149","119","147","24","80","26","15","73",".982","","2134","1458","12963.0","4321","1422","103","67","35","355","149","119","147","24","80","26","15","73",".982","","1","11","12","-3","-16","5","2103","1688",".803","570","","20","12.6","8.4","0.5","-11.4","10.1","4.1","","","8.1","0.0 %","228","6.4 %","203","25.6 %","133","50.7 %","77","82.2 %","214","97.6 %","2702"
"Giants","2188","1458","13068.0","4356","1522","87","49","37","335","128","107","128","28","73","37","6","55",".985","","2188","1458","13068.0","4356","1522","87","49","37","335","128","107","128","28","73","37","6","55",".985","","1","-2","-9","-6","-28","-44","2190","1795",".820","477","","4","-6.6","-1.6","3.8","6.6","2.2","-1.0","","","7.2","0.0 %","240","3.1 %","191","26.1 %","161","50.7 %","146","80.0 %","230","97.9 %","2709"
"Nationals","2131","1458","13020.0","4340","1434","86","45","39","334","139","98","139","29","94","29","10","44",".985","","2131","1458","13020.0","4340","1434","86","45","39","334","139","98","139","29","94","29","10","44",".985","","-1","-3","3","-10","-23","-44","1978","1609",".813","525","","0","-1.9","-0.5","6.4","2.4","6.3","0.4","","","2.3","0.0 %","202","3.6 %","193","31.9 %","163","53.3 %","90","75.3 %","182","98.0 %","2540"
"Tigers","2158","1458","12783.0","4261","1389","84","44","39","369","147","120","147","12","85","37","14","53",".985","","2158","1458","12783.0","4261","1389","84","44","39","369","147","120","147","12","85","37","14","53",".985","","-3","-9","-12","-12","-18","-69","2152","1747",".812","504","","-12","-14.2","-5.5","9.8","13.1","3.2","-1.6","","","2.2","0.0 %","312","3.7 %","218","23.1 %","160","54.6 %","99","67.7 %","192","97.9 %","2727"
"Phillies","2135","1458","12969.0","4323","1497","82","41","40","336","146","107","146","23","91","30","17","50",".986","","2135","1458","12969.0","4323","1497","82","41","40","336","146","107","146","23","91","30","17","50",".986","","-3","-2","4","-4","-40","-57","2048","1650",".806","522","","1","-0.2","2.3","-11.4","11.6","2.3","0.4","","","-0.7","0.0 %","260","2.0 %","196","21.1 %","147","56.7 %","90","78.2 %","216","98.2 %","2632"
"Royals","2175","1458","12939.0","4313","1524","79","45","33","359","145","109","145","38","87","30","11","48",".987","","2175","1458","12939.0","4313","1524","79","45","33","359","145","109","145","38","87","30","11","48",".987","","-3","-4","-12","6","-14","-42","2182","1744",".799","576","","13","-4.1","-0.3","-6.4","12.0","1.1","-0.5","","","-2.9","0.0 %","260","4.0 %","199","22.5 %","147","48.0 %","102","74.0 %","208","97.7 %","2728"
"Pirates","2193","1458","12966.0","4322","1662","99","60","37","387","156","126","156","22","95","28","15","58",".984","","2193","1458","12966.0","4322","1662","99","60","37","387","156","126","156","22","95","28","15","58",".984","","0","5","4","0","10","6","2037","1638",".804","535","","-19","4.0","1.6","3.0","-10.1","-1.5","0.6","","","-5.5","0.0 %","248","2.9 %","207","25.8 %","155","45.2 %","115","76.7 %","210","97.5 %","2678"
"Rangers","2095","1458","12909.0","4303","1616","108","60","45","443","173","141","173","43","87","28","8","63",".982","","2095","1458","12909.0","4303","1616","108","60","45","443","173","141","173","43","87","28","8","63",".982","","1","-1","3","2","7","-1","2182","1773",".813","573","","-13","0.2","1.3","-10.4","-3.2","-12.1","-1.3","","","-9.1","0.0 %","256","2.4 %","166","16.7 %","156","44.7 %","94","75.1 %","225","97.6 %","2807"
"Braves","2143","1458","12972.0","4324","1578","97","52","45","340","138","113","139","34","99","30","20","58",".984","","2143","1458","12972.0","4324","1578","97","52","45","340","138","113","139","34","99","30","20","58",".984","","-2","3","-3","-10","-31","-23","2116","1692",".800","536","","-12","-2.1","0.8","-12.0","3.7","-9.6","-1.5","","","-10.6","0.0 %","238","3.0 %","232","23.3 %","159","42.7 %","110","77.4 %","226","97.8 %","2686"
"Brewers","2282","1458","13011.0","4337","1624","115","68","46","402","165","122","164","20","99","32","11","50",".981","","2282","1458","13011.0","4337","1624","115","68","46","402","165","122","164","20","99","32","11","50",".981","","-2","6","5","-5","12","22","1929","1535",".796","562","","-4","12.7","1.1","-4.3","-19.7","-10.2","0.4","","","-12.2","0.0 %","240","2.3 %","175","23.0 %","165","47.1 %","85","76.9 %","199","97.8 %","2605"
"Mets","2211","1458","12912.0","4304","1456","92","46","45","319","128","99","127","32","102","29","7","55",".984","","2211","1458","12912.0","4304","1456","92","46","45","319","128","99","127","32","102","29","7","55",".984","","-2","-3","10","-6","-62","-75","2101","1676",".798","507","","-37","9.6","-4.1","-11.8","0.8","-5.5","0.6","","","-12.5","0.0 %","234","1.0 %","203","21.1 %","166","38.7 %","119","69.2 %","214","97.6 %","2603"
"Diamondbacks","2188","1458","12969.0","4323","1604","108","68","40","358","142","116","141","29","69","32","12","82",".982","","2188","1458","12969.0","4323","1604","108","68","40","358","142","116","141","29","69","32","12","82",".982","","-1","-1","-15","0","21","12","2007","1639",".817","497","","-8","-10.2","-1.6","0.2","-10.1","-21.7","-5.6","","","-19.7","0.0 %","211","4.2 %","190","21.4 %","126","53.6 %","110","75.8 %","186","97.6 %","2502"
"White Sox","2092","1458","12795.0","4265","1541","114","78","35","384","159","119","157","32","120","26","11","67",".981","","2092","1458","12795.0","4265","1541","114","78","35","384","159","119","157","32","120","26","11","67",".981","","-6","5","4","-10","2","-15","2051","1669",".814","623","","-17","7.4","0.7","1.5","-17.2","-7.5","0.2","","","-21.5","0.0 %","266","5.4 %","221","20.0 %","165","59.8 %","87","73.8 %","221","97.2 %","2695"
"Padres","2205","1458","12876.0","4292","1623","113","53","60","441","178","140","179","30","76","34","8","73",".981","","2205","1458","12876.0","4292","1623","113","53","60","441","178","140","179","30","76","34","8","73",".981","","0","3","0","-1","-16","0","2059","1626",".790","552","","-15","2.9","3.1","-28.7","-8.8","-31.5","-3.3","","","-25.5","0.0 %","225","4.1 %","195","22.2 %","167","44.0 %","116","74.5 %","188","97.4 %","2580"
"Blue Jays","2276","1458","13185.0","4395","1570","92","49","42","366","146","114","145","26","119","26","8","53",".985","","2276","1458","13185.0","4395","1570","92","49","42","366","146","114","145","26","119","26","8","53",".985","","-1","-2","2","9","-19","-18","2106","1708",".811","498","","-2","6.8","-3.0","-27.0","6.5","-16.7","-1.2","","","-25.7","0.0 %","293","3.6 %","247","19.3 %","166","48.4 %","93","80.3 %","198","97.6 %","2668"
"Orioles","2176","1458","12969.0","4323","1609","94","46","45","438","178","143","178","33","77","34","8","53",".984","","2176","1458","12969.0","4323","1609","94","46","45","438","178","143","178","33","77","34","8","53",".984","","0","-1","-5","6","-15","-21","2106","1684",".800","557","","-23","-13.2","-0.8","-21.5","5.6","-29.9","-6.2","","","-29.9","0.0 %","297","2.6 %","191","27.1 %","144","42.3 %","111","71.0 %","200","98.1 %","2697"
"Astros","2242","1458","13014.0","4338","1526","99","49","46","376","153","115","153","39","102","14","16","86",".983","","2242","1458","13014.0","4338","1526","99","49","46","376","153","115","153","39","102","14","16","86",".983","","-6","7","10","1","-17","-11","1855","1463",".789","559","","2","6.1","0.8","-32.2","-4.3","-29.6","-3.6","","","-41.6","0.0 %","253","4.2 %","189","20.8 %","159","49.5 %","97","78.4 %","222","97.6 %","2365"
"Athletics","2171","1458","12879.0","4293","1597","121","72","49","362","163","120","165","26","111","42","16","84",".980","","2171","1458","12879.0","4293","1597","121","72","49","362","163","120","165","26","111","42","16","84",".980","","-4","-4","-10","-5","-22","-48","2219","1832",".826","497","","-37","-15.0","-3.0","-11.4","-6.0","-35.4","-6.7","","","-42.4","0.0 %","260","3.9 %","179","21.8 %","170","45.4 %","108","76.9 %","208","97.0 %","2730"
