"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Red Sox","2118","1458","13341.0","4447","1390","107","43","62","332","127","109","127","25","61","39","19","43",".982","","2118","1458","13341.0","4447","1390","107","43","62","332","127","109","127","25","61","39","19","43",".982","","6","-4","5","15","17","69","1930","1581",".819","529","","19","0.7","-5.2","32.1","0.1","27.7","3.1","","","38.7","0.0 %","305","4.9 %","163","35.7 %","154","56.6 %","106","80.5 %","220","97.5 %","2476"
"Angels","2176","1458","12966.0","4322","1463","80","44","36","323","136","101","136","25","71","43","10","57",".986","","2176","1458","12966.0","4322","1463","80","44","36","323","136","101","136","25","71","43","10","57",".986","","4","7","-3","3","-1","30","2134","1738",".814","522","","19","-0.4","3.7","15.4","10.6","29.3","4.2","","","37.3","0.0 %","233","4.1 %","171","34.5 %","139","59.1 %","88","77.0 %","204","98.6 %","2595"
"Marlins","2178","1458","12984.0","4328","1554","73","38","33","368","157","110","156","18","67","30","12","57",".988","","2178","1458","12984.0","4328","1554","73","38","33","368","157","110","156","18","67","30","12","57",".988","","2","3","-5","9","15","11","2110","1712",".811","557","","3","-2.5","4.2","13.5","9.7","24.9","3.3","","","27.9","0.0 %","218","2.8 %","211","25.8 %","155","49.1 %","108","75.3 %","227","98.1 %","2725"
"Dodgers","2299","1458","13002.0","4334","1367","88","40","47","305","132","100","131","26","68","28","19","40",".985","","2299","1458","13002.0","4334","1367","88","40","47","305","132","100","131","26","68","28","19","40",".985","","4","1","0","2","45","66","1764","1453",".824","513","","19","2.2","3.1","21.7","-4.4","22.7","4.4","","","26.7","0.0 %","206","3.9 %","155","33.8 %","145","51.7 %","89","76.3 %","198","97.9 %","2422"
"Cubs","2397","1458","13026.0","4342","1656","95","40","52","338","139","105","139","34","121","35","13","73",".984","","2397","1458","13026.0","4342","1656","95","40","52","338","139","105","139","34","121","35","13","73",".984","","3","0","-2","-2","37","22","1967","1627",".827","462","","23","4.3","-2.7","19.4","3.5","24.5","3.9","","","23.5","0.0 %","233","5.2 %","213","28.4 %","169","44.0 %","100","77.5 %","200","97.9 %","2520"
"Rays","2140","1458","13005.0","4335","1433","100","56","44","317","129","96","129","34","83","22","15","83",".983","","2140","1458","13005.0","4335","1433","100","56","44","317","129","96","129","34","83","22","15","83",".983","","-1","0","6","-9","64","58","1983","1597",".805","615","","-1","0.3","-2.2","32.7","-7.9","22.8","3.1","","","21.8","0.0 %","237","8.8 %","193","23.4 %","154","53.9 %","104","77.7 %","197","97.3 %","2640"
"Reds","2110","1458","12870.0","4290","1623","81","44","35","302","133","97","133","21","79","42","9","62",".987","","2110","1458","12870.0","4290","1623","81","44","35","302","133","97","133","21","79","42","9","62",".987","","6","0","17","8","2","27","2039","1646",".807","537","","14","10.9","3.5","-4.5","2.0","11.9","4.0","","","20.9","0.0 %","280","4.1 %","194","25.2 %","147","58.0 %","100","77.7 %","202","97.8 %","2604"
"Cardinals","2207","1458","13053.0","4351","1595","94","42","51","424","164","141","164","35","54","32","7","38",".984","","2207","1458","13053.0","4351","1595","94","42","51","424","164","141","164","35","54","32","7","38",".984","","3","-7","6","0","19","32","2115","1749",".827","464","","-13","0.9","2.6","2.2","2.2","7.9","1.3","","","16.9","0.0 %","243","2.3 %","174","21.8 %","133","54.9 %","102","70.6 %","218","97.7 %","2621"
"Indians","2199","1458","12966.0","4322","1446","76","36","38","396","168","124","168","23","50","37","9","48",".987","","2199","1458","12966.0","4322","1446","76","36","38","396","168","124","168","23","50","37","9","48",".987","","4","5","7","16","-13","33","1827","1524",".834","440","","36","3.6","3.6","-10.6","8.2","4.9","1.8","","","14.9","0.0 %","248","8.0 %","176","38.9 %","126","58.7 %","92","76.9 %","182","97.9 %","2310"
"Rockies","2177","1458","12939.0","4313","1730","77","36","41","408","170","135","170","36","67","27","18","69",".987","","2177","1458","12939.0","4313","1730","77","36","41","408","170","135","170","36","67","27","18","69",".987","","2","4","-14","8","19","7","2118","1690",".798","541","","23","-12.7","4.4","2.6","14.2","8.5","-0.8","","","14.5","0.0 %","253","3.8 %","209","29.4 %","180","60.7 %","117","83.6 %","226","98.2 %","2554"
