"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Braves","2028","1458","13008.0","4336","1654","86","44","42","348","150","112","148","52","98","39","10","54",".986","","2028","1458","13008.0","4336","1654","86","44","42","348","150","112","148","52","98","39","10","54",".986","","3","-1","2","11","48","85","2178","1821",".836","531","","5","8.7","2.5","27.5","5.7","44.4","8.2","78","2.3","53.7","0.0 %","319","8.7 %","115","32.0 %","103","63.8 %","116","79.7 %","231","97.9 %","2667"
"Angels","2108","1458","12900.0","4300","1577","98","50","47","314","143","102","141","34","127","41","11","38",".984","","2108","1458","12900.0","4300","1577","98","50","47","314","143","102","141","34","127","41","11","38",".984","","-3","-1","2","23","28","44","2242","1883",".840","471","","34","4.3","0.7","34.7","-4.5","35.2","5.5","66","3.4","37.6","0.0 %","328","8.0 %","112","30.9 %","123","58.3 %","120","80.2 %","217","97.4 %","2748"
"Reds","2039","1458","13077.0","4359","1602","89","46","43","288","114","92","115","39","78","43","7","34",".985","","2039","1458","13077.0","4359","1602","89","46","43","288","114","92","115","39","78","43","7","34",".985","","3","-3","4","8","22","57","2171","1819",".838","439","","34","2.6","-2.5","4.8","5.0","9.9","1.5","67","5.9","27.8","0.0 %","362","13.0 %","108","29.4 %","92","62.4 %","141","81.7 %","246","98.5 %","2664"
"Red Sox","2146","1458","12987.0","4329","1687","101","50","49","392","159","121","159","44","127","31","11","42",".984","","2146","1458","12987.0","4329","1687","101","50","49","392","159","121","159","44","127","31","11","42",".984","","-3","6","1","4","49","57","2199","1857",".845","494","","-17","-3.4","7.9","12.2","13.9","30.6","3.6","64","1.8","25.4","0.0 %","335","6.7 %","120","26.7 %","105","65.2 %","132","76.7 %","189","98.3 %","2724"
"Cubs","2167","1458","12723.0","4241","1583","105","59","45","337","150","108","149","33","125","36","9","44",".982","","2167","1458","12723.0","4241","1583","105","59","45","337","150","108","149","33","125","36","9","44",".982","","-3","0","-10","-9","20","-13","2148","1773",".825","466","","-9","-5.7","-1.0","34.0","2.0","29.3","2.8","70","3.5","24.8","0.0 %","321","6.1 %","98","25.6 %","121","52.7 %","131","81.8 %","214","97.5 %","2724"
"White Sox","2084","1458","13011.0","4337","1578","70","35","33","375","154","121","154","37","104","41","9","66",".988","","2084","1458","13011.0","4337","1578","70","35","33","375","154","121","154","37","104","41","9","66",".988","","6","4","1","-9","1","7","2143","1807",".843","476","","-1","-1.4","5.6","1.4","12.1","17.7","2.8","71","-2.5","24.2","0.0 %","325","9.8 %","92","30.2 %","106","61.5 %","122","81.5 %","232","98.4 %","2630"
"Phillies","2104","1458","13062.0","4354","1560","101","64","37","278","119","87","119","35","99","56","9","30",".983","","2104","1458","13062.0","4354","1560","101","64","37","278","119","87","119","35","99","56","9","30",".983","","4","-2","11","12","-26","9","2081","1732",".832","388","","11","7.9","2.3","4.9","-1.6","13.5","3.7","52","2.6","23.1","0.0 %","345","4.9 %","123","20.6 %","107","55.1 %","138","80.0 %","215","97.9 %","2572"
"Diamondbacks","2014","1458","12903.0","4301","1676","90","50","37","362","146","123","146","46","48","37","9","52",".985","","2014","1458","12903.0","4301","1676","90","50","37","362","146","123","146","46","48","37","9","52",".985","","3","-5","5","6","13","31","2203","1829",".830","462","","19","6.4","-1.6","-24.0","18.0","-1.2","0.9","69","0.9","12.8","0.0 %","419","6.7 %","119","34.3 %","108","49.2 %","128","84.4 %","211","97.7 %","2686"
"Dodgers","2219","1458","13047.0","4349","1669","98","49","49","319","140","99","140","53","92","43","11","46",".984","","2219","1458","13047.0","4349","1669","98","49","49","319","140","99","140","53","92","43","11","46",".984","","0","-8","5","2","3","-7","2107","1795",".852","393","","-16","4.9","-5.2","5.7","1.5","6.9","1.5","59","-0.6","11.3","0.0 %","315","11.5 %","96","25.9 %","108","57.4 %","129","79.1 %","220","97.6 %","2666"
"Rays","2250","1458","13137.0","4379","1641","114","59","54","364","155","120","155","73","101","33","6","59",".981","","2250","1458","13137.0","4379","1641","114","59","54","364","155","120","155","73","101","33","6","59",".981","","4","5","0","-3","21","42","2107","1736",".824","458","","-10","0.6","4.7","15.9","-13.0","8.2","1.8","57","-3.3","10.0","0.0 %","261","9.5 %","116","22.3 %","103","54.4 %","114","78.1 %","228","97.6 %","2583"
