"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Twins","2080","1449","13002.0","4333","1414","74","45","29","320","123","99","124","39","57","27","5","62",".987","","2080","1449","13002.0","4333","1414","74","45","29","320","123","99","124","39","57","27","5","62",".987","","0","0","0","0","0","0","0","0","","0","","","9.5","-3.0","45.2","8.7","60.4","9.8","","","60.4","","","","","","","","","","","",""
"Cardinals","2230","1458","13017.0","4337","1664","102","56","45","375","172","118","170","13","86","34","9","40",".983","","2230","1458","13017.0","4337","1664","102","56","45","375","172","118","170","13","86","34","9","40",".983","","0","0","0","0","0","0","0","0","","0","","","11.5","8.4","19.6","6.2","45.7","8.9","","","45.7","","","","","","","","","","","",""
"Dodgers","2116","1458","13119.0","4373","1678","90","44","44","328","138","105","138","21","110","53","12","33",".985","","2116","1458","13119.0","4373","1678","90","44","44","328","138","105","138","21","110","53","12","33",".985","","0","0","0","0","0","0","0","0","","0","","","-4.8","7.1","27.6","8.3","38.2","5.6","","","38.2","","","","","","","","","","","",""
"Giants","2099","1458","12936.0","4311","1625","91","61","30","400","168","131","168","26","87","36","7","36",".985","","2099","1458","12936.0","4311","1625","91","61","30","400","168","131","168","26","87","36","7","36",".985","","0","0","0","0","0","0","0","0","","0","","","-3.3","4.2","29.3","3.6","33.8","4.2","","","33.8","","","","","","","","","","","",""
"Angels","2089","1458","13071.0","4357","1568","87","46","41","356","154","111","152","22","78","51","7","52",".986","","2089","1458","13071.0","4357","1568","87","46","41","356","154","111","152","22","78","51","7","52",".986","","0","0","0","0","0","0","0","0","","0","","","0.5","-1.7","28.9","5.9","33.4","4.4","","","33.4","","","","","","","","","","","",""
"Braves","2107","1449","13206.0","4402","1815","113","65","46","437","167","131","169","25","96","55","12","40",".982","","2107","1449","13206.0","4402","1815","113","65","46","437","167","131","169","25","96","55","12","40",".982","","0","0","0","0","0","0","0","0","","0","","","0.5","-0.7","26.6","-1.1","25.4","3.4","","","25.4","","","","","","","","","","","",""
"Mariners","2039","1458","13008.0","4335","1514","88","54","34","342","135","110","134","24","66","35","7","42",".985","","2039","1458","13008.0","4335","1514","88","54","34","342","135","110","134","24","66","35","7","42",".985","","0","0","0","0","0","0","0","0","","0","","","-10.5","-1.8","31.5","5.9","25.0","1.1","","","25.0","","","","","","","","","","","",""
"Orioles","2004","1458","13056.0","4352","1717","90","49","41","407","173","123","173","20","103","44","22","54",".985","","2004","1458","13056.0","4352","1717","90","49","41","407","173","123","173","20","103","44","22","54",".985","","0","0","0","0","0","0","0","0","","0","","","0.3","-1.3","4.4","16.9","20.3","2.6","","","20.3","","","","","","","","","","","",""
"Mets","2177","1449","12984.0","4327","1625","144","79","65","325","144","107","143","23","151","53","11","22",".976","","2177","1449","12984.0","4327","1625","144","79","65","325","144","107","143","23","151","53","11","22",".976","","0","0","0","0","0","0","0","0","","0","","","3.1","2.4","25.7","-14.1","17.1","3.1","","","17.1","","","","","","","","","","","",""
"Devil Rays","1818","1449","12963.0","4321","1554","125","59","63","407","171","137","170","16","92","53","13","62",".979","","1818","1449","12963.0","4321","1554","125","59","63","407","171","137","170","16","92","53","13","62",".979","","0","0","0","0","0","0","0","0","","0","","","4.4","1.4","15.6","-7.9","13.5","2.5","","","13.5","","","","","","","","","","","",""
"Pirates","2187","1449","12714.0","4237","1888","115","69","45","409","185","126","181","20","94","44","11","34",".982","","2187","1449","12714.0","4237","1888","115","69","45","409","185","126","181","20","94","44","11","34",".982","","0","0","0","0","0","0","0","0","","0","","","7.9","8.2","-7.2","1.2","10.0","3.6","","","10.0","","","","","","","","","","","",""
"Blue Jays","2034","1458","12945.0","4315","1607","107","59","48","374","162","119","161","35","107","41","18","57",".982","","2034","1458","12945.0","4315","1607","107","59","48","374","162","119","161","35","107","41","18","57",".982","","0","0","0","0","0","0","0","0","","0","","","4.8","1.8","1.3","-0.9","6.9","1.8","","","6.9","","","","","","","","","","","",""
"Reds","2154","1458","13083.0","4360","1764","120","74","46","392","177","120","173","19","67","42","28","52",".981","","2154","1458","13083.0","4360","1764","120","74","46","392","177","120","173","19","67","42","28","52",".981","","0","0","0","0","0","0","0","0","","0","","","9.4","-2.6","-5.5","2.4","3.7","1.8","","","3.7","","","","","","","","","","","",""
"Rockies","2180","1458","12840.0","4278","1689","112","69","41","379","157","117","159","21","87","23","12","42",".982","","2180","1458","12840.0","4278","1689","112","69","41","379","157","117","159","21","87","23","12","42",".982","","0","0","0","0","0","0","0","0","","0","","","4.3","-1.3","5.8","-7.6","1.2","0.7","","","1.2","","","","","","","","","","","",""
"Diamondbacks","2107","1458","13020.0","4341","1498","89","55","33","274","119","85","117","26","77","43","13","48",".985","","2107","1458","13020.0","4341","1498","89","55","33","274","119","85","117","26","77","43","13","48",".985","","0","0","0","0","0","0","0","0","","0","","","-5.2","-4.8","7.2","2.0","-0.7","-1.9","","","-0.7","","","","","","","","","","","",""
"Brewers","2110","1458","12891.0","4293","1631","103","50","52","366","157","114","156","12","109","49","12","64",".983","","2110","1458","12891.0","4293","1631","103","50","52","366","157","114","156","12","109","49","12","64",".983","","0","0","0","0","0","0","0","0","","0","","","-0.7","-5.0","-0.9","5.5","-1.1","-0.7","","","-1.1","","","","","","","","","","","",""
"Astros","2202","1458","13005.0","4335","1657","83","45","37","333","151","110","149","22","104","36","5","38",".986","","2202","1458","13005.0","4335","1657","83","45","37","333","151","110","149","22","104","36","5","38",".986","","0","0","0","0","0","0","0","0","","0","","","7.8","1.1","-21.8","9.2","-3.7","0.8","","","-3.7","","","","","","","","","","","",""
"Phillies","2049","1449","13047.0","4349","1698","88","46","41","381","157","121","159","27","74","34","12","68",".986","","2049","1449","13047.0","4349","1698","88","46","41","381","157","121","159","27","74","34","12","68",".986","","0","0","0","0","0","0","0","0","","0","","","-3.1","-6.6","-8.8","12.1","-6.3","-1.9","","","-6.3","","","","","","","","","","","",""
"Rangers","2216","1458","12957.0","4317","1675","99","48","49","373","152","121","152","13","74","28","11","84",".984","","2216","1458","12957.0","4317","1675","99","48","49","373","152","121","152","13","74","28","11","84",".984","","0","0","0","0","0","0","0","0","","0","","","-2.9","-3.5","-4.4","4.0","-6.8","-1.6","","","-6.8","","","","","","","","","","","",""
"Cubs","2097","1458","12972.0","4325","1494","115","63","51","332","146","108","146","3","112","54","15","44",".981","","2097","1458","12972.0","4325","1494","115","63","51","332","146","108","146","3","112","54","15","44",".981","","0","0","0","0","0","0","0","0","","0","","","-10.8","4.1","2.3","-5.1","-9.6","-2.8","","","-9.6","","","","","","","","","","","",""
"White Sox","2018","1458","12807.0","4269","1586","98","50","46","390","160","123","159","16","99","38","9","54",".984","","2018","1458","12807.0","4269","1586","98","50","46","390","160","123","159","16","99","38","9","54",".984","","0","0","0","0","0","0","0","0","","0","","","-10.9","-0.2","4.4","-5.5","-12.2","-3.7","","","-12.2","","","","","","","","","","","",""
"Red Sox","1951","1458","13014.0","4335","1632","104","58","45","332","143","102","140","19","118","50","20","31",".983","","1951","1458","13014.0","4335","1632","104","58","45","332","143","102","140","19","118","50","20","31",".983","","0","0","0","0","0","0","0","0","","0","","","-14.5","-1.2","2.1","0.6","-13.0","-4.7","","","-13.0","","","","","","","","","","","",""
"Royals","2041","1458","12969.0","4322","1697","129","61","68","387","154","117","153","24","90","36","8","68",".979","","2041","1458","12969.0","4322","1697","129","61","68","387","154","117","153","24","90","36","8","68",".979","","0","0","0","0","0","0","0","0","","0","","","3.2","1.7","-21.2","-3.4","-19.8","-1.8","","","-19.8","","","","","","","","","","","",""
"Padres","2231","1458","12927.0","4308","1671","127","68","59","382","161","121","161","18","76","40","14","51",".979","","2231","1458","12927.0","4308","1671","127","68","59","382","161","121","161","18","76","40","14","51",".979","","0","0","0","0","0","0","0","0","","0","","","5.0","0.2","-19.5","-7.2","-21.5","-2.0","","","-21.5","","","","","","","","","","","",""
"Athletics","2108","1458","13068.0","4356","1789","102","50","51","362","143","115","144","14","68","46","9","40",".984","","2108","1458","13068.0","4356","1789","102","50","51","362","143","115","144","14","68","46","9","40",".984","","0","0","0","0","0","0","0","0","","0","","","-11.8","-1.9","-14.1","1.0","-26.8","-6.0","","","-26.8","","","","","","","","","","","",""
"Marlins","2100","1458","13107.0","4367","1628","106","65","39","378","167","123","166","25","93","61","6","55",".983","","2100","1458","13107.0","4367","1628","106","65","39","378","167","123","166","25","93","61","6","55",".983","","0","0","0","0","0","0","0","0","","0","","","0.9","1.5","-32.8","-0.6","-31.0","-3.8","","","-31.0","","","","","","","","","","","",""
"Indians","2036","1458","12822.0","4273","1654","112","58","53","379","165","125","163","23","126","59","15","52",".982","","2036","1458","12822.0","4273","1654","112","58","53","379","165","125","163","23","126","59","15","52",".982","","0","0","0","0","0","0","0","0","","0","","","-8.6","-0.3","-28.9","2.0","-35.9","-6.2","","","-35.9","","","","","","","","","","","",""
