"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Royals","2034","1458","13035.0","4345","1520","85","43","41","335","137","101","136","53","77","36","6","60",".986","","2034","1458","13035.0","4345","1520","85","43","41","335","137","101","136","53","77","36","6","60",".986","","2","5","15","15","50","90","2144","1805",".842","548","","50","17.7","4.4","33.4","4.8","60.3","11.6","69","2.7","68.0","0.0 %","366","18.3 %","71","36.8 %","136","66.4 %","104","81.7 %","208","98.0 %","2708"
"Orioles","2029","1458","13077.0","4359","1614","54","25","28","428","166","138","165","56","63","32","8","38",".991","","2029","1458","13077.0","4359","1614","54","25","28","428","166","138","165","56","63","32","8","38",".991","","3","7","5","6","13","22","2138","1807",".845","499","","45","5.9","5.0","14.9","11.2","36.9","6.6","47","2.8","45.7","0.0 %","376","10.6 %","66","31.6 %","98","59.4 %","101","80.9 %","220","98.7 %","2754"
"Rangers","2118","1467","13170.0","4390","1549","86","47","38","366","147","112","148","33","73","34","7","68",".986","","2118","1467","13170.0","4390","1549","86","47","38","366","147","112","148","33","73","34","7","68",".986","","1","3","8","0","24","39","2127","1775",".835","506","","26","11.4","1.2","20.1","-2.2","30.5","6.0","67","-0.4","33.1","0.0 %","395","9.2 %","87","34.6 %","110","57.0 %","107","83.2 %","190","98.0 %","2695"
"Reds","2108","1458","13263.0","4421","1643","76","37","38","342","131","106","131","42","70","35","8","44",".988","","2108","1458","13263.0","4421","1643","76","37","38","342","131","106","131","42","70","35","8","44",".988","","0","-6","-1","1","38","29","2140","1822",".851","477","","18","1.9","-2.7","22.0","2.6","23.8","3.5","53","1.8","25.6","0.0 %","414","9.2 %","76","34.8 %","115","58.9 %","90","84.5 %","187","98.2 %","2761"
"Yankees","2065","1458","13026.0","4342","1544","69","34","33","325","143","107","140","43","72","30","16","57",".988","","2065","1458","13026.0","4342","1544","69","34","33","325","143","107","140","43","72","30","16","57",".988","","2","-4","2","5","20","34","2170","1765",".813","561","","1","3.3","-2.2","5.3","8.7","15.1","2.3","73","2.0","24.1","0.0 %","353","5.5 %","73","34.2 %","117","60.7 %","117","83.8 %","197","98.3 %","2704"
"Diamondbacks","2134","1458","13455.0","4485","1733","75","41","34","338","137","107","137","76","48","22","10","84",".988","","2134","1458","13455.0","4485","1733","75","41","34","338","137","107","137","76","48","22","10","84",".988","","-1","-2","11","-5","69","81","2190","1833",".837","559","","44","10.9","-1.0","-2.2","16.1","23.8","4.8","68","-5.4","22.4","0.0 %","393","10.9 %","92","39.7 %","126","56.0 %","116","84.6 %","221","98.6 %","2815"
"Red Sox","2100","1458","13086.0","4362","1517","80","40","38","343","143","114","142","44","133","43","15","47",".987","","2100","1458","13086.0","4362","1517","80","40","38","343","143","114","142","44","133","43","15","47",".987","","-3","-2","6","5","14","13","2084","1731",".831","519","","20","-2.2","-2.7","21.4","8.2","24.7","2.6","68","3.6","19.4","0.0 %","393","5.8 %","69","29.3 %","140","52.5 %","118","88.2 %","195","98.2 %","2663"
"Brewers","2129","1458","12984.0","4328","1627","114","62","52","351","155","110","155","62","99","30","10","51",".981","","2129","1458","12984.0","4328","1627","114","62","52","351","155","110","155","62","99","30","10","51",".981","","-1","-1","12","7","29","59","2180","1786",".819","589","","3","10.8","1.5","18.9","-16.6","14.7","4.3","74","5.5","19.2","0.0 %","343","14.3 %","70","30.4 %","135","54.1 %","133","75.9 %","203","97.9 %","2803"
"Marlins","2030","1458","13140.0","4380","1687","88","49","38","361","144","115","144","37","90","37","16","53",".986","","2030","1458","13140.0","4380","1687","88","49","38","361","144","115","144","37","90","37","16","53",".986","","1","1","-6","-10","11","-9","2198","1857",".845","522","","-5","-1.0","4.2","4.3","9.5","16.9","2.6","51","-3.7","18.3","0.0 %","343","10.1 %","89","29.1 %","127","56.5 %","124","82.4 %","227","98.3 %","2767"
"Braves","2138","1458","13053.0","4351","1680","85","47","36","326","143","105","142","60","79","32","6","50",".986","","2138","1458","13053.0","4351","1680","85","47","36","326","143","105","142","60","79","32","6","50",".986","","1","3","-7","-10","48","46","2192","1843",".841","468","","-13","-6.0","4.3","6.9","4.6","9.8","0.2","53","0.4","17.2","0.0 %","273","6.1 %","82","29.9 %","117","62.7 %","110","82.5 %","228","98.0 %","2700"
"Cubs","2063","1458","13032.0","4344","1602","100","59","40","294","129","88","129","44","107","42","13","59",".984","","2063","1458","13032.0","4344","1602","100","59","40","294","129","88","129","44","107","42","13","59",".984","","5","0","-2","-2","20","11","2117","1800",".850","517","","-13","-0.7","0.3","15.8","-5.1","10.3","1.4","69","1.1","16.4","0.0 %","337","9.4 %","106","30.5 %","141","56.8 %","111","80.6 %","211","98.0 %","2772"
"Giants","2217","1458","13026.0","4342","1536","107","53","53","323","128","101","129","45","95","41","8","60",".982","","2217","1458","13026.0","4342","1536","107","53","53","323","128","101","129","45","95","41","8","60",".982","","0","-3","1","-8","19","16","2079","1741",".837","502","","24","3.6","0.7","16.0","-5.7","14.7","2.7","61","-0.4","14.3","0.0 %","371","9.9 %","101","30.7 %","140","52.4 %","124","79.6 %","206","98.2 %","2693"
"Dodgers","2228","1458","13053.0","4351","1723","109","63","43","391","162","119","161","58","63","40","10","66",".982","","2228","1458","13053.0","4351","1723","109","63","43","391","162","119","161","58","63","40","10","66",".982","","5","-2","-1","0","33","35","2060","1741",".845","477","","8","1.2","-3.1","17.6","-10.2","5.5","0.8","59","-3.3","13.2","0.0 %","326","7.6 %","79","32.6 %","132","57.8 %","109","83.4 %","175","97.4 %","2687"
"Twins","2115","1458","13053.0","4351","1723","81","39","37","415","178","130","178","41","73","38","6","50",".987","","2115","1458","13053.0","4351","1723","81","39","37","415","178","130","178","41","73","38","6","50",".987","","3","0","10","9","-29","-23","2367","1989",".840","463","","-15","9.7","0.9","-16.3","6.5","0.8","1.5","51","0.3","7.1","0.0 %","381","10.5 %","86","32.6 %","135","43.5 %","108","81.7 %","229","98.0 %","2925"
"Rays","2241","1467","13176.0","4392","1593","59","25","33","329","148","105","148","63","119","33","10","69",".990","","2241","1467","13176.0","4392","1593","59","25","33","329","148","105","148","63","119","33","10","69",".990","","-1","0","-3","6","19","29","2138","1786",".835","495","","35","-4.2","-2.9","4.5","13.3","10.7","0.5","56","-4.8","-0.1","0.0 %","326","4.0 %","76","25.6 %","137","53.0 %","134","84.6 %","195","98.6 %","2676"
