"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Mets","2195","1458","13290.0","4430","1642","93","50","42","327","127","96","127","49","87","29","11","47",".985","","2195","1458","13290.0","4430","1642","93","50","42","327","127","96","127","49","87","29","11","47",".985","","-3","-1","11","-3","-12","-16","2181","1817",".833","543","","-35","12.9","-2.8","-6.1","-2.1","1.8","2.1","57","1.4","-0.8","0.0 %","350","11.1 %","108","31.7 %","139","60.2 %","108","78.1 %","256","98.0 %","2785"
"Rockies","2114","1458","12924.0","4308","1855","90","44","45","388","163","117","162","62","89","33","13","62",".986","","2114","1458","12924.0","4308","1855","90","44","45","388","163","117","162","62","89","33","13","62",".986","","-3","2","-12","0","3","-17","2279","1907",".837","494","","28","0.5","0.1","-11.5","10.0","-1.0","0.0","64","-1.4","-3.4","0.0 %","462","9.0 %","89","30.3 %","122","58.1 %","148","82.8 %","227","98.1 %","2786"
"Padres","2277","1458","13095.0","4365","1698","83","38","44","301","143","95","142","55","107","43","7","51",".987","","2277","1458","13095.0","4365","1698","83","38","44","301","143","95","142","55","107","43","7","51",".987","","6","-3","-7","2","21","7","2199","1829",".832","521","","-24","-5.8","-7.4","-16.6","14.6","-15.2","-3.8","69","4.8","-6.4","0.0 %","368","7.5 %","93","33.5 %","176","56.7 %","134","87.5 %","231","98.4 %","2729"
"Indians","2151","1458","12972.0","4324","1503","98","50","45","338","135","112","135","47","84","31","10","71",".984","","2151","1458","12972.0","4324","1503","98","50","45","338","135","112","135","47","84","31","10","71",".984","","5","0","5","-2","-38","-36","2066","1734",".839","439","","-30","8.5","2.4","-17.9","-1.1","-8.2","0.4","58","-4.7","-6.8","0.0 %","386","6.3 %","79","32.8 %","116","52.1 %","96","77.5 %","209","97.7 %","2580"
"Athletics","2125","1458","13068.0","4356","1377","97","49","48","277","114","87","113","58","87","27","15","56",".983","","2125","1458","13068.0","4356","1377","97","49","48","277","114","87","113","58","87","27","15","56",".983","","-3","-7","-7","-3","-29","-60","2172","1821",".838","539","","-3","-5.2","-10.6","22.9","-7.8","-0.7","-2.0","47","-5.5","-10.3","0.0 %","334","8.4 %","95","27.9 %","122","45.7 %","129","77.4 %","217","97.9 %","2821"
"Pirates","2187","1458","13236.0","4412","1924","106","57","49","378","155","115","155","74","95","43","7","81",".984","","2187","1458","13236.0","4412","1924","106","57","49","378","155","115","155","74","95","43","7","81",".984","","3","-4","1","4","55","65","2205","1816",".824","559","","24","-1.6","-7.4","0.6","-8.6","-17.1","-3.1","89","2.5","-10.5","0.0 %","334","8.1 %","87","36.8 %","133","55.1 %","118","82.3 %","232","97.8 %","2722"
"Cardinals","2224","1458","13137.0","4379","1718","75","46","28","452","177","138","178","42","39","26","6","33",".988","","2224","1458","13137.0","4379","1718","75","46","28","452","177","138","178","42","39","26","6","33",".988","","1","5","-18","-3","-34","-23","2234","1855",".830","499","","-21","-23.1","4.6","-18.2","8.9","-27.8","-8.5","56","6.4","-15.4","0.0 %","353","6.3 %","79","26.0 %","104","57.9 %","114","84.4 %","224","98.2 %","2708"
"White Sox","2122","1458","13095.0","4365","1555","121","70","49","361","156","110","156","55","102","35","21","62",".980","","2122","1458","13095.0","4365","1555","121","70","49","361","156","110","156","55","102","35","21","62",".980","","3","4","0","-10","-49","-52","2186","1797",".822","457","","-39","-1.0","3.8","-7.6","-10.6","-15.4","-1.7","57","-5.4","-18.7","0.0 %","313","5.2 %","77","26.2 %","141","58.7 %","109","80.3 %","208","97.4 %","2737"
"Nationals","2037","1458","13011.0","4337","1549","107","44","61","350","148","115","148","55","95","20","5","43",".982","","2037","1458","13011.0","4337","1549","107","44","61","350","148","115","148","55","95","20","5","43",".982","","-4","4","-6","11","-25","-18","2127","1779",".836","465","","12","0.6","6.6","-12.2","-11.6","-16.5","-1.2","62","5.6","-19.0","0.0 %","360","4.1 %","97","35.3 %","119","73.0 %","126","86.0 %","214","97.5 %","2669"
"Blue Jays","2135","1458","13068.0","4356","1605","111","52","59","365","145","120","145","65","87","29","30","54",".982","","2135","1458","13068.0","4356","1605","111","52","59","365","145","120","145","65","87","29","30","54",".982","","-5","3","16","3","-8","21","2182","1808",".829","478","","-35","-1.6","1.8","-12.4","-8.8","-21.0","-2.7","74","-0.9","-25.9","0.0 %","374","5.2 %","96","23.4 %","111","55.5 %","110","81.8 %","214","97.7 %","2772"
"Tigers","2105","1458","13164.0","4388","1507","76","34","41","342","136","108","137","40","128","29","14","63",".987","","2105","1458","13164.0","4388","1507","76","34","41","342","136","108","137","40","128","29","14","63",".987","","-11","3","-5","-5","-44","-62","2135","1770",".829","452","","-22","-9.7","1.5","-12.5","11.1","-9.6","-2.7","59","-3.4","-28.9","0.0 %","322","6.4 %","109","20.6 %","146","47.4 %","97","77.3 %","194","98.8 %","2601"
"Mariners","2064","1458","13185.0","4395","1646","88","49","39","368","150","119","149","40","89","30","11","74",".986","","2064","1458","13185.0","4395","1646","88","49","39","368","150","119","149","40","89","30","11","74",".986","","-2","-4","-15","-12","-59","-103","2315","1895",".819","470","","-43","-14.3","3.4","-20.9","0.6","-31.2","-5.6","70","-2.5","-36.6","0.0 %","325","4.0 %","76","29.0 %","114","52.1 %","117","79.2 %","192","97.8 %","2746"
"Angels","2128","1458","13119.0","4373","1500","112","68","42","328","135","99","136","59","131","35","7","74",".981","","2128","1458","13119.0","4373","1500","112","68","42","328","135","99","136","59","131","35","7","74",".981","","-5","-2","-9","-15","-34","-77","2290","1865",".814","469","","-1","-9.1","-4.4","-10.7","-5.7","-29.9","-5.7","70","-1.2","-43.1","0.0 %","323","9.3 %","108","26.3 %","171","58.1 %","117","80.5 %","174","97.5 %","2810"
"Phillies","2108","1458","12927.0","4309","1614","97","54","42","339","141","105","141","55","114","35","5","48",".984","","2108","1458","12927.0","4309","1614","97","54","42","339","141","105","141","55","114","35","5","48",".984","","-3","-1","4","5","-98","-97","2209","1810",".819","449","","-23","-1.8","-3.2","-35.3","-1.4","-41.7","-5.9","62","4.3","-43.4","0.0 %","406","9.3 %","97","25.0 %","144","49.6 %","129","74.8 %","198","98.5 %","2723"
"Astros","2086","1458","12960.0","4320","1635","125","65","58","414","169","132","168","58","98","37","14","61",".979","","2086","1458","12960.0","4320","1635","125","65","58","414","169","132","168","58","98","37","14","61",".979","","1","4","-6","4","-42","-45","2279","1864",".818","504","","-8","-11.7","4.6","-24.2","-17.4","-48.7","-7.8","69","0.5","-52.1","0.0 %","447","6.4 %","94","29.8 %","141","58.2 %","122","84.8 %","204","97.2 %","2830"
