"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Angels","2026","1458","12939.0","4313","1689","103","","","379","","","","","109","59","16","46",".983","39","2026","1458","12939.0","4313","1689","103","","","379","","","","","109","59","16","46",".983","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orioles","1986","1457","12891.0","4297","1598","125","","","371","","","","","157","51","14","37",".979","-11","1986","1457","12891.0","4297","1598","125","","","371","","","","","157","51","14","37",".979","-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","2034","1449","13032.0","4344","1559","113","","","342","","","","","223","51","23","54",".981","-52","2034","1449","13032.0","4344","1559","113","","","342","","","","","223","51","23","54",".981","-52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","2085","1458","12900.0","4300","1734","118","","","404","","","","","107","40","13","57",".981","8","2085","1458","12900.0","4300","1734","118","","","404","","","","","107","40","13","57",".981","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","2198","1456","13020.0","4340","1611","107","","","375","","","","","128","60","12","58",".982","-52","2198","1456","13020.0","4340","1611","107","","","375","","","","","128","60","12","58",".982","-52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tigers","2038","1457","12864.0","4288","1775","131","","","447","","","","","104","50","30","40",".979","-36","2038","1457","12864.0","4288","1775","131","","","447","","","","","104","50","30","40",".979","-36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Royals","2005","1460","12960.0","4320","1803","117","","","557","","","","","105","45","10","73",".981","51","2005","1460","12960.0","4320","1803","117","","","557","","","","","105","45","10","73",".981","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","2000","1458","12972.0","4324","1542","108","","","313","","","","","73","43","4","58",".982","30","2000","1458","12972.0","4324","1542","108","","","313","","","","","73","43","4","58",".982","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","1980","1448","13062.0","4354","1528","109","","","348","","","","","146","45","21","54",".982","-58","1980","1448","13062.0","4354","1528","109","","","348","","","","","146","45","21","54",".982","-58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","2019","1458","13170.0","4390","1754","125","","","395","","","","","124","55","4","42",".980","19","2019","1458","13170.0","4390","1754","125","","","395","","","","","124","55","4","42",".980","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","2127","1458","13185.0","4395","1535","83","","","372","","","","","73","29","6","40",".986","101","2127","1458","13185.0","4395","1535","83","","","372","","","","","73","29","6","40",".986","101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Devil Rays","1931","1458","12813.0","4271","1533","139","","","390","","","","","113","44","8","75",".977","-26","1931","1458","12813.0","4271","1533","139","","","390","","","","","113","44","8","75",".977","-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","2028","1457","12945.0","4315","1639","114","","","468","","","","","79","66","2","70",".981","-47","2028","1457","12945.0","4315","1639","114","","","468","","","","","79","66","2","70",".981","-47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","2086","1458","13164.0","4388","1834","97","","","496","","","","","112","47","10","33",".985","-3","2086","1458","13164.0","4388","1834","97","","","496","","","","","112","47","10","33",".985","-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","2109","1458","13137.0","4379","1558","84","","","397","","","","","107","55","12","45",".986","50","2109","1458","13137.0","4379","1558","84","","","397","","","","","107","55","12","45",".986","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","2066","1458","13026.0","4342","1636","103","","","353","","","","","102","50","9","41",".983","62","2066","1458","13026.0","4342","1636","103","","","353","","","","","102","50","9","41",".983","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cubs","2257","1458","12933.0","4311","1491","109","","","307","","","","","106","46","13","48",".982","-11","2257","1458","12933.0","4311","1491","109","","","307","","","","","106","46","13","48",".982","-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reds","2200","1458","12984.0","4328","1734","138","","","364","","","","","75","62","21","53",".978","-41","2200","1458","12984.0","4328","1734","138","","","364","","","","","75","62","21","53",".978","-41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockies","2140","1458","12870.0","4290","1697","96","","","450","","","","","100","36","14","38",".984","61","2140","1458","12870.0","4290","1697","96","","","450","","","","","100","36","14","38",".984","61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marlins","2034","1458","12942.0","4314","1668","103","","","469","","","","","75","51","10","40",".983","15","2034","1458","12942.0","4314","1668","103","","","469","","","","","75","51","10","40",".983","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","2109","1458","13092.0","4364","1665","110","","","379","","","","","66","49","4","42",".982","-3","2109","1458","13092.0","4364","1665","110","","","379","","","","","66","49","4","42",".982","-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
