"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Royals","2089","1458","13056.0","4352","1512","104","47","55","301","122","90","122","45","69","29","6","58",".983","","2089","1458","13056.0","4352","1512","104","47","55","301","122","90","122","45","69","29","6","58",".983","","4","-4","5","6","25","34","2286","1880",".822","541","","42","9.9","-7.1","41.8","7.2","51.8","7.1","81","1.7","65.5","0.0 %","295","5.5 %","201","33.6 %","152","63.2 %","95","79.6 %","235","97.6 %","2772"
"Red Sox","2119","1458","13191.0","4397","1610","92","45","44","366","156","120","155","36","87","33","18","51",".985","","2119","1458","13191.0","4397","1610","92","45","44","366","156","120","155","36","87","33","18","51",".985","","2","-8","10","5","33","41","2247","1838",".818","514","","-2","9.5","-4.0","29.2","11.8","46.4","7.2","70","-2.5","44.9","0.0 %","305","6.2 %","210","26.0 %","181","69.0 %","142","79.2 %","245","97.9 %","2707"
"Orioles","2123","1458","13152.0","4384","1603","87","42","45","368","160","116","160","51","84","32","9","42",".986","","2123","1458","13152.0","4384","1603","87","42","45","368","160","116","160","51","84","32","9","42",".986","","0","11","9","12","30","57","2196","1815",".827","546","","40","14.2","6.6","20.7","-0.2","41.3","8.6","66","1.6","41.9","0.0 %","272","5.4 %","203","30.0 %","150","52.7 %","112","80.3 %","213","97.8 %","2803"
"Reds","2043","1458","13014.0","4338","1588","72","34","36","287","120","92","120","31","71","38","13","45",".988","","2043","1458","13014.0","4338","1588","72","34","36","287","120","92","120","31","71","38","13","45",".988","","0","-1","4","11","44","63","2165","1805",".834","421","","34","5.7","-1.1","19.7","9.4","33.7","5.6","72","1.1","39.8","0.0 %","203","6.7 %","178","33.8 %","148","61.9 %","105","79.6 %","235","98.4 %","2634"
"Angels","2251","1458","13344.0","4448","1483","83","37","46","314","129","96","129","38","106","39","5","74",".986","","2251","1458","13344.0","4448","1483","83","37","46","314","129","96","129","38","106","39","5","74",".986","","-2","3","-4","5","-17","-10","2219","1845",".832","431","","15","-5.2","3.6","13.2","12.6","24.2","2.8","74","-4.3","21.9","0.0 %","249","1.9 %","216","24.8 %","133","58.3 %","115","80.5 %","205","97.8 %","2723"
"Braves","2043","1458","13095.0","4365","1527","85","49","36","362","143","117","143","29","100","29","18","75",".986","","2043","1458","13095.0","4365","1527","85","49","36","362","143","117","143","29","100","29","18","75",".986","","-2","4","0","-8","8","-2","2157","1738",".806","498","","-6","-1.4","6.5","19.8","-0.6","24.2","3.6","82","-6.2","19.1","0.0 %","248","4.1 %","196","30.8 %","169","59.7 %","114","79.8 %","198","98.4 %","2641"
"Nationals","2054","1458","13236.0","4412","1624","100","46","51","332","140","103","141","41","60","36","6","37",".984","","2054","1458","13236.0","4412","1624","100","46","51","332","140","103","141","41","60","36","6","37",".984","","7","7","1","6","-22","11","2216","1825",".824","431","","25","5.8","9.7","-9.1","-4.3","2.2","2.4","61","2.7","15.9","0.0 %","250","6.1 %","181","32.1 %","159","63.4 %","112","81.5 %","221","97.8 %","2698"
"Rangers","2053","1458","12837.0","4279","1413","106","54","51","361","155","109","155","45","85","36","9","61",".982","","2053","1458","12837.0","4279","1413","106","54","51","361","155","109","155","45","85","36","9","61",".982","","1","3","5","-8","-39","-44","2215","1791",".809","502","","15","5.0","4.2","3.5","-1.8","10.9","2.4","70","-2.6","10.3","0.0 %","257","4.2 %","213","25.3 %","150","58.3 %","115","78.7 %","230","97.6 %","2747"
"Yankees","2120","1458","13077.0","4359","1474","92","48","44","237","109","72","108","25","77","38","15","49",".985","","2120","1458","13077.0","4359","1474","92","48","44","237","109","72","108","25","77","38","15","49",".985","","0","-4","-4","-4","15","12","2105","1705",".810","547","","-13","-1.3","-6.6","16.3","-6.3","2.0","-0.8","91","4.2","9.2","0.0 %","285","3.6 %","196","35.4 %","144","61.8 %","102","80.8 %","214","97.6 %","2624"
"Rays","2148","1458","13173.0","4391","1309","88","44","44","221","102","76","100","44","82","26","9","65",".985","","2148","1458","13173.0","4391","1309","88","44","44","221","102","76","100","44","82","26","9","65",".985","","-1","-4","-4","-4","-13","-21","2096","1702",".812","500","","25","1.7","-4.9","10.2","-0.1","6.9","0.3","73","-3.0","4.9","0.0 %","194","4.2 %","216","30.2 %","136","68.6 %","102","82.8 %","204","97.8 %","2603"
"Brewers","2138","1458","13119.0","4373","1602","99","48","50","312","132","102","132","41","96","35","7","44",".984","","2138","1458","13119.0","4373","1602","99","48","50","312","132","102","132","41","96","35","7","44",".984","","0","-8","-6","-1","3","9","2253","1835",".815","499","","12","-5.3","-7.0","12.4","-5.9","-5.8","-2.5","94","8.4","1.6","0.0 %","279","7.7 %","247","24.8 %","161","63.4 %","123","81.4 %","188","98.0 %","2731"
"Cubs","2174","1458","13170.0","4390","1668","103","55","46","318","137","100","137","48","114","38","13","64",".983","","2174","1458","13170.0","4390","1668","103","55","46","318","137","100","137","48","114","38","13","64",".983","","2","1","-10","-8","-1","-36","2219","1829",".824","426","","-16","-5.1","1.8","10.3","-6.6","0.4","-0.7","97","1.9","1.3","0.0 %","286","2.9 %","209","24.9 %","169","59.8 %","117","82.2 %","258","97.6 %","2636"
"Marlins","2079","1458","13119.0","4373","1699","97","46","50","369","154","115","154","39","109","34","9","56",".984","","2079","1458","13119.0","4373","1699","97","46","50","369","154","115","154","39","109","34","9","56",".984","","-2","-3","2","-2","4","-17","2378","1908",".802","503","","-11","7.2","-1.4","-4.6","4.9","6.1","1.9","84","2.0","1.1","0.0 %","286","3.7 %","217","24.6 %","179","55.1 %","118","78.6 %","248","97.9 %","2754"
"Athletics","2167","1458","13170.0","4390","1634","111","55","56","382","152","130","152","42","100","28","10","59",".982","","2167","1458","13170.0","4390","1634","111","55","56","382","152","130","152","42","100","28","10","59",".982","","-4","-3","9","10","17","23","2210","1849",".837","483","","7","-1.9","-1.0","19.3","-4.7","11.7","0.9","65","-3.6","1.1","0.0 %","260","5.8 %","190","22.1 %","145","60.6 %","104","80.7 %","244","97.8 %","2719"
"Cardinals","2163","1458","13038.0","4346","1617","88","53","34","375","146","120","147","38","54","29","7","44",".986","","2163","1458","13038.0","4346","1617","88","53","34","375","146","120","147","38","54","29","7","44",".986","","0","6","-3","1","58","60","2109","1736",".823","493","","-7","-9.1","4.8","5.4","-2.2","-1.0","-1.5","59","0.0","1.0","0.0 %","248","3.5 %","199","28.6 %","140","56.2 %","121","83.2 %","214","97.8 %","2719"
"Dodgers","2197","1458","13182.0","4394","1706","107","59","46","354","145","106","145","37","86","38","12","64",".983","","2197","1458","13182.0","4394","1706","107","59","46","354","145","106","145","37","86","38","12","64",".983","","2","5","9","-8","17","19","2194","1820",".830","391","","-3","6.2","2.7","-1.0","-8.4","-0.5","1.5","72","-4.0","-0.5","0.0 %","270","4.4 %","180","31.9 %","182","63.2 %","95","77.8 %","230","97.4 %","2614"
"Blue Jays","2224","1458","12987.0","4329","1528","87","41","45","319","131","101","131","37","94","24","18","43",".985","","2224","1458","12987.0","4329","1528","87","41","45","319","131","101","131","37","94","24","18","43",".985","","-3","1","11","5","-37","-38","2255","1847",".819","489","","-35","8.2","-0.5","-8.5","1.9","1.1","1.3","91","4.9","-1.0","0.0 %","285","1.7 %","179","26.9 %","145","60.0 %","120","81.0 %","252","98.0 %","2704"
"Giants","2199","1458","13041.0","4347","1699","100","47","52","379","157","123","155","22","107","47","11","49",".984","","2199","1458","13041.0","4347","1699","100","47","52","379","157","123","155","22","107","47","11","49",".984","","-1","9","-2","1","-8","9","2186","1831",".838","494","","32","-1.9","4.7","3.6","-4.8","1.7","0.2","60","-2.3","-2.7","0.0 %","225","3.5 %","201","26.3 %","160","60.3 %","116","84.0 %","225","97.5 %","2697"
