"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Rays","2080","1458","13119.0","4373","1495","90","45","44","389","153","128","153","44","76","31","10","52",".985","","2080","1458","13119.0","4373","1495","90","45","44","389","153","128","153","44","76","31","10","52",".985","","0","3","2","-2","9","15","2267","1897",".837","450","","","5.4","3.4","65.9","-2.1","72.6","11.4","49","-2.5","71.1","","","","","","","","","","","",""
"Phillies","2181","1458","13047.0","4349","1698","90","56","33","352","142","104","142","36","109","34","5","34",".985","","2181","1458","13047.0","4349","1698","90","56","33","352","142","104","142","36","109","34","5","34",".985","","-4","-4","18","2","63","76","2237","1839",".822","477","","","21.3","0.3","42.2","2.7","66.5","13.6","58","6.5","65.0","","","","","","","","","","","",""
"Athletics","2126","1449","12915.0","4305","1574","98","40","52","405","170","135","170","45","70","41","8","30",".984","","2126","1449","12915.0","4305","1574","98","40","52","405","170","135","170","45","70","41","8","30",".984","","3","12","1","3","20","57","2289","1940",".848","436","","","0.8","9.9","31.1","-5.4","36.4","6.1","47","3.6","60.0","","","","","","","","","","","",""
"Astros","2126","1449","12828.0","4276","1596","67","39","28","338","142","108","142","35","47","21","8","22",".989","","2126","1449","12828.0","4276","1596","67","39","28","338","142","108","142","35","47","21","8","22",".989","","-2","4","2","4","4","17","2286","1938",".848","441","","","4.3","2.2","29.2","16.3","52.0","7.9","47","5.8","59.8","","","","","","","","","","","",""
"Red Sox","2147","1458","13017.0","4339","1597","85","44","41","341","150","105","150","27","96","32","18","43",".986","","2147","1458","13017.0","4339","1597","85","44","41","341","150","105","150","27","96","32","18","43",".986","","0","0","-7","8","12","17","2313","1935",".837","366","","","-4.3","0.5","56.3","4.7","57.1","7.2","64","2.0","58.1","","","","","","","","","","","",""
"Cardinals","2297","1458","13086.0","4362","1817","85","40","44","383","156","130","156","38","49","26","7","50",".986","","2297","1458","13086.0","4362","1817","85","40","44","383","156","130","156","38","49","26","7","50",".986","","6","3","3","3","47","69","2428","2058",".848","458","","","2.6","0.1","2.4","14.1","19.2","2.8","72","5.8","36.0","","","","","","","","","","","",""
"Mets","2194","1458","13179.0","4393","1552","83","48","35","315","126","98","126","38","66","28","7","55",".986","","2194","1458","13179.0","4393","1552","83","48","35","315","126","98","126","38","66","28","7","55",".986","","-1","-5","-1","5","28","33","2241","1866",".833","449","","","1.9","1.8","26.6","1.5","31.8","4.9","47","-3.3","33.5","","","","","","","","","","","",""
"Cubs","2180","1449","13056.0","4352","1446","99","59","38","272","118","83","119","30","87","36","8","48",".983","","2180","1449","13056.0","4352","1446","99","59","38","272","118","83","119","30","87","36","8","48",".983","","-3","-3","0","-10","-4","-19","2112","1761",".834","427","","","2.2","2.1","29.8","-3.7","30.3","5.1","65","3.7","33.0","","","","","","","","","","","",""
"Blue Jays","2042","1458","13020.0","4340","1699","84","46","36","316","137","102","137","20","86","37","6","51",".986","","2042","1458","13020.0","4340","1699","84","46","36","316","137","102","137","20","86","37","6","51",".986","","1","-3","7","5","41","54","2288","1922",".840","417","","","2.9","-2.3","13.3","7.9","21.8","3.4","71","5.3","30.1","","","","","","","","","","","",""
"Brewers","2002","1458","13101.0","4367","1699","101","53","48","370","160","112","160","32","71","45","5","53",".984","","2002","1458","13101.0","4367","1699","101","53","48","370","160","112","160","32","71","45","5","53",".984","","6","-5","-1","1","32","44","2290","1898",".829","454","","","-1.0","-2.7","24.3","-4.6","15.9","1.6","59","1.5","29.5","","","","","","","","","","","",""
"Giants","2215","1458","12978.0","4326","1393","96","64","32","294","132","90","132","32","99","41","8","77",".984","","2215","1458","12978.0","4326","1393","96","64","32","294","132","90","132","32","99","41","8","77",".984","","3","-4","-4","-9","-19","-33","2202","1854",".842","398","","","0.9","-3.9","35.1","-8.9","23.3","2.9","62","-5.2","20.1","","","","","","","","","","","",""
