"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Mariners","1952","1458","13074.0","4358","1525","105","60","42","359","150","108","150","36","67","44","16","61",".983","","1952","1458","13074.0","4358","1525","105","60","42","359","150","108","150","36","67","44","16","61",".983","","12","3","0","-6","66","80","2297","1945",".847","526","","5","-0.2","6.1","92.3","-12.2","86.0","11.8","51","-7.1","96.9","","","","","","","","","","","",""
"Reds","2136","1458","13125.0","4375","1596","89","51","38","378","161","115","162","47","79","47","4","45",".985","","2136","1458","13125.0","4375","1596","89","51","38","378","161","115","162","47","79","47","4","45",".985","","1","-3","13","3","9","34","2264","1906",".842","479","","20","14.0","1.4","29.1","3.7","48.2","8.7","66","4.9","61.1","","","","","","","","","","","",""
"Giants","2188","1458","13014.0","4338","1511","88","47","39","309","139","90","139","45","107","42","9","71",".985","","2188","1458","13014.0","4338","1511","88","47","39","309","139","90","139","45","107","42","9","71",".985","","1","-3","5","-11","35","17","2080","1761",".847","440","","-26","-1.6","-6.9","65.7","-0.8","56.3","7.0","55","-6.8","47.5","","","","","","","","","","","",""
"Rays","2166","1458","12846.0","4282","1511","98","45","51","324","135","99","135","41","90","28","7","46",".983","","2166","1458","12846.0","4282","1511","98","45","51","324","135","99","135","41","90","28","7","46",".983","","-2","-5","11","7","36","41","2195","1821",".830","564","","44","8.5","-6.2","54.3","-7.2","49.3","8.0","48","-1.4","44.9","","","","","","","","","","","",""
"Tigers","2141","1467","13023.0","4341","1616","88","39","48","404","164","129","164","40","88","50","15","48",".985","","2141","1467","13023.0","4341","1616","88","39","48","404","164","129","164","40","88","50","15","48",".985","","5","1","9","9","3","25","2246","1890",".842","471","","41","5.9","-0.2","18.3","2.6","26.5","4.6","63","0.1","32.6","","","","","","","","","","","",""
"Phillies","2028","1458","13101.0","4367","1557","76","48","28","306","134","97","134","41","95","37","10","28",".987","","2028","1458","13101.0","4367","1557","76","48","28","306","134","97","134","41","95","37","10","28",".987","","-1","1","12","10","-20","7","2274","1917",".843","369","","47","13.5","-1.0","5.0","9.4","26.9","5.9","51","3.8","31.7","","","","","","","","","","","",""
"Rangers","1979","1458","12912.0","4304","1603","106","51","54","390","171","130","169","61","99","43","9","45",".982","","1979","1458","12912.0","4304","1603","106","51","54","390","171","130","169","61","99","43","9","45",".982","","4","6","-9","1","20","19","2315","1967",".850","445","","20","-6.0","4.0","28.4","0.5","26.9","2.8","51","-0.7","31.2","","","","","","","","","","","",""
"Pirates","1963","1449","12765.0","4255","1766","73","35","37","392","173","128","173","42","107","43","13","52",".988","","1963","1449","12765.0","4255","1766","73","35","37","392","173","128","173","42","107","43","13","52",".988","","0","3","4","6","33","45","2260","1878",".831","538","","2","3.3","-2.2","10.1","18.4","29.7","4.2","62","-0.7","31.0","","","","","","","","","","","",""
"Cubs","2175","1449","13008.0","4336","1573","105","60","42","348","144","121","144","46","89","43","5","60",".983","","2175","1449","13008.0","4336","1573","105","60","42","348","144","121","144","46","89","43","5","60",".983","","6","-2","-2","-14","-8","-23","2147","1799",".838","385","","-27","-4.6","-3.6","8.3","-0.2","-0.2","-1.3","71","2.0","8.8","","","","","","","","","","","",""
"Angels","2050","1458","13005.0","4335","1623","85","48","36","436","174","140","174","52","128","39","11","67",".986","","2050","1458","13005.0","4335","1623","85","48","36","436","174","140","174","52","128","39","11","67",".986","","-4","7","9","15","28","51","2267","1896",".836","490","","19","2.4","10.9","-7.5","9.2","15.1","2.8","78","0.3","8.3","","","","","","","","","","","",""
