"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Angels","2006","1458","12882.0","4294","1723","106","","","423","","","","","103","62","20","65",".983","70","2006","1458","12882.0","4294","1723","106","","","423","","","","","103","62","20","65",".983","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orioles","2039","1458","12915.0","4305","1781","89","","","508","","","","","93","50","5","55",".986","39","2039","1458","12915.0","4305","1781","89","","","508","","","","","93","50","5","55",".986","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","1989","1458","12930.0","4310","1548","127","","","346","","","","","159","58","31","28",".979","44","1989","1458","12930.0","4310","1548","127","","","346","","","","","159","58","31","28",".979","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","2064","1457","12945.0","4315","1562","136","","","401","","","","","102","46","14","60",".977","-21","2064","1457","12945.0","4315","1562","136","","","401","","","","","102","46","14","60",".977","-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","2111","1458","13053.0","4351","1739","106","","","418","","","","","118","46","8","54",".983","35","2111","1458","13053.0","4351","1739","106","","","418","","","","","118","46","8","54",".983","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tigers","2040","1449","12789.0","4263","1623","106","","","424","","","","","81","44","12","43",".982","37","2040","1449","12789.0","4263","1623","106","","","424","","","","","81","44","12","43",".982","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Royals","1988","1449","12786.0","4262","1727","125","","","504","","","","","111","49","10","60",".980","33","1988","1449","12786.0","4262","1727","125","","","504","","","","","111","49","10","60",".980","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","2171","1449","12810.0","4270","1613","92","","","401","","","","","73","37","12","57",".985","-8","2171","1449","12810.0","4270","1613","92","","","401","","","","","73","37","12","57",".985","-8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","1940","1458","12957.0","4319","1577","111","","","348","","","","","131","48","18","49",".982","-20","1940","1458","12957.0","4319","1577","111","","","348","","","","","131","48","18","49",".982","-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","2195","1458","12945.0","4315","1700","122","","","453","","","","","110","51","18","57",".980","-50","2195","1458","12945.0","4315","1700","122","","","453","","","","","110","51","18","57",".980","-50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","2062","1458","12903.0","4300","1690","113","","","495","","","","","107","50","8","63",".982","-56","2062","1458","12903.0","4300","1690","113","","","495","","","","","107","50","8","63",".982","-56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Devil Rays","2084","1458","12897.0","4299","1777","135","","","541","","","","","101","69","12","52",".978","-55","2084","1458","12897.0","4299","1777","135","","","541","","","","","101","69","12","52",".978","-55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","1999","1458","12927.0","4309","1730","119","","","448","","","","","47","52","2","50",".981","-3","1999","1458","12927.0","4309","1730","119","","","448","","","","","47","52","2","50",".981","-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","1923","1458","12951.0","4316","1664","106","","","444","","","","","124","53","13","55",".983","9","1923","1458","12951.0","4316","1664","106","","","444","","","","","124","53","13","55",".983","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","2023","1458","13206.0","4403","1585","104","","","356","","","","","138","66","17","39",".983","39","2023","1458","13206.0","4403","1585","104","","","356","","","","","138","66","17","39",".983","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","2149","1458","13239.0","4413","1658","111","","","339","","","","","108","45","10","34",".982","42","2149","1458","13239.0","4413","1658","111","","","339","","","","","108","45","10","34",".982","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cubs","2198","1458","12876.0","4292","1597","139","","","367","","","","","100","43","14","59",".977","-20","2198","1458","12876.0","4292","1597","139","","","367","","","","","100","43","14","59",".977","-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reds","2141","1467","13158.0","4386","1551","105","","","369","","","","","124","34","11","65",".983","95","2141","1467","13158.0","4386","1551","105","","","369","","","","","124","34","11","65",".983","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockies","2080","1458","12861.0","4286","1737","118","","","512","","","","","163","63","9","70",".981","-87","2080","1458","12861.0","4286","1737","118","","","512","","","","","163","63","9","70",".981","-87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marlins","2141","1458","12921.0","4307","1688","127","","","404","","","","","94","67","10","46",".979","7","2141","1458","12921.0","4307","1688","127","","","404","","","","","94","67","10","46",".979","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","2072","1457","13128.0","4376","1732","106","","","462","","","","","94","43","9","54",".983","29","2072","1457","13128.0","4376","1732","106","","","462","","","","","94","43","9","54",".983","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","2064","1458","13077.0","4359","1725","137","","","376","","","","","156","56","13","53",".978","5","2064","1458","13077.0","4359","1725","137","","","376","","","","","156","56","13","53",".978","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brewers","2165","1449","12984.0","4328","1669","127","","","397","","","","","177","44","13","64",".979","-30","2165","1449","12984.0","4328","1669","127","","","397","","","","","177","44","13","64",".979","-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expos","2279","1458","12909.0","4303","1618","160","","","335","","","","","157","47","16","46",".974","-33","2279","1458","12909.0","4303","1618","160","","","335","","","","","157","47","16","46",".974","-33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","2239","1467","13110.0","4370","1607","68","","","395","","","","","134","44","10","38",".989","21","2239","1467","13110.0","4370","1607","68","","","395","","","","","134","44","10","38",".989","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phillies","2140","1458","12945.0","4314","1598","100","","","387","","","","","94","35","13","67",".983","35","2140","1458","12945.0","4314","1598","100","","","387","","","","","94","35","13","67",".983","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pirates","2074","1449","12900.0","4300","1746","147","","","477","","","","","99","50","9","54",".976","5","2074","1449","12900.0","4300","1746","147","","","477","","","","","99","50","9","54",".976","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","2232","1449","13008.0","4336","1634","132","","","420","","","","","80","69","8","60",".978","-2","2232","1449","13008.0","4336","1634","132","","","420","","","","","80","69","8","60",".978","-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Padres","2213","1458","12783.0","4261","1633","129","","","407","","","","","114","45","15","73",".979","22","2213","1458","12783.0","4261","1633","129","","","407","","","","","114","45","15","73",".979","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","2145","1458","13107.0","4368","1630","105","","","418","","","","","129","53","8","62",".983","-45","2145","1458","13107.0","4368","1630","105","","","418","","","","","129","53","8","62",".983","-45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
