"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"White Sox","1891","6281","198","861","806","127","8.8 %","14.6 %",".172",".291",".271",".339",".444",".341","103","5.3","30.6","-10.6","23.2","27","1891","5585","6281","1516","989","291","38","198","861","806","551","34","916","47","59","38","119","127","46",".271","","","","","","","","","","","8.8 %","14.6 %","0.60",".339",".444",".782",".172",".291","","","","","","","","",".341","48.8","826","25.3","5.0","194.7","-15.6","237.3","23.2","","5.3","103","1.51","-107.86","109.37","10.95","1.00","0.96","1.86","63","-0.04","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.6","5.3","","21 - 38","30.6","22.6","","","","","","","","26.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","2304","6484","161","845","800","102","10.5 %","16.0 %",".147",".308",".274",".353",".421",".340","108","-1.4","62.2","52.7","31.2","30","2304","5628","6484","1540","1061","292","26","161","845","800","678","53","1040","44","53","81","123","102","50",".274","","","","","","","","","","","10.5 %","16.0 %","0.65",".353",".421",".774",".147",".308","","","","","","","","",".340","46.9","850","63.6","11.0","201.0","41.7","319.3","31.2","","4.5","108","4.53","-117.95","122.48","82.98","8.45","1.07","1.33","225","5.09","-0.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.7","-1.4","","24 - 42","62.2","3.4","","","","","","","","29.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","2305","6413","223","810","781","133","10.5 %","18.4 %",".183",".289",".258",".341",".441",".340","104","8.7","39.8","47.7","28.3","29","2305","5593","6413","1444","899","292","30","223","810","781","676","65","1179","42","34","68","117","133","41",".258","","","","","","","","","","","10.5 %","18.4 %","0.57",".341",".441",".781",".183",".289","","","","","","","","",".340","43.2","837","31.1","8.0","198.8","39.7","289.7","28.3","","4.8","104","1.91","-117.35","119.26","35.61","3.55","1.04","1.41","255","5.56","-3.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.7","8.7","","22 - 39","39.8","3.3","","","","","","","","32.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cubs","2283","6394","212","831","788","65","9.4 %","19.1 %",".169",".302",".264",".337",".433",".336","100","-6.2","-5.1","26.0","21.7","29","2283","5649","6394","1494","998","250","34","212","831","788","601","51","1223","39","37","67","123","65","44",".264","","","","","","","","","","","9.4 %","19.1 %","0.49",".337",".433",".771",".169",".302","","","","","","","","",".336","22.9","814","1.1","-15.0","198.3","41.0","222.5","21.7","","4.3","100","6.11","-111.67","117.78","45.98","4.35","1.01","1.40","261","4.43","1.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0","-6.2","","21 - 39","-5.1","3.3","","","","","","","","31.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angels","1884","6280","147","787","739","93","8.1 %","16.4 %",".144",".308",".272",".335",".415",".330","94","-1.1","-46.2","-85.9","8.2","29","1884","5630","6280","1530","1042","314","27","147","787","739","510","31","1028","48","41","49","122","93","45",".272","","","","","","","","","","","8.1 %","16.4 %","0.50",".335",".415",".751",".144",".308","","","","","","","","",".330","-7.5","770","-45.1","-67.0","194.7","-18.9","85.3","8.2","","4.5","94","1.58","-108.50","110.08","8.67","0.77","0.99","1.42","89","-1.51","3.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-85.9","-1.1","","21 - 38","-46.2","22.6","","","","","","","","26.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","1908","6283","149","804","755","131","10.1 %","17.9 %",".140",".296",".257",".338",".397",".327","94","5.7","-45.6","-83.0","8.5","29","1908","5490","6283","1413","956","295","13","149","804","755","633","22","1122","55","46","58","120","131","47",".257","","","","","","","","","","","10.1 %","17.9 %","0.56",".338",".397",".735",".140",".296","","","","","","","","",".327","-25.7","752","-51.3","-67.0","194.8","-16.0","88.9","8.5","","4.5","94","0.63","-113.86","114.49","13.64","1.13","1.04","1.58","126","-2.58","3.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-83.0","5.7","","20 - 40","-45.6","22.6","","","","","","","","30.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reds","2270","6269","138","750","723","95","9.7 %","17.7 %",".140",".303",".262",".337",".402",".326","92","0.6","-63.1","52.5","18.3","27","2270","5496","6269","1441","977","298","28","138","750","723","608","39","1107","37","49","78","133","95","42",".262","","","","","","","","","","","9.7 %","17.7 %","0.55",".337",".402",".739",".140",".303","","","","","","","","",".326","-33.3","743","-63.7","15.0","194.4","37.5","187.1","18.3","","4.4","92","-3.88","-115.09","111.21","-2.78","-0.66","1.05","1.38","286","-1.78","-1.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5","0.6","","21 - 34","-63.1","3.3","","","","","","","","29.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Padres","2282","6245","167","749","715","79","9.7 %","17.2 %",".155",".285",".253",".330",".409",".325","99","-0.4","-7.6","-14.5","17.0","30","2282","5490","6245","1390","901","292","30","167","749","715","604","40","1072","48","45","56","112","79","37",".253","","","","","","","","","","","9.7 %","17.2 %","0.56",".330",".409",".739",".155",".285","","","","","","","","",".325","-39.2","734","-7.2","-54.0","193.6","39.5","174.8","17.0","","4.3","99","8.17","-108.94","117.11","79.50","8.85","1.04","1.52","272","5.90","1.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14.5","-0.4","","21 - 38","-7.6","3.3","","","","","","","","29.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tigers","1897","6243","165","722","691","122","7.3 %","17.1 %",".152",".297",".264",".323",".415",".324","90","-2.6","-86.8","38.9","16.6","28","1897","5664","6243","1494","994","306","29","165","722","691","455","25","1070","62","45","16","111","122","62",".264","","","","","","","","","","","7.3 %","17.1 %","0.43",".323",".415",".738",".152",".297","","","","","","","","",".324","-40.2","733","-84.2","57.0","193.6","-18.1","168.1","16.6","","4.6","90","-10.45","-120.40","109.96","-89.58","-8.43","1.03","1.53","98","-6.43","-3.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","-2.6","","22 - 34","-86.8","22.5","","","","","","","","27.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brewers","2277","6232","152","707","673","81","8.5 %","16.7 %",".136",".294",".260",".330",".396",".321","91","-9.5","-83.0","55.2","16.5","28","2277","5541","6232","1439","1004","266","17","152","707","673","532","36","1039","66","32","61","135","81","59",".260","","","","","","","","","","","8.5 %","16.7 %","0.51",".330",".396",".726",".136",".294","","","","","","","","",".321","-56.9","715","-73.5","24.0","193.2","31.2","168.6","16.5","","3.7","91","-4.06","-118.66","114.60","-59.51","-6.21","1.07","1.41","254","-5.63","1.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.2","-9.5","","23 - 41","-83.0","3.2","","","","","","","","27.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Royals","2001","6191","134","714","686","135","7.7 %","15.9 %",".136",".295",".263",".324",".399",".319","85","5.2","-115.8","-23.4","7.3","28","2001","5546","6191","1459","1011","274","40","134","714","686","475","24","984","60","65","45","118","135","50",".263","","","","","","","","","","","7.7 %","15.9 %","0.48",".324",".399",".724",".136",".295","","","","","","","","",".319","-67.5","699","-121.0","-8.0","192.0","-15.4","75.1","7.3","","5.1","85","-7.70","-111.76","104.06","-113.30","-10.46","0.99","1.38","118","-8.86","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-23.4","5.2","","20 - 37","-115.8","22.3","","","","","","","","25.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","2278","6257","136","706","671","62","9.1 %","16.8 %",".135",".295",".259",".330",".394",".318","93","-7.7","-65.0","47.1","17.5","29","2278","5510","6257","1425","976","289","24","136","706","671","572","55","1049","37","48","88","126","62","46",".259","","","","","","","","","","","9.1 %","16.8 %","0.55",".330",".394",".724",".135",".295","","","","","","","","",".318","-72.4","702","-57.3","8.0","194.0","39.1","179.3","17.5","","3.6","93","4.89","-116.33","121.22","9.55","1.22","1.10","1.61","294","1.87","2.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1","-7.7","","23 - 39","-65.0","3.3","","","","","","","","28.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","1838","6263","115","734","691","112","8.1 %","14.6 %",".123",".297",".266",".328",".389",".317","83","-1.2","-137.6","-122.9","-4.5","28","1838","5641","6263","1499","1067","285","32","115","734","691","506","33","915","45","52","18","155","112","54",".266","","","","","","","","","","","8.1 %","14.6 %","0.55",".328",".389",".717",".123",".297","","","","","","","","",".317","-75.3","700","-136.4","-107.0","194.2","-15.9","-43.8","-4.5","","4.6","83","-7.28","-119.70","112.42","-60.37","-5.66","1.05","1.91","92","-4.60","-2.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-122.9","-1.2","","21 - 41","-137.6","22.6","","","","","","","","24.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phillies","2166","6300","126","713","672","97","8.1 %","17.1 %",".131",".303",".264",".326",".395",".317","87","-0.3","-105.3","69.6","16.0","28","2166","5617","6300","1482","1034","286","36","126","713","672","508","44","1080","45","65","65","110","97","45",".264","","","","","","","","","","","8.1 %","17.1 %","0.47",".326",".395",".721",".131",".303","","","","","","","","",".317","-79.5","700","-105.0","34.0","195.3","35.6","163.0","16.0","","4.7","87","-4.40","-122.80","118.40","-63.53","-6.71","1.11","1.50","255","-6.16","2.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.6","-0.3","","23 - 37","-105.3","3.3","","","","","","","","27.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Devil Rays","1982","6157","111","620","579","120","7.7 %","18.0 %",".123",".306",".261",".321",".385",".312","83","-7.8","-147.4","71.3","13.6","28","1982","5555","6157","1450","1029","267","43","111","620","579","473","24","1107","37","38","53","127","120","73",".261","","","","","","","","","","","7.7 %","18.0 %","0.43",".321",".385",".706",".123",".306","","","","","","","","",".312","-98.5","664","-139.6","89.0","190.9","-17.7","137.0","13.6","","4.5","83","-13.27","-117.17","103.91","-146.91","-14.22","1.04","1.84","106","-10.78","-1.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.3","-7.8","","24 - 40","-147.4","22.2","","","","","","","","27.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","2067","6116","159","665","621","73","8.0 %","20.3 %",".146",".290",".246",".314",".393",".311","82","-2.0","-140.7","54.3","10.4","27","2067","5491","6116","1353","913","235","46","159","665","621","489","32","1239","64","27","45","125","73","38",".246","","","","","","","","","","","8.0 %","20.3 %","0.39",".314",".393",".707",".146",".290","","","","","","","","",".311","-104.2","653","-138.7","18.0","189.6","36.3","106.4","10.4","","4.6","82","-10.84","-110.85","100.01","-84.59","-8.80","1.00","1.38","248","-6.61","-4.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.3","-2.0","","22 - 35","-140.7","3.2","","","","","","","","30.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expos","2319","6042","147","644","602","91","7.3 %","17.5 %",".145",".283",".249",".310",".394",".309","83","-1.9","-134.4","71.3","12.5","26","2319","5418","6042","1348","889","280","32","147","644","602","439","31","1058","60","37","87","109","91","46",".249","","","","","","","","","","","7.3 %","17.5 %","0.41",".310",".394",".704",".145",".283","","","","","","","","",".309","-115.4","633","-132.6","35.0","187.3","36.3","127.3","12.5","","4.3","83","-4.45","-110.96","106.51","-39.30","-3.42","1.05","1.69","228","-2.39","-1.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.3","-1.9","","21 - 36","-134.4","3.1","","","","","","","","27.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","2096","6077","159","669","630","137","7.4 %","17.4 %",".136",".283",".252",".310",".387",".307","88","4.3","-90.5","24.1","12.2","28","2096","5459","6077","1374","979","209","27","159","669","630","447","31","1056","36","43","91","98","137","53",".252","","","","","","","","","","","7.4 %","17.4 %","0.42",".310",".387",".698",".136",".283","","","","","","","","",".307","-128.6","624","-94.8","-15.0","188.4","39.1","125.2","12.2","","4.8","88","-0.60","-109.60","109.01","-16.35","-0.73","1.04","1.26","228","-2.28","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1","4.3","","19 - 39","-90.5","3.2","","","","","","","","27.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marlins","2202","6228","114","667","621","115","8.4 %","18.0 %",".124",".291",".248",".317",".373",".306","85","-1.8","-119.1","24.9","10.0","26","2202","5558","6228","1381","954","277","36","114","667","621","525","30","1120","45","29","70","121","115","57",".248","","","","","","","","","","","8.4 %","18.0 %","0.47",".317",".373",".690",".124",".291","","","","","","","","",".306","-132.6","638","-117.3","-12.0","193.1","36.9","102.1","10.0","","4.8","85","-9.72","-122.29","112.57","-91.64","-9.31","1.10","1.43","275","-9.98","1.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","-1.8","","21 - 39","-119.1","3.2","","","","","","","","28.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pirates","2162","6113","107","650","613","159","6.4 %","17.3 %",".121",".294",".254",".311",".374",".304","78","9.6","-160.3","24.9","5.6","27","2162","5493","6113","1395","982","271","35","107","650","613","393","22","1060","91","56","78","102","159","51",".254","","","","","","","","","","","6.4 %","17.3 %","0.37",".311",".374",".686",".121",".294","","","","","","","","",".304","-147.5","609","-169.9","-13.0","189.5","37.9","57.3","5.6","","5.4","78","-10.89","-109.43","98.54","-74.49","-7.50","1.00","1.34","195","-9.42","-1.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","9.6","","20 - 34","-160.3","3.2","","","","","","","","25.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
