"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Royals","2086","1458","13068.0","4356","1611","88","47","40","323","139","102","139","57","75","35","5","62",".986","","2086","1458","13068.0","4356","1611","88","47","40","323","139","102","139","57","75","35","5","62",".986","","3","-7","3","7","47","51","2209","1869",".846","503","","39","4.2","-8.1","32.5","8.1","36.8","4.7","","","42.8","0.0 %","231","5.6 %","180","38.6 %","114","56.6 %","122","76.7 %","210","98.3 %","2802"
"Twins","2128","1458","12987.0","4329","1637","86","45","40","376","152","121","152","37","93","22","3","54",".986","","2128","1458","12987.0","4329","1637","86","45","40","376","152","121","152","37","93","22","3","54",".986","","-3","-7","15","6","-17","-21","2340","1932",".826","472","","-16","19.4","-1.2","5.3","6.5","30.0","6.4","","","23.0","0.0 %","292","2.3 %","177","16.3 %","141","50.4 %","113","77.5 %","204","98.2 %","2905"
"Rangers","2168","1458","12984.0","4328","1695","119","65","52","409","169","127","169","45","82","25","11","51",".981","","2168","1458","12984.0","4328","1695","119","65","52","409","169","127","169","45","82","25","11","51",".981","","-2","-2","5","2","-2","1","2326","1896",".815","526","","12","11.9","0.5","17.1","-9.0","20.5","4.2","","","18.5","0.0 %","299","1.1 %","185","23.6 %","123","51.1 %","90","77.9 %","217","97.3 %","2861"
"Blue Jays","2119","1458","12969.0","4323","1592","88","44","42","355","146","109","146","40","60","41","25","62",".985","","2119","1458","12969.0","4323","1592","88","44","42","355","146","109","146","40","60","41","25","62",".985","","5","7","1","-4","2","20","2236","1857",".831","517","","21","-8.0","-1.2","15.4","3.5","9.7","-0.4","","","17.7","0.0 %","246","11.7 %","196","35.0 %","123","52.0 %","100","85.9 %","212","98.0 %","2787"
"Angels","2224","1458","12966.0","4322","1491","93","51","39","267","108","89","108","45","93","43","13","61",".984","","2224","1458","12966.0","4322","1491","93","51","39","267","108","89","108","45","93","43","13","61",".984","","2","-2","6","7","-17","8","2153","1784",".829","485","","6","9.3","-2.9","4.1","1.5","12.0","2.6","","","16.0","0.0 %","279","4.2 %","192","27.6 %","123","60.7 %","89","71.9 %","210","97.9 %","2761"
"Cardinals","2278","1458","13182.0","4394","1617","96","51","42","369","164","108","161","41","54","29","5","48",".984","","2278","1458","13182.0","4394","1617","96","51","42","369","164","108","161","41","54","29","5","48",".984","","0","0","-9","-3","22","15","2148","1753",".816","500","","15","-3.1","1.1","10.5","3.6","12.1","1.0","","","15.1","0.0 %","214","4.3 %","185","22.5 %","111","39.4 %","99","77.1 %","201","97.7 %","2718"
"Rays","2273","1458","13080.0","4360","1408","95","51","39","252","118","72","118","32","88","44","8","81",".984","","2273","1458","13080.0","4360","1408","95","51","39","252","118","72","118","32","88","44","8","81",".984","","2","-2","8","6","8","5","2016","1633",".810","609","","17","10.6","-0.4","12.5","-7.7","15.0","3.9","","","15.0","0.0 %","232","4.1 %","170","36.2 %","141","49.0 %","104","79.2 %","197","97.7 %","2658"
"Giants","2168","1458","12999.0","4333","1674","78","43","35","374","147","122","146","28","82","32","10","40",".987","","2168","1458","12999.0","4333","1674","78","43","35","374","147","122","146","28","82","32","10","40",".987","","-5","5","-3","5","19","33","2229","1853",".831","514","","39","-5.2","3.8","15.6","7.7","21.8","2.1","","","14.8","0.0 %","198","2.9 %","172","30.8 %","120","46.0 %","113","79.3 %","164","98.3 %","2821"
"Diamondbacks","2202","1458","13200.0","4400","1697","86","45","40","351","149","111","149","37","73","28","11","51",".986","","2202","1458","13200.0","4400","1697","86","45","40","351","149","111","149","37","73","28","11","51",".986","","-3","4","-2","8","69","60","2185","1798",".823","594","","12","-4.7","-0.7","19.7","2.8","17.1","1.3","","","13.1","0.0 %","235","3.3 %","183","25.9 %","135","46.7 %","92","79.9 %","184","98.4 %","2822"
"Indians","2074","1449","12894.0","4298","1528","79","34","43","334","138","108","137","33","71","39","10","48",".987","","2074","1449","12894.0","4298","1528","79","34","43","334","138","108","137","33","71","39","10","48",".987","","2","-1","0","2","15","16","2005","1680",".838","495","","-7","-0.4","2.3","5.7","3.4","10.9","1.8","","","12.9","0.0 %","262","5.1 %","175","40.8 %","120","46.0 %","87","83.3 %","191","97.9 %","2533"
