"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Braves","2110","1458","12993.0","4332","1802","86","50","34","405","171","124","171","23","89","36","8","42",".986","","2110","1458","12993.0","4332","1802","86","50","34","405","171","124","171","23","89","36","8","42",".986","","0","2","24","3","30","57","2769","2078",".751","388","","","27.0","2.7","20.0","9.3","59.0","12.5","","","58.0","","","","","","","","","","","",""
"Phillies","2076","1458","12915.0","4305","1608","90","47","41","311","136","92","133","19","82","26","12","36",".985","","2076","1458","12915.0","4305","1608","90","47","41","311","136","92","133","19","82","26","12","36",".985","","-3","0","19","2","89","97","2488","1848",".743","395","","","10.9","-1.1","43.3","1.6","54.7","10.0","","","48.7","","","","","","","","","","","",""
"Nationals","2152","1458","13122.0","4374","1546","92","52","38","349","158","111","158","22","76","41","7","49",".985","","2152","1458","13122.0","4374","1546","92","52","38","349","158","111","158","22","76","41","7","49",".985","","4","2","4","-10","-8","-6","2701","2017",".747","349","","","7.2","4.3","22.0","4.2","37.7","6.6","","","42.7","","","","","","","","","","","",""
"Twins","2029","1458","13179.0","4393","1765","102","59","41","395","175","124","171","22","44","36","9","35",".984","","2029","1458","13179.0","4393","1765","102","59","41","395","175","124","171","22","44","36","9","35",".984","","3","10","2","-1","19","45","2729","2068",".758","380","","","-0.2","4.0","28.2","-0.1","31.9","4.6","","","41.9","","","","","","","","","","","",""
"Angels","2033","1458","13179.0","4393","1520","87","40","45","318","143","96","139","29","68","42","13","70",".986","","2033","1458","13179.0","4393","1520","87","40","45","318","143","96","139","29","68","42","13","70",".986","","6","3","0","-2","23","31","2640","1975",".748","404","","","0.6","-1.9","21.7","6.6","27.0","3.6","","","37.0","","","","","","","","","","","",""
"Indians","1959","1458","13074.0","4358","1641","106","61","45","389","158","126","157","18","103","33","6","26",".983","","1959","1458","13074.0","4358","1641","106","61","45","389","158","126","157","18","103","33","6","26",".983","","-1","12","-10","-2","40","33","2718","2098",".772","338","","","-11.8","5.3","46.9","-4.5","35.9","3.1","","","31.9","","","","","","","","","","","",""
"Tigers","2055","1458","12921.0","4307","1789","110","50","59","418","178","140","172","28","60","49","4","53",".982","","2055","1458","12921.0","4307","1789","110","50","59","418","178","140","172","28","60","49","4","53",".982","","10","1","-6","5","20","39","2771","2070",".747","430","","","-7.5","0.5","13.6","4.9","11.5","0.2","","","31.5","","","","","","","","","","","",""
"Blue Jays","2091","1458","13023.0","4341","1755","95","45","47","383","156","119","155","31","100","35","6","39",".985","","2091","1458","13023.0","4341","1755","95","45","47","383","156","119","155","31","100","35","6","39",".985","","-3","3","12","14","23","55","2713","2076",".765","367","","","9.6","0.7","20.0","3.5","33.8","6.5","","","29.8","","","","","","","","","","","",""
"Astros","2160","1467","12987.0","4329","1697","89","50","38","351","148","120","146","28","53","31","6","38",".985","","2160","1467","12987.0","4329","1697","89","50","38","351","148","120","146","28","53","31","6","38",".985","","0","0","7","9","42","62","2513","1882",".749","402","","","2.1","-0.1","19.9","1.5","23.5","3.7","","","28.5","","","","","","","","","","","",""
"White Sox","1993","1458","13281.0","4427","1671","94","55","35","399","171","122","168","21","103","25","9","65",".985","","1993","1458","13281.0","4427","1671","94","55","35","399","171","122","168","21","103","25","9","65",".985","","-3","5","-5","4","42","39","2635","1970",".748","427","","","-7.2","3.4","33.5","3.3","33.1","3.2","","","26.1","","","","","","","","","","","",""
"Giants","2171","1458","12999.0","4333","1630","90","64","24","337","147","109","147","17","78","54","5","38",".985","","2171","1458","12999.0","4333","1630","90","64","24","337","147","109","147","17","78","54","5","38",".985","","4","-4","-8","0","-3","-8","2709","2037",".752","372","","","-11.4","-7.9","32.9","1.1","14.7","-1.0","","","24.7","","","","","","","","","","","",""
