"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Cardinals","100","62","3.49","598","162","15","7","48","86","17","1445.2","6047","1399","634","560","153","443","27","60","41","5","974","29","100","62","3.49","598","162","15","7","48","17","1445.2","6047","1399","634","560","153","443","27","60","41","5","974","2255","1320","872","125","7998","14034","22032","805","123","120","19","6.06","2.76","2.20","8.71","0.95",".252","1.27",".282","75.1 %","4.09","1.71","19.6 %","50.7 %","29.7 %","9.5 %","11.6 %","5.5 %","15.8 %","132.4","1046.6","17.7","395.1","150.1","15.5","$73.0","4.45","3.98","10.95","-101.23","112.18","86.67","8.97","1.01","1.51","1.11","1.20","436","6.49","4.30","58.1 %","89.9","16.6 %","83.1","3.5 %","86.8","13.7 %","74.5","7.6 %","81.3","0.6 %","85.0","","","2.8 %","0.1 %","40.5","26.3","2.2","25.4","-5.6","0.2","","0.33","0.74","0.30","0.87","-0.34","0.13","","20.3 %","66.7 %","45.6 %","50.0 %","88.9 %","81.1 %","54.6 %","60.1 %","8.6 %","86","111","56","84","98","93","16.1 %","7.3 %","3.99","5.01","-0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5","3.8","3.2","7.0","23 - 37","8.8 %","45.4 %","31.1 %","23.5 %","15.9 %","56.0 %","28.1 %","4.23","26.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","89","73","3.52","597","163","6","2","45","66","13","1443.0","6023","1336","609","564","155","440","29","59","38","8","1164","30","89","73","3.52","597","163","6","2","45","13","1443.0","6023","1336","609","564","155","440","29","59","38","8","1164","1974","1370","912","138","7989","14375","22364","693","120","103","18","7.26","2.74","2.65","8.33","0.97",".242","1.23",".281","75.8 %","3.84","1.44","21.4 %","46.4 %","32.2 %","10.1 %","11.3 %","6.1 %","17.5 %","175.0","1027.6","36.6","411.9","211.6","22.6","$106.1","4.42","3.75","14.86","-95.36","110.22","122.24","12.48","0.99","1.54","1.02","1.08","434","11.14","3.81","61.6 %","91.1","16.4 %","83.5","2.6 %","85.2","9.6 %","74.4","6.0 %","82.3","3.8 %","86.8","0.0 %","","2.8 %","0.1 %","27.0","46.5","4.9","5.2","0.7","26.5","0.0","0.20","1.31","0.87","0.25","0.05","3.25","-2.25","20.8 %","68.3 %","46.9 %","45.1 %","86.2 %","78.0 %","55.1 %","60.1 %","10.3 %","66","97","53","83","89","88","19.3 %","7.3 %","3.73","4.32","-0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6","4.3","0.7","5.0","25 - 44","12.0 %","42.6 %","30.4 %","27.1 %","15.9 %","57.7 %","26.4 %","3.84","29.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","93","69","3.61","571","162","6","0","51","74","15","1452.2","6048","1363","642","582","157","413","20","41","26","4","1050","29","93","69","3.61","571","162","6","0","51","15","1452.2","6048","1363","642","582","157","413","20","41","26","4","1050","2002","1532","939","186","7938","14481","22419","790","131","69","16","6.51","2.56","2.54","8.44","0.97",".244","1.22",".275","73.6 %","3.92","1.31","21.0 %","44.8 %","34.2 %","12.1 %","10.2 %","6.5 %","23.2 %","148.5","1004.8","39.5","442.5","188.0","19.2","$90.5","4.33","3.97","10.63","-102.59","113.22","101.27","10.29","1.03","1.40","1.12","1.22","409","10.27","0.08","70.1 %","91.4","11.0 %","83.1","1.6 %","86.9","8.0 %","75.4","8.6 %","82.1","0.8 %","83.6","","","3.7 %","0.1 %","62.1","38.4","3.5","11.6","9.2","4.4","","0.41","1.62","1.04","0.68","0.50","2.66","","20.9 %","68.6 %","47.2 %","53.0 %","89.2 %","82.0 %","55.2 %","61.9 %","8.5 %","74","132","52","84","93","92","17.4 %","6.8 %","3.94","4.89","-0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.1","5.9","1.0","6.9","23 - 36","10.5 %","41.9 %","28.9 %","29.2 %","13.9 %","57.2 %","29.0 %","4.02","26.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","99","63","3.61","574","162","9","4","54","79","19","1475.2","6176","1392","645","592","167","459","42","52","65","9","1040","28","99","63","3.61","574","162","9","4","54","19","1475.2","6176","1392","645","592","167","459","42","52","65","9","1040","1975","1598","955","198","8411","14790","23201","741","112","96","20","6.34","2.80","2.27","8.49","1.02",".246","1.25",".275","75.4 %","4.12","1.24","21.1 %","43.6 %","35.3 %","12.4 %","10.5 %","5.7 %","20.8 %","178.3","1072.6","45.5","399.1","223.8","23.0","$108.0","4.76","4.14","17.93","-110.46","128.39","144.93","14.32","1.11","1.70","1.28","1.44","412","11.54","4.63","56.8 %","90.8","19.5 %","82.3","3.0 %","84.4","5.3 %","74.5","10.7 %","80.7","4.8 %","81.5","","","5.4 %","0.2 %","71.5","29.3","9.4","0.6","-6.7","15.7","","0.58","0.69","1.44","0.05","-0.29","1.49","","22.9 %","68.2 %","46.9 %","53.9 %","88.4 %","80.5 %","53.0 %","59.2 %","9.1 %","79","133","58","81","91","96","16.8 %","7.4 %","4.12","4.52","-0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1","6.0","3.2","9.2","21 - 36","9.4 %","43.9 %","27.3 %","28.7 %","18.7 %","55.8 %","25.5 %","4.16","27.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angels","95","67","3.68","541","162","7","3","54","55","17","1464.1","6158","1419","643","598","158","443","24","48","70","1","1126","28","95","67","3.68","541","162","7","3","54","17","1464.1","6158","1419","643","598","158","443","24","48","70","1","1126","1831","1724","887","180","8240","14981","23221","761","110","97","34","6.92","2.72","2.54","8.72","0.97",".250","1.27",".288","75.0 %","3.89","1.06","20.0 %","41.2 %","38.8 %","10.4 %","9.2 %","6.0 %","35.1 %","162.3","1011.2","45.0","447.3","207.3","21.4","$100.6","4.15","4.11","11.25","-107.81","119.06","102.78","10.48","1.06","1.39","1.15","1.26","378","8.47","2.15","62.7 %","91.1","15.0 %","82.1","1.9 %","87.1","8.5 %","78.1","10.0 %","82.0","1.9 %","84.6","","","4.9 %","0.3 %","43.1","7.8","0.8","15.1","-8.3","11.3","","0.31","0.23","0.18","0.81","-0.38","2.67","","22.5 %","67.7 %","46.9 %","54.9 %","87.7 %","80.5 %","54.1 %","62.5 %","9.1 %","55","134","53","86","92","95","18.3 %","7.2 %","3.96","4.68","-0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6","1.2","5.0","6.2","22 - 35","11.1 %","40.1 %","31.2 %","28.8 %","15.7 %","56.6 %","27.7 %","3.95","28.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","88","74","3.70","572","162","9","2","38","47","18","1450.1","6080","1315","658","596","154","504","42","60","41","3","1075","28","88","74","3.70","572","162","9","2","38","18","1450.1","6080","1315","658","596","154","504","42","60","41","3","1075","1923","1513","935","192","8741","14331","23072","772","117","70","13","6.67","3.13","2.13","8.16","0.96",".238","1.25",".271","73.4 %","4.08","1.27","21.4 %","44.0 %","34.6 %","12.7 %","10.2 %","6.1 %","18.6 %","137.4","999.8","41.6","444.7","179.0","18.3","$85.9","4.51","4.14","6.20","-98.43","104.64","78.38","7.93","0.96","1.37","0.99","1.03","410","8.98","-2.53","56.3 %","89.6","16.5 %","82.2","2.8 %","84.7","10.3 %","73.0","9.3 %","80.0","4.8 %","85.9","","","7.4 %","0.3 %","10.5","39.9","3.1","24.3","16.2","15.8","","0.09","1.13","0.53","1.10","0.81","1.57","","23.3 %","66.9 %","45.1 %","54.5 %","88.3 %","79.6 %","50.0 %","57.4 %","9.2 %","47","92","55","87","95","96","17.7 %","8.3 %","4.10","4.79","-0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2","7.4","-1.5","5.9","21 - 36","9.4 %","44.7 %","28.6 %","26.8 %","16.7 %","54.1 %","29.2 %","4.16","28.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","83","79","3.72","558","162","9","4","44","52","16","1464.1","6072","1458","662","606","169","348","38","43","35","4","965","27","83","79","3.72","558","162","9","4","44","16","1464.1","6072","1458","662","606","169","348","38","43","35","4","965","2079","1634","899","194","7370","14452","21822","688","121","102","18","5.93","2.14","2.77","8.96","1.04",".257","1.23",".283","73.6 %","4.00","1.27","19.5 %","45.1 %","35.4 %","11.9 %","10.3 %","5.8 %","17.6 %","144.8","1022.4","38.9","436.8","183.7","19.0","$89.4","4.32","4.04","8.82","-106.59","115.41","99.88","9.88","1.05","1.49","1.15","1.26","396","10.18","-1.74","66.8 %","91.3","16.0 %","84.9","0.4 %","88.1","5.6 %","76.7","11.2 %","80.2","","","","","11.2 %","0.2 %","16.8","20.7","0.5","-1.4","29.4","","","0.13","0.67","0.59","-0.12","1.36","","","28.1 %","69.0 %","49.3 %","63.4 %","88.3 %","81.4 %","51.8 %","64.7 %","9.1 %","52","125","67","86","95","93","15.9 %","5.7 %","4.01","4.23","-0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6","3.0","4.5","7.6","21 - 42","10.2 %","40.8 %","30.5 %","28.7 %","14.6 %","58.2 %","27.2 %","4.07","24.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","83","79","3.77","554","162","8","3","38","49","21","1435.2","6121","1390","648","602","135","491","43","56","32","4","1012","31","83","79","3.77","554","162","8","3","38","21","1435.2","6121","1390","648","602","135","491","43","56","32","4","1012","1954","1539","929","149","8485","14389","22874","722","143","137","22","6.34","3.08","2.06","8.71","0.85",".249","1.31",".283","73.7 %","3.98","1.27","21.0 %","44.2 %","34.8 %","9.7 %","8.8 %","7.3 %","16.1 %","143.9","1021.5","22.2","408.1","166.1","17.4","$81.7","4.42","4.23","2.03","-106.96","108.98","57.69","6.00","1.02","1.56","1.05","1.12","392","3.33","-1.35","57.7 %","88.9","13.1 %","82.8","1.0 %","84.0","6.7 %","73.5","19.6 %","80.2","1.8 %","82.6","","","0.9 %","0.3 %","-1.9","14.9","-3.6","18.3","47.8","4.0","","-0.01","0.50","-1.62","1.20","1.08","0.95","","19.4 %","67.0 %","45.4 %","51.1 %","87.1 %","80.1 %","54.6 %","58.8 %","9.0 %","49","94","60","91","95","99","16.5 %","8.0 %","4.21","4.53","-0.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","3.5","-0.1","3.4","24 - 40","8.5 %","41.1 %","29.9 %","29.1 %","19.5 %","57.5 %","23.0 %","4.26","26.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nationals","81","81","3.87","632","162","4","1","51","69","18","1458.0","6286","1456","673","627","140","539","77","72","49","8","997","29","81","81","3.87","632","162","4","1","51","18","1458.0","6286","1456","673","627","140","539","77","72","49","8","997","1820","1696","1016","209","8865","14866","23731","639","103","146","32","6.15","3.33","1.85","8.99","0.86",".257","1.37",".290","74.5 %","4.16","1.07","22.4 %","40.2 %","37.4 %","12.3 %","8.3 %","5.7 %","21.9 %","115.1","963.4","23.5","486.9","138.6","14.5","$68.1","4.63","4.51","8.10","-114.76","122.87","34.47","3.44","1.12","1.58","1.16","1.26","470","2.08","5.16","64.2 %","89.6","17.8 %","82.0","4.7 %","86.4","6.3 %","74.3","6.8 %","81.6","0.2 %","82.9","","","2.5 %","0.1 %","38.7","-3.9","16.1","4.3","2.1","1.0","","0.26","-0.09","1.47","0.30","0.14","2.58","","17.8 %","67.6 %","45.4 %","52.9 %","88.8 %","82.6 %","55.4 %","58.1 %","7.8 %","69","140","71","95","101","106","15.9 %","8.6 %","4.42","3.94","-0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4","1.2","2.7","3.9","23 - 38","7.3 %","40.5 %","30.1 %","29.4 %","18.0 %","54.8 %","27.2 %","4.41","26.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brewers","81","81","3.98","557","162","7","2","46","61","21","1438.0","6208","1382","697","636","169","569","52","45","66","8","1173","28","81","81","3.98","557","162","7","2","46","21","1438.0","6208","1382","697","636","169","569","52","45","66","8","1173","1781","1617","907","176","8953","14735","23688","726","131","116","24","7.34","3.56","2.06","8.65","1.06",".247","1.36",".285","73.8 %","4.20","1.10","21.1 %","41.4 %","37.6 %","10.9 %","10.5 %","7.4 %","20.7 %","137.1","989.1","23.1","441.9","160.2","16.5","$77.6","4.71","4.22","1.58","-112.98","114.56","32.13","3.00","1.04","1.77","1.16","1.28","395","-0.39","1.91","59.5 %","89.7","12.1 %","82.3","5.7 %","84.9","9.1 %","76.9","12.1 %","80.0","1.6 %","83.0","","","7.9 %","0.4 %","7.3","-10.2","-10.0","10.4","7.0","6.1","","0.06","-0.39","-0.80","0.53","0.27","1.72","","23.5 %","68.8 %","46.2 %","53.9 %","86.6 %","78.3 %","50.1 %","57.7 %","9.9 %","61","117","71","93","97","99","18.9 %","9.2 %","4.11","4.54","-0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","2.6","-2.4","0.2","21 - 35","9.7 %","41.0 %","30.6 %","28.4 %","16.4 %","56.7 %","26.9 %","4.12","30.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
