"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Astros","1991","1458","13242.0","4414","1782","108","","","389","","","","","75","42","9","50",".983","1","1991","1458","13242.0","4414","1782","108","","","389","","","","","75","42","9","50",".983","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","2075","1458","13026.0","4340","1732","134","","","417","","","","","93","57","8","46",".978","-15","2075","1458","13026.0","4340","1732","134","","","417","","","","","93","57","8","46",".978","-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brewers","2169","1458","13059.0","4353","1761","110","","","517","","","","","125","34","14","48",".982","24","2169","1458","13059.0","4353","1761","110","","","517","","","","","125","34","14","48",".982","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expos","2175","1458","12843.0","4280","1687","155","","","334","","","","","132","64","18","50",".975","35","2175","1458","12843.0","4280","1687","155","","","334","","","","","132","64","18","50",".975","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","2173","1458","13122.0","4374","1672","101","","","395","","","","","117","64","9","40",".984","8","2173","1458","13122.0","4374","1672","101","","","395","","","","","117","64","9","40",".984","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phillies","1993","1458","13167.0","4389","1747","110","","","348","","","","","87","33","15","73",".982","34","1993","1458","13167.0","4389","1747","110","","","348","","","","","87","33","15","73",".982","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pirates","2035","1467","13041.0","4346","1698","140","","","433","","","","","95","39","14","45",".977","-13","2035","1467","13041.0","4346","1698","140","","","433","","","","","95","39","14","45",".977","-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","2194","1467","13227.0","4407","1781","142","","","422","","","","","92","44","6","42",".978","8","2194","1467","13227.0","4407","1781","142","","","422","","","","","92","44","6","42",".978","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Padres","2126","1458","13091.2","4364","1727","104","","","418","","","","","94","40","17","63",".983","-54","2126","1458","13091.2","4364","1727","104","","","418","","","","","94","40","17","63",".983","-54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","2178","1467","13293.0","4431","1806","101","","","427","","","","","97","39","13","58",".984","11","2178","1467","13293.0","4431","1806","101","","","427","","","","","97","39","13","58",".984","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
