"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Angels","2076","1458","12996.0","4329","1646","106","","","392","","","","","156","65","29","70",".983","-67","2076","1458","12996.0","4329","1646","106","","","392","","","","","156","65","29","70",".983","-67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orioles","2087","1458","12882.0","4293","1760","81","","","394","","","","","182","53","12","51",".987","-10","2087","1458","12882.0","4293","1760","81","","","394","","","","","182","53","12","51",".987","-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","2062","1458","12924.0","4307","1625","105","","","337","","","","","132","58","35","62",".983","65","2062","1458","12924.0","4307","1625","105","","","337","","","","","132","58","35","62",".983","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","2034","1467","12948.0","4315","1705","140","","","455","","","","","122","59","8","58",".977","5","2034","1467","12948.0","4315","1705","140","","","455","","","","","122","59","8","58",".977","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","2049","1458","13140.0","4382","1726","110","","","396","","","","","110","47","8","35",".982","37","2049","1458","13140.0","4382","1726","110","","","396","","","","","110","47","8","35",".982","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tigers","2058","1458","13017.0","4340","1812","115","","","452","","","","","120","69","14","60",".982","57","2058","1458","13017.0","4340","1812","115","","","452","","","","","120","69","14","60",".982","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Royals","2040","1449","12927.0","4309","1689","125","","","461","","","","","80","43","11","72",".980","-8","2040","1449","12927.0","4309","1689","125","","","461","","","","","80","43","11","72",".980","-8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","2074","1458","13029.0","4343","1584","108","","","359","","","","","101","45","11","55",".982","-107","2074","1458","13029.0","4343","1584","108","","","359","","","","","101","45","11","55",".982","-107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","1942","1458","13110.0","4368","1643","98","","","386","","","","","102","51","12","37",".984","26","1942","1458","13110.0","4368","1643","98","","","386","","","","","102","51","12","37",".984","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","2119","1458","12906.0","4302","1655","141","","","426","","","","","103","48","13","68",".977","-67","2119","1458","12906.0","4302","1655","141","","","426","","","","","103","48","13","68",".977","-67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","2049","1449","12819.0","4272","1571","125","","","368","","","","","127","49","11","61",".979","-15","2049","1449","12819.0","4272","1571","125","","","368","","","","","127","49","11","61",".979","-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Devil Rays","2026","1458","12987.0","4328","1766","94","","","482","","","","","97","61","19","43",".985","89","2026","1458","12987.0","4328","1766","94","","","482","","","","","97","61","19","43",".985","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","2018","1458","12882.0","4294","1580","121","","","363","","","","","64","55","10","62",".980","19","2018","1458","12882.0","4294","1580","121","","","363","","","","","64","55","10","62",".980","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","2027","1466","13176.0","4394","1531","125","","","347","","","","","149","47","8","34",".979","2","2027","1466","13176.0","4394","1531","125","","","347","","","","","149","47","8","34",".979","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","2037","1458","12891.0","4296","1720","100","","","345","","","","","93","63","9","52",".984","18","2037","1458","12891.0","4296","1720","100","","","345","","","","","93","63","9","52",".984","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","2032","1458","12948.0","4316","1681","91","","","379","","","","","85","40","13","51",".985","84","2032","1458","12948.0","4316","1681","91","","","379","","","","","85","40","13","51",".985","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cubs","2250","1467","13296.0","4432","1622","101","","","279","","","","","120","43","7","48",".984","-15","2250","1467","13296.0","4432","1622","101","","","279","","","","","120","43","7","48",".984","-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reds","2139","1458","12972.0","4324","1563","122","","","387","","","","","117","46","10","60",".980","15","2139","1458","12972.0","4324","1563","122","","","387","","","","","117","46","10","60",".980","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockies","2118","1458","12894.0","4297","1797","102","","","517","","","","","108","52","9","47",".984","13","2118","1458","12894.0","4297","1797","102","","","517","","","","","108","52","9","47",".984","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marlins","2055","1458","13047.0","4347","1738","129","","","471","","","","","109","54","18","62",".979","-12","2055","1458","13047.0","4347","1738","129","","","471","","","","","109","54","18","62",".979","-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
