"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Twins","2037","1458","12795.0","4265","1621","119","56","62","372","153","122","153","37","96","44","12","47",".980","","2037","1458","12795.0","4265","1621","119","56","62","372","153","122","153","37","96","44","12","47",".980","","2","-2","-3","-4","-44","-52","2385","1971",".826","472","","-30","-1.6","-2.1","-3.5","-5.6","-12.8","-2.0","55","-1.9","-7.7","","","","","","","","","","","",""
"Phillies","1980","1458","13293.0","4431","1620","74","41","32","333","138","93","139","30","106","29","12","23",".988","","1980","1458","13293.0","4431","1620","74","41","32","333","138","93","139","30","106","29","12","23",".988","","-5","0","-3","-3","-30","-56","2175","1836",".844","402","","27","-1.3","-4.5","-10.4","11.3","-4.9","-1.4","47","2.8","-12.1","","","","","","","","","","","",""
"Tigers","2164","1458","12960.0","4320","1639","103","55","42","342","150","116","150","26","119","49","8","69",".983","","2164","1458","12960.0","4320","1639","103","55","42","342","150","116","150","26","119","49","8","69",".983","","-3","5","3","2","3","12","2283","1904",".834","488","","-6","3.3","3.6","-15.1","3.4","-4.8","0.2","57","-6.2","-13.0","","","","","","","","","","","",""
"White Sox","2018","1458","13140.0","4380","1667","79","42","37","328","130","113","130","27","135","37","10","55",".987","","2018","1458","13140.0","4380","1667","79","42","37","328","130","113","130","27","135","37","10","55",".987","","-2","3","-12","-4","9","-5","2246","1879",".837","437","","-19","-12.0","2.9","-8.0","11.1","-6.0","-2.6","62","-1.6","-13.5","","","","","","","","","","","",""
"Astros","2142","1458","12915.0","4305","1632","116","60","54","324","143","111","143","45","131","31","8","39",".981","","2142","1458","12915.0","4305","1632","116","60","54","324","143","111","143","45","131","31","8","39",".981","","-2","-3","7","18","-5","12","2208","1828",".828","450","","-26","1.0","1.3","-11.7","-3.0","-12.4","-1.4","72","6.0","-14.3","","","","","","","","","","","",""
"Braves","2118","1458","13317.0","4439","1675","83","52","31","315","131","98","131","47","128","41","9","61",".987","","2118","1458","13317.0","4439","1675","83","52","31","315","131","98","131","47","128","41","9","61",".987","","0","-2","-8","-8","21","21","2163","1814",".839","476","","7","-3.7","0.5","-21.8","5.9","-19.2","-3.2","94","5.5","-18.7","","","","","","","","","","","",""
"Marlins","2167","1458","13137.0","4379","1553","93","50","43","287","126","88","126","36","103","24","10","43",".985","","2167","1458","13137.0","4379","1553","93","50","43","287","126","88","126","36","103","24","10","43",".985","","-3","-1","6","-11","-42","-70","2222","1835",".826","460","","-1","1.8","0.0","-12.9","-2.9","-14.0","-1.5","59","0.9","-19.2","","","","","","","","","","","",""
"Athletics","2042","1458","13029.0","4343","1529","124","53","67","334","145","102","145","50","119","47","6","53",".979","","2042","1458","13029.0","4343","1529","124","53","67","334","145","102","145","50","119","47","6","53",".979","","2","2","-5","7","-35","-44","2175","1790",".823","490","","-14","-6.8","3.2","-6.3","-12.9","-22.8","-4.2","63","0.4","-21.5","","","","","","","","","","","",""
"Pirates","2237","1458","13044.0","4348","1771","112","56","53","363","156","124","155","38","123","40","13","60",".982","","2237","1458","13044.0","4348","1771","112","56","53","363","156","124","155","38","123","40","13","60",".982","","-1","-5","-9","-7","-6","-43","2294","1920",".837","496","","-16","-6.2","-6.2","-6.3","0.5","-18.2","-3.5","62","-4.0","-23.2","","","","","","","","","","","",""
"Cardinals","2304","1458","13158.0","4386","1815","116","67","48","411","170","135","169","38","64","25","10","48",".982","","2304","1458","13158.0","4386","1815","116","67","48","411","170","135","169","38","64","25","10","48",".982","","-1","1","-7","4","-3","-4","2389","1977",".828","473","","-19","-8.0","3.2","-18.2","-11.6","-34.7","-5.7","80","5.0","-24.6","","","","","","","","","","","",""
"Blue Jays","2075","1458","13128.0","4376","1703","110","57","51","355","150","112","151","46","111","40","20","73",".982","","2075","1458","13128.0","4376","1703","110","57","51","355","150","112","151","46","111","40","20","73",".982","","-4","-2","4","-20","17","-7","2229","1888",".847","500","","-17","6.2","-2.3","-16.7","-1.8","-14.5","-1.0","66","-8.4","-28.9","","","","","","","","","","","",""
"Indians","2088","1458","13080.0","4360","1689","110","65","45","304","131","107","131","41","104","48","9","42",".982","","2088","1458","13080.0","4360","1689","110","65","45","304","131","107","131","41","104","48","9","42",".982","","2","-4","5","-15","0","-32","2372","1996",".842","474","","-2","-2.5","-5.8","-30.5","-3.4","-42.2","-6.2","51","-0.5","-38.8","","","","","","","","","","","",""
"Orioles","2077","1458","13020.0","4340","1655","110","69","40","392","160","128","159","48","83","42","4","32",".982","","2077","1458","13020.0","4340","1655","110","69","40","392","160","128","159","48","83","42","4","32",".982","","5","1","2","19","-35","-2","2365","1946",".823","449","","7","5.4","4.1","-66.8","-2.8","-60.1","-6.4","66","7.6","-47.5","","","","","","","","","","","",""
"Mets","2148","1458","13032.0","4344","1697","116","61","53","303","126","92","126","50","121","33","26","46",".981","","2148","1458","13032.0","4344","1697","116","61","53","303","126","92","126","50","121","33","26","46",".981","","-7","-10","1","-15","-31","-62","2250","1870",".831","462","","-19","-7.6","-6.9","-33.2","-14.2","-61.9","-9.8","70","-1.6","-72.5","","","","","","","","","","","",""
