"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Devil Rays","1984","1449","12753.0","4251","1528","119","60","57","344","148","104","144","22","67","32","8","55",".980","","1984","1449","12753.0","4251","1528","119","60","57","344","148","104","144","22","67","32","8","55",".980","","1","0","11","-6","-9","6","2665","1996",".749","361","","","11.0","-0.8","58.5","-11.6","57.1","9.5","","","63.1","","","","","","","","","","","",""
"Dodgers","2126","1458","13080.0","4360","1666","73","35","36","377","146","126","146","29","96","40","15","43",".988","","2126","1458","13080.0","4360","1666","73","35","36","377","146","126","146","29","96","40","15","43",".988","","-1","1","-1","2","60","72","2479","1878",".758","365","","","0.8","6.4","36.9","14.8","58.9","8.9","","","57.9","","","","","","","","","","","",""
"Mariners","2038","1458","13134.0","4378","1470","103","50","51","331","144","101","142","31","64","38","10","45",".983","","2038","1458","13134.0","4378","1470","103","50","51","331","144","101","142","31","64","38","10","45",".983","","0","2","6","9","5","28","2610","1959",".751","324","","","8.7","-0.4","37.4","-2.5","43.2","7.2","","","47.2","","","","","","","","","","","",""
"Blue Jays","1990","1449","12789.0","4263","1628","91","42","48","341","151","110","149","19","91","41","11","60",".985","","1990","1449","12789.0","4263","1628","91","42","48","341","151","110","149","19","91","41","11","60",".985","","6","-3","11","-3","25","37","2691","1977",".735","344","","","8.3","0.1","17.9","10.0","36.3","6.2","","","41.3","","","","","","","","","","","",""
"White Sox","2028","1458","12891.0","4297","1669","100","54","42","389","172","121","167","39","90","48","14","43",".984","","2028","1458","12891.0","4297","1669","100","54","42","389","172","121","167","39","90","48","14","43",".984","","1","2","7","2","16","32","2668","1966",".737","318","","","4.8","-0.4","23.0","7.0","34.4","5.7","","","39.4","","","","","","","","","","","",""
"Cubs","2098","1458","13188.0","4396","1575","86","48","38","292","131","92","127","27","108","39","9","50",".986","","2098","1458","13188.0","4396","1575","86","48","38","292","131","92","127","27","108","39","9","50",".986","","-4","-10","-1","-5","5","-18","2446","1804",".738","327","","","3.0","-1.5","30.9","3.6","36.1","5.6","","","29.1","","","","","","","","","","","",""
"Braves","2149","1458","13050.0","4350","1788","116","63","50","429","178","139","173","29","91","29","10","36",".982","","2149","1458","13050.0","4350","1788","116","63","50","429","178","139","173","29","91","29","10","36",".982","","-2","-5","11","1","38","39","2685","1963",".731","424","","","15.9","-2.9","26.4","-6.0","33.3","6.6","","","27.3","","","","","","","","","","","",""
"Rangers","2080","1458","12957.0","4318","1602","117","66","49","383","157","126","152","20","71","39","16","34",".981","","2080","1458","12957.0","4318","1602","117","66","49","383","157","126","152","20","71","39","16","34",".981","","-1","-3","-9","-3","-22","-26","2700","2009",".744","321","","","-1.1","-2.2","26.8","-6.4","17.2","1.9","","","22.2","","","","","","","","","","","",""
"Cardinals","2221","1458","13083.0","4360","1832","97","60","36","366","159","116","156","27","53","29","9","42",".985","","2221","1458","13083.0","4360","1832","97","60","36","366","159","116","156","27","53","29","9","42",".985","","3","-3","10","4","37","51","2567","1911",".744","397","","","7.3","-4.5","9.2","4.1","16.0","3.1","","","21.0","","","","","","","","","","","",""
"Angels","2056","1458","13089.0","4363","1508","90","54","33","274","130","84","127","43","87","44","11","61",".985","","2056","1458","13089.0","4363","1508","90","54","33","274","130","84","127","43","87","44","11","61",".985","","5","-6","7","7","-35","-16","2568","1889",".736","351","","","10.1","-4.7","5.7","0.8","11.9","2.9","","","19.9","","","","","","","","","","","",""
