"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Mariners","1943","1458","12969.0","4323","1449","65","38","27","377","163","126","161","0","62","32","12","35",".989","","1943","1458","12969.0","4323","1449","65","38","27","377","163","126","161","0","62","32","12","35",".989","","2","6","-1","0","31","41","2669","2053",".769","330","","","-0.4","4.5","60.5","11.5","76.1","10.8","","","83.1","","","","","","","","","","","",""
"Giants","2104","1449","12936.0","4312","1673","80","45","34","394","161","128","163","0","67","29","8","68",".987","","2104","1449","12936.0","4312","1673","80","45","34","394","161","128","163","0","67","29","8","68",".987","","-4","4","7","0","18","32","2442","1896",".776","342","","","8.6","5.4","36.1","9.3","59.4","10.1","","","56.4","","","","","","","","","","","",""
"Dodgers","2147","1458","13119.0","4371","1810","118","53","62","399","163","138","164","0","117","75","8","50",".981","","2147","1458","13119.0","4371","1810","118","53","62","399","163","138","164","0","117","75","8","50",".981","","12","2","-3","0","39","68","2216","1653",".746","345","","","-4.2","3.6","35.4","1.8","36.6","4.7","","","52.6","","","","","","","","","","","",""
"Devil Rays","1965","1458","12930.0","4310","1579","103","63","39","353","154","121","157","0","65","41","9","65",".983","","1965","1458","12930.0","4310","1579","103","63","39","353","154","121","157","0","65","41","9","65",".983","","5","2","8","0","-1","18","2703","2025",".749","346","","","4.7","-3.5","44.1","-3.9","41.4","5.8","","","52.4","","","","","","","","","","","",""
"Astros","2153","1458","13050.0","4350","1707","95","56","37","360","145","121","149","0","86","48","4","40",".985","","2153","1458","13050.0","4350","1707","95","56","37","360","145","121","149","0","86","48","4","40",".985","","4","-2","24","0","35","71","2400","1808",".753","361","","","20.7","-2.5","19.8","-0.7","37.2","9.3","","","46.2","","","","","","","","","","","",""
"Angels","2108","1458","12882.0","4294","1516","105","54","49","315","138","101","139","0","80","48","11","53",".982","","2108","1458","12882.0","4294","1516","105","54","49","315","138","101","139","0","80","48","11","53",".982","","3","2","1","0","16","22","2599","1943",".748","310","","","7.7","0.3","33.0","-1.7","39.3","6.6","","","45.3","","","","","","","","","","","",""
"White Sox","2068","1458","12879.0","4293","1583","93","47","44","381","153","122","154","0","58","29","13","39",".984","","2068","1458","12879.0","4293","1583","93","47","44","381","153","122","154","0","58","29","13","39",".984","","2","2","-5","0","24","27","2602","1955",".751","352","","","-2.8","3.7","23.1","2.0","26.0","3.3","","","33.0","","","","","","","","","","","",""
"Indians","2035","1458","13134.0","4378","1779","126","67","56","425","183","136","181","0","84","43","11","49",".980","","2035","1458","13134.0","4378","1779","126","67","56","425","183","136","181","0","84","43","11","49",".980","","2","4","-2","0","25","28","2703","2031",".751","349","","","0.0","3.0","24.5","-4.9","22.8","3.2","","","28.8","","","","","","","","","","","",""
"Twins","2038","1458","13155.0","4385","1475","87","45","38","268","114","88","115","0","70","27","10","62",".985","","2038","1458","13155.0","4385","1475","87","45","38","268","114","88","115","0","70","27","10","62",".985","","-2","-3","-1","0","-9","-5","2607","1929",".740","337","","","-2.3","-7.7","23.0","10.1","23.2","1.3","","","23.2","","","","","","","","","","","",""
"Padres","2151","1458","12882.0","4294","1633","102","50","50","319","140","100","143","0","95","25","15","64",".983","","2151","1458","12882.0","4294","1633","102","50","50","319","140","100","143","0","95","25","15","64",".983","","-8","-4","12","0","-15","-16","2474","1862",".753","336","","","8.5","-2.2","28.6","-1.4","33.5","5.6","","","20.5","","","","","","","","","","","",""
