"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Cubs","2274","1458","13137.0","4379","1634","101","38","60","277","118","89","116","28","133","38","12","80",".984","","2274","1458","13137.0","4379","1634","101","38","60","277","118","89","116","28","133","38","12","80",".984","","2","-1","-4","-5","99","95","1947","1661",".853","467","","49","1.0","-1.0","42.8","4.3","47.1","6.4","","","43.1","0.0 %","203","5.6 %","160","32.0 %","150","49.4 %","83","76.7 %","159","97.7 %","2591"
"Red Sox","2089","1458","12957.0","4319","1427","76","38","37","332","141","103","141","23","59","33","37","52",".987","","2089","1458","12957.0","4319","1427","76","38","37","332","141","103","141","23","59","33","37","52",".987","","4","1","7","12","24","48","1993","1646",".826","521","","34","5.8","2.6","16.4","4.5","29.3","5.2","","","36.3","0.0 %","268","2.5 %","160","28.5 %","130","53.7 %","108","81.0 %","174","98.0 %","2586"
"Marlins","2253","1449","12915.0","4305","1507","86","47","37","328","140","97","140","27","76","38","9","66",".985","","2253","1449","12915.0","4305","1507","86","47","37","328","140","97","140","27","76","38","9","66",".985","","0","-4","7","3","19","14","1984","1640",".827","476","","24","4.0","-2.2","18.4","12.1","32.3","4.8","","","35.3","0.0 %","306","4.4 %","161","30.9 %","139","61.3 %","106","78.6 %","173","98.3 %","2527"
"Angels","2235","1458","12792.0","4264","1483","97","37","56","356","149","109","150","37","93","47","7","47",".983","","2235","1458","12792.0","4264","1483","97","37","56","356","149","109","150","37","93","47","7","47",".983","","3","-1","4","13","10","30","2129","1690",".794","562","","0","5.9","1.1","25.5","-6.8","25.7","4.7","","","34.7","0.0 %","289","8.2 %","184","26.2 %","149","56.7 %","104","74.9 %","171","97.4 %","2741"
"Giants","2214","1458","13143.0","4381","1639","72","43","27","348","137","114","137","19","71","35","6","40",".988","","2214","1458","13143.0","4381","1639","72","43","27","348","137","114","137","19","71","35","6","40",".988","","2","0","-3","1","40","58","2080","1729",".831","545","","51","-5.1","2.1","18.2","11.3","26.4","2.5","","","32.4","0.0 %","233","5.4 %","184","25.8 %","132","59.2 %","103","75.4 %","195","98.5 %","2670"
"Royals","2043","1458","12960.0","4320","1526","94","44","49","332","134","107","134","39","55","42","7","55",".984","","2043","1458","12960.0","4320","1526","94","44","49","332","134","107","134","39","55","42","7","55",".984","","4","-3","8","5","7","20","2172","1760",".810","510","","38","3.7","-3.0","11.3","9.2","21.2","2.9","","","32.2","0.0 %","254","7.5 %","188","35.2 %","145","51.2 %","82","73.5 %","189","97.9 %","2652"
"Indians","2222","1449","13005.0","4335","1608","89","55","34","287","127","90","127","26","51","32","12","49",".985","","2222","1449","13005.0","4335","1608","89","55","34","287","127","90","127","26","51","32","12","49",".985","","3","-5","8","-3","7","15","2063","1711",".829","534","","7","4.5","1.5","17.3","-2.9","20.4","3.9","","","26.4","0.0 %","269","8.6 %","151","29.9 %","117","54.4 %","92","77.6 %","192","97.6 %","2580"
"Phillies","2175","1458","12933.0","4311","1503","97","57","36","345","143","112","143","19","70","32","10","57",".984","","2175","1458","12933.0","4311","1503","97","57","36","345","143","112","143","19","70","32","10","57",".984","","0","-1","6","-9","-20","-30","2012","1670",".830","507","","-20","-3.7","1.1","23.3","1.0","21.6","2.2","","","22.6","0.0 %","288","4.0 %","151","21.1 %","147","41.0 %","105","74.7 %","178","98.0 %","2684"
"Dodgers","2332","1458","13077.0","4359","1448","80","44","35","234","102","71","103","31","87","36","13","58",".986","","2332","1458","13077.0","4359","1448","80","44","35","234","102","71","103","31","87","36","13","58",".986","","0","-8","-2","-8","42","40","1877","1529",".815","532","","16","-6.7","-5.7","22.1","8.5","18.3","0.1","","","19.3","0.0 %","259","3.5 %","173","29.2 %","137","55.4 %","83","74.4 %","176","98.0 %","2515"
"Astros","2158","1458","13212.0","4404","1599","77","43","31","315","136","96","136","31","67","31","18","98",".987","","2158","1458","13212.0","4404","1599","77","43","31","315","136","96","136","31","67","31","18","98",".987","","3","7","20","5","16","59","1998","1589",".795","672","","24","20.4","-2.5","-2.1","-5.1","10.7","5.1","","","14.7","0.0 %","316","3.2 %","156","32.9 %","140","49.2 %","120","82.0 %","183","98.0 %","2611"
