"Name","Team","FP","E","playerid"
"Mallex Smith","TBR",".975","3","13608"
"Austin Wynns","BAL","1.000","0","15271"
"Raffy Lopez","SDP",".996","1","12606"
"Brett Phillips","- - -","1.000","0","14735"
"Carlos Gonzalez","COL",".989","2","7287"
"Johnny Field","- - -",".979","1","15048"
"Kyle Schwarber","CHC",".994","1","16478"
"Bobby Wilson","MIN",".998","1","6564"
"Ben Zobrist","CHC","1.000","0","7435"
"Roberto Perez","CLE",".989","5","2900"
"Bruce Maxwell","OAK","1.000","0","13866"
"Robinson Chirinos","TEX",".998","1","3142"
"Welington Castillo","CHW","1.000","0","3256"
"Russell Martin","TOR",".992","5","4616"
"Ryan McMahon","COL","1.000","0","15112"
"Starling Marte","PIT",".993","2","9241"
"Jedd Gyorko","STL",".954","6","10816"
"Chris Owings","ARI",".913","2","10030"
"Jordan Luplow","PIT",".967","1","16424"
"Kurt Suzuki","ATL",".994","4","8259"
"Michael Conforto","NYM","1.000","0","16376"
"Jean Segura","SEA",".967","14","5933"
"Mark Canha","OAK","1.000","0","11445"
"Andrew Knapp","PHI",".978","8","14942"
"Ronald Torreyes","NYY","1.000","0","11400"
"Rosell Herrera","KCR","1.000","0","11611"
"Carlos Tocci","TEX","1.000","0","14558"
"Chris Iannetta","COL",".994","3","8267"
"Asdrubal Cabrera","PHI","1.000","0","4962"
"Adalberto Mondesi","KCR","1.000","0","13769"
"Ryan Goins","KCR",".991","1","9807"
"Eduardo Nunez","BOS",".967","2","6848"
"Tyler Naquin","CLE","1.000","0","13359"
"Wil Myers","SDP","1.000","0","10047"
"Brett Gardner","NYY",".988","2","9927"
"Mitch Garver","MIN",".996","2","15161"
"Whit Merrifield","KCR","1.000","0","11281"
"Blake Swihart","BOS","1.000","0","13176"
"Zack Cozart","LAA","1.000","0","2616"
"Jonathan Schoop","- - -",".975","11","11265"
"Jake Lamb","ARI",".977","3","13329"
"Todd Frazier","NYM",".969","7","785"
"Greg Garcia","STL","1.000","0","10951"
"Jose Briceno","LAA",".990","2","13151"
"Johan Camargo","ATL",".968","2","14950"
"Manny Machado","LAD",".979","1","11493"
"Aaron Altherr","PHI","1.000","0","11270"
"Austin Slater","SFG","1.000","0","16153"
"David Freese","PIT",".964","4","9549"
"Jason Heyward","CHC","1.000","0","4940"
