"Name","Team","PA","HR","R","RBI","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","H","2B","playerid"
"Yulieski Gurriel","Astros","433","7","53","58",".121",".298",".281",".312",".401",".308","96","114","26","19198"
"Marwin Gonzalez","Astros","429","10","42","46",".141",".302",".239",".322",".380",".307","96","90","17","5497"
"Rafael Devers","Red Sox","423","16","47","55",".180",".289",".242",".298",".422",".307","89","94","22","17350"
"Salvador Perez","Royals","427","21","40","60",".200",".249",".238",".276",".438",".305","90","95","17","7304"
"Ryon Healy","Mariners","410","23","43","60",".210",".247",".235",".268",".445",".304","94","92","13","15447"
"Jose Iglesias","Tigers","431","5","39","48",".125",".285",".264",".306",".389",".302","87","106","29","10231"
"Trey Mancini","Orioles","475","17","51","40",".156",".277",".235",".301",".391",".302","88","101","16","15149"
"Yoan Moncada","White Sox","498","15","57","46",".172",".322",".219",".302",".391",".302","90","97","21","17232"
"Jackie Bradley Jr.","Red Sox","413","11","58","48",".168",".272",".220",".305",".387",".301","85","80","22","12984"
"Yolmer Sanchez","White Sox","498","7","44","45",".140",".305",".248",".304",".388",".300","89","113","25","11602"
"Tim Anderson","White Sox","465","15","63","49",".164",".295",".245",".291",".409",".300","89","106","20","15172"
"Addison Russell","Cubs","423","5","51","37",".097",".320",".257",".325",".354",".299","84","98","20","14106"
"Kole Calhoun","Angels","401","17","56","50",".185",".247",".224",".287",".409",".299","90","81","12","11200"
"Kevin Pillar","Blue Jays","421","10","50","48",".164",".287",".253",".283",".417",".298","85","100","31","12434"
"Kyle Seager","Mariners","499","20","51","67",".190",".247",".226",".277",".416",".296","89","105","28","9785"
"Jason Kipnis","Indians","471","11","48","49",".135",".256",".222",".311",".357",".296","83","92","21","9776"
"Yangervis Solarte","Blue Jays","471","17","50","53",".164",".239",".233",".287",".397",".296","84","101","20","5352"
"Alex Gordon","Royals","408","8","36","31",".105",".292",".238",".321",".343",".295","83","86","14","5209"
"Ender Inciarte","Braves","504","7","59","49",".104",".277",".250",".309",".354",".292","80","115","19","4922"
"Miguel Rojas","Marlins","420","9","34","45",".098",".274",".256",".306",".355",".289","81","99","11","7802"
"Jonathan Schoop","- - -","417","17","51","43",".183",".262",".234",".262",".417",".289","79","93","20","11265"
