"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Royals","2100","1458","12936.0","4312","1553","106","54","49","384","160","116","160","27","70","26","5","56",".982","","2100","1458","12936.0","4312","1553","106","54","49","384","160","116","160","27","70","26","5","56",".982","","-1","7","-2","0","38","43","2495","2105",".844","385","","","9.3","3.1","63.2","-3.3","72.3","11.4","","","75.3","","","","","","","","","","","",""
"Cubs","2214","1458","13020.0","4340","1535","94","52","40","329","134","96","134","33","116","24","16","42",".984","","2214","1458","13020.0","4340","1535","94","52","40","329","134","96","134","33","116","24","16","42",".984","","-10","2","12","8","18","16","2267","1906",".841","326","","","14.6","5.3","44.4","2.9","67.1","13.6","","","49.1","","","","","","","","","","","",""
"Braves","2170","1458","13107.0","4369","1657","107","56","50","333","143","106","143","32","98","30","10","48",".983","","2170","1458","13107.0","4369","1657","107","56","50","333","143","106","143","32","98","30","10","48",".983","","-2","2","16","4","44","59","2364","1940",".821","460","","","21.9","-1.4","27.2","-2.3","45.5","10.2","","","40.5","","","","","","","","","","","",""
"Tigers","2113","1458","13026.0","4342","1635","99","51","47","365","148","119","148","37","73","31","10","75",".984","","2113","1458","13026.0","4342","1635","99","51","47","365","148","119","148","37","73","31","10","75",".984","","1","4","1","-3","33","42","2505","2083",".832","382","","","5.0","-2.1","28.2","1.5","32.6","4.8","","","38.6","","","","","","","","","","","",""
"Phillies","2255","1458","13125.0","4375","1723","89","54","34","375","165","114","165","20","84","39","8","46",".986","","2255","1458","13125.0","4375","1723","89","54","34","375","165","114","165","20","84","39","8","46",".986","","4","0","26","-3","16","47","2455","1989",".810","409","","","11.5","-0.6","20.5","1.2","32.6","6.1","","","38.6","","","","","","","","","","","",""
"Giants","2197","1458","13083.0","4361","1666","88","54","32","378","149","127","148","30","77","33","21","49",".986","","2197","1458","13083.0","4361","1666","88","54","32","378","149","127","148","30","77","33","21","49",".986","","2","-1","-5","-7","10","2","2440","2026",".830","388","","","-5.6","-0.8","20.8","12.7","27.2","2.5","","","30.2","","","","","","","","","","","",""
"Red Sox","2103","1458","12948.0","4316","1538","81","42","39","329","146","108","146","21","107","32","10","33",".986","","2103","1458","12948.0","4316","1538","81","42","39","329","146","108","146","21","107","32","10","33",".986","","-2","2","-8","13","6","2","2418","1995",".825","328","","","-6.4","-0.1","32.8","2.9","29.1","2.4","","","22.1","","","","","","","","","","","",""
"Twins","2037","1458","12930.0","4310","1611","95","45","48","363","152","116","151","23","65","41","6","46",".984","","2037","1458","12930.0","4310","1611","95","45","48","363","152","116","151","23","65","41","6","46",".984","","-2","0","2","9","10","27","2453","2004",".817","358","","","-4.2","-3.9","26.1","-0.7","17.3","1.2","","","21.3","","","","","","","","","","","",""
"Angels","2030","1458","12915.0","4305","1550","101","55","44","370","157","109","154","34","107","31","8","69",".983","","2030","1458","12915.0","4305","1550","101","55","44","370","157","109","154","34","107","31","8","69",".983","","-1","5","-2","-1","-12","-13","2406","1962",".816","374","","","2.3","1.9","17.1","-2.5","18.8","3.2","","","16.8","","","","","","","","","","","",""
"Mets","2094","1458","13071.0","4357","1518","101","50","50","302","124","93","124","24","105","29","5","36",".983","","2094","1458","13071.0","4357","1518","101","50","50","302","124","93","124","24","105","29","5","36",".983","","-1","-4","-11","-1","44","18","2327","1956",".841","393","","","-5.3","0.8","23.6","1.6","20.7","1.8","","","16.7","","","","","","","","","","","",""
