"Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","CPP","RPP","Def","0%","# 0%","1-10%","# 1-10%","10-40%","# 10-40%","40-60%","# 40-60%","60-90%","# 60-90%","90-100%","# 90-100%"
"Angels","2063","1458","13032.0","4344","1744","134","","","483","","","","","101","56","6","47",".979","70","2063","1458","13032.0","4344","1744","134","","","483","","","","","101","56","6","47",".979","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orioles","1980","1458","12900.0","4300","1576","116","","","403","","","","","104","31","6","51",".981","-21","1980","1458","12900.0","4300","1576","116","","","403","","","","","104","31","6","51",".981","-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","2129","1456","13074.0","4358","1646","109","","","320","","","","","159","47","26","33",".982","39","2129","1456","13074.0","4358","1646","109","","","320","","","","","159","47","26","33",".982","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","2097","1458","13053.0","4351","1687","133","","","503","","","","","79","58","13","43",".978","6","2097","1458","13053.0","4351","1687","133","","","503","","","","","79","58","13","43",".978","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indians","2095","1458","12981.0","4327","1667","72","","","403","","","","","109","42","10","50",".988","-14","2095","1458","12981.0","4327","1667","72","","","403","","","","","109","42","10","50",".988","-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tigers","2163","1457","12990.0","4330","1753","105","","","471","","","","","55","42","7","51",".983","1","2163","1457","12990.0","4330","1753","105","","","471","","","","","55","42","7","51",".983","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Royals","1932","1458","12954.0","4318","1752","102","","","495","","","","","118","38","7","77",".984","48","1932","1458","12954.0","4318","1752","102","","","495","","","","","118","38","7","77",".984","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","2075","1458","12894.0","4298","1526","102","","","411","","","","","64","33","13","68",".983","-47","2075","1458","12894.0","4298","1526","102","","","411","","","","","64","33","13","68",".983","-47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","2071","1449","12819.0","4273","1487","109","","","349","","","","","91","37","13","49",".981","-24","2071","1449","12819.0","4273","1487","109","","","349","","","","","91","37","13","49",".981","-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","2101","1449","12918.0","4306","1725","134","","","443","","","","","92","39","8","46",".978","-45","2101","1449","12918.0","4306","1725","134","","","443","","","","","92","39","8","46",".978","-45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","2114","1458","12975.0","4325","1633","99","","","476","","","","","82","38","8","43",".984","28","2114","1458","12975.0","4325","1633","99","","","476","","","","","82","38","8","43",".984","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Devil Rays","2024","1449","12882.0","4294","1815","118","","","457","","","","","114","46","14","57",".981","13","2024","1449","12882.0","4294","1815","118","","","457","","","","","114","46","14","57",".981","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","2086","1458","12861.0","4287","1596","135","","","436","","","","","65","37","8","40",".978","-61","2086","1458","12861.0","4287","1596","135","","","436","","","","","65","37","8","40",".978","-61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","1921","1458","12936.0","4312","1676","100","","","478","","","","","99","38","11","37",".984","0","1921","1458","12936.0","4312","1676","100","","","478","","","","","99","38","11","37",".984","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","2042","1458","12993.0","4331","1541","107","","","370","","","","","102","56","4","30",".982","15","2042","1458","12993.0","4331","1541","107","","","370","","","","","102","56","4","30",".982","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
