"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Braves","106","56","3.25","516","162","24","14","45","","","1438.2","5967","1291","581","520","117","467","37","35","51","3","1232","29","106","56","3.25","516","162","24","14","45","","1438.2","5967","1291","581","520","117","467","37","35","51","3","1232","","","","","","","","","","","","7.71","2.92","2.64","8.08","0.73",".236","1.22",".285","74.4 %","3.53","","","","","","","","","230.9","1072.8","24.8","361.2","255.7","27.0","","","","14.80","-93.29","108.09","145.02","14.71","1.00","0.97","1.12","1.24","354","15.60","-0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","47","78","83","","20.7 %","7.8 %","","","-0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6","3.5","0.2","3.7","21 - 43","12.8 %","","","","","","","3.88","30.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","102","60","3.50","501","162","12","7","44","","","1471.1","6214","1435","620","572","147","465","25","42","50","5","1187","27","102","60","3.50","501","162","12","7","44","","1471.1","6214","1435","620","572","147","465","25","42","50","5","1187","","","","","","","","","","","","7.26","2.84","2.55","8.78","0.90",".251","1.29",".295","76.1 %","3.86","","","","","","","","","151.2","1057.7","27.5","409.9","178.7","18.4","","","","8.93","-106.91","115.84","129.60","12.97","1.04","1.00","1.20","1.35","339","7.87","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","62","87","95","","19.1 %","7.5 %","","","-0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.3","-0.2","7.1","6.9","22 - 34","11.6 %","","","","","","","4.02","29.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Padres","98","64","3.63","531","162","14","5","59","","","1454.2","6151","1384","635","587","139","501","45","49","63","6","1217","29","98","64","3.63","531","162","14","5","59","","1454.2","6151","1384","635","587","139","501","45","49","63","6","1217","","","","","","","","","","","","7.53","3.10","2.43","8.56","0.86",".247","1.30",".293","74.7 %","3.84","","","","","","","","","166.8","1031.1","35.3","416.8","202.1","21.4","","","","8.83","-108.69","117.52","40.11","4.89","1.09","1.06","1.26","1.42","369","1.83","6.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","57","92","92","","19.8 %","8.2 %","","","-0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.0","0.3","1.3","1.6","23 - 37","11.6 %","","","","","","","4.02","30.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","88","74","3.77","561","162","9","3","46","","","1458.0","6161","1381","645","611","152","532","59","68","40","11","1129","30","88","74","3.77","561","162","9","3","46","","1458.0","6161","1381","645","611","152","532","59","68","40","11","1129","","","","","","","","","","","","6.97","3.28","2.12","8.52","0.94",".248","1.31",".287","75.6 %","4.18","","","","","","","","","128.1","1020.8","15.7","433.0","143.8","14.6","","","","2.11","-116.43","118.53","53.56","5.59","1.09","1.05","1.21","1.34","399","1.20","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","77","93","100","","18.3 %","8.6 %","","","-0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3","2.7","5.0","7.7","24 - 37","9.7 %","","","","","","","4.25","29.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","83","79","3.81","504","162","16","6","47","","","1447.1","6168","1332","678","612","135","587","26","56","46","9","1178","27","83","79","3.81","504","162","16","6","47","","1447.1","6168","1332","678","612","135","587","26","56","46","9","1178","","","","","","","","","","","","7.33","3.65","2.01","8.28","0.84",".241","1.33",".284","72.6 %","4.06","","","","","","","","","155.0","1041.1","16.8","399.0","171.8","17.5","","","","2.60","-113.02","115.62","5.31","0.25","1.08","1.04","1.22","1.38","342","2.38","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","69","96","96","","19.1 %","9.5 %","","","-0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9","3.8","-4.3","-0.5","21 - 33","9.6 %","","","","","","","4.27","30.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","114","48","3.82","496","162","22","8","48","","","1456.2","6100","1357","656","619","156","466","25","68","37","5","1080","28","114","48","3.82","496","162","22","8","48","","1456.2","6100","1357","656","619","156","466","25","68","37","5","1080","","","","","","","","","","","","6.67","2.88","2.32","8.38","0.96",".244","1.25",".277","73.8 %","4.15","","","","","","","","","184.2","1059.7","28.2","392.3","212.5","21.2","","","","16.42","-94.98","111.40","147.60","14.41","0.98","0.97","1.14","1.27","334","14.66","2.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","50","84","91","","17.7 %","7.6 %","","","-0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3","7.6","0.6","8.1","22 - 35","10.1 %","","","","","","","4.21","27.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pirates","69","93","3.91","558","163","7","2","41","","","1449.0","6217","1433","718","629","147","530","53","31","45","14","1112","27","69","93","3.91","558","163","7","2","41","","1449.0","6217","1433","718","629","147","530","53","31","45","14","1112","","","","","","","","","","","","6.91","3.29","2.10","8.90","0.91",".253","1.35",".292","71.4 %","4.08","","","","","","","","","131.4","988.1","41.0","456.0","172.4","17.5","","","","-1.03","-107.96","106.93","-3.73","0.02","1.00","0.96","1.06","1.14","395","-0.10","-0.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","57","92","95","","17.9 %","8.5 %","","","-0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8","0.5","-1.2","-0.7","21 - 34","9.4 %","","","","","","","4.29","28.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","89","74","4.19","596","163","6","3","44","","","1477.0","6362","1457","739","687","171","562","68","52","58","3","1089","31","89","74","4.19","596","163","6","3","44","","1477.0","6362","1457","739","687","171","562","68","52","58","3","1089","","","","","","","","","","","","6.64","3.42","1.94","8.88","1.04",".253","1.37",".287","72.7 %","4.42","","","","","","","","","70.0","963.5","50.3","507.9","120.3","12.0","","","","2.97","-114.90","117.87","24.45","1.87","1.06","1.03","1.24","1.38","433","1.29","1.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","70","103","104","","17.1 %","8.8 %","","","-0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","2.7","-1.8","1.0","24 - 42","8.3 %","","","","","","","4.42","28.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","92","70","4.19","594","162","5","2","53","","","1436.0","6141","1406","729","668","168","504","33","53","62","2","1025","28","92","70","4.19","594","162","5","2","53","","1436.0","6141","1406","729","668","168","504","33","53","62","2","1025","","","","","","","","","","","","6.42","3.16","2.03","8.81","1.05",".252","1.33",".282","71.4 %","4.40","","","","","","","","","114.0","935.1","42.8","496.0","156.7","15.5","","","","7.96","-104.52","112.48","74.63","7.14","1.00","0.99","1.16","1.26","432","6.47","1.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121","82","88","99","","16.7 %","8.2 %","","","-0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","5.6","2.2","7.8","22 - 43","8.5 %","","","","","","","4.40","27.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","88","74","4.29","547","163","10","5","47","","","1465.0","6352","1443","768","698","169","587","26","45","34","4","1154","29","88","74","4.29","547","163","10","5","47","","1465.0","6352","1443","768","698","169","587","26","45","34","4","1154","","","","","","","","","","","","7.09","3.61","1.97","8.86","1.04",".252","1.39",".290","71.1 %","4.36","","","","","","","","","156.1","1060.9","25.1","398.5","181.2","18.5","","","","7.68","-114.75","122.43","23.29","1.99","1.06","1.05","1.27","1.44","384","0.66","6.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","62","92","96","","18.2 %","9.2 %","","","-0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","3.2","-1.2","2.1","21 - 40","8.9 %","","","","","","","4.34","30.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
