"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Braves","101","59","3.13","630","161","3","2","57","79","14","1467.1","6131","1302","565","511","123","554","63","42","40","4","1058","29","101","59","3.13","630","161","3","2","57","14","1467.1","6131","1302","565","511","123","554","63","42","40","4","1058","1988","1448","915","152","8512","14373","22885","708","120","125","26","6.49","3.40","1.91","7.99","0.75",".235","1.26",".271","77.2 %","3.83","1.37","21.0 %","45.7 %","33.3 %","10.5 %","8.5 %","6.0 %","20.8 %","129.2","954.4","62.8","508.5","192.0","19.8","$77.3","4.43","4.11","19.86","-99.47","119.33","161.61","16.19","1.06","2.00","1.14","1.24","469","12.04","6.70","67.0 %","89.4","11.6 %","82.9","","","4.9 %","74.7","16.0 %","80.5","0.4 %","89.7","","","0.6 %","","69.7","22.2","","4.8","45.0","6.2","","0.46","0.84","","0.43","1.23","6.77","","17.1 %","70.1 %","46.4 %","48.0 %","84.3 %","78.3 %","55.3 %","59.9 %","10.0 %","79","154","66","77","91","98","17.3 %","9.0 %","4.14","4.34","-0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5","6.6","5.1","11.7","21 - 36","8.2 %","40.7 %","32.0 %","27.3 %","14.8 %","63.6 %","21.5 %","4.27","28.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","95","66","3.55","579","162","10","5","43","70","17","1437.1","6056","1349","616","567","116","523","44","36","36","2","992","29","95","66","3.55","579","162","10","5","43","17","1437.1","6056","1349","616","567","116","523","44","36","36","2","992","1852","1584","944","177","8845","14295","23140","783","108","125","19","6.21","3.27","1.90","8.45","0.73",".245","1.30",".281","74.0 %","3.80","1.17","21.6 %","42.3 %","36.2 %","11.2 %","7.3 %","5.8 %","15.2 %","122.3","1002.7","54.0","430.2","176.3","18.1","$70.6","4.25","4.27","7.84","-101.39","109.23","78.20","8.58","1.02","1.48","1.10","1.19","415","6.80","0.85","70.7 %","88.2","11.1 %","81.5","","","10.9 %","73.8","7.1 %","78.6","0.2 %","83.9","","","7.7 %","","84.4","25.5","","2.5","2.4","1.7","","0.56","1.08","","0.11","0.16","4.56","","15.4 %","69.9 %","45.3 %","50.4 %","85.7 %","80.3 %","54.9 %","57.4 %","8.9 %","70","122","49","90","95","102","16.4 %","8.6 %","4.29","4.90","-0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3","3.0","0.1","3.2","23 - 34","7.7 %","37.5 %","31.2 %","31.3 %","14.1 %","66.0 %","19.9 %","4.32","26.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angels","99","63","3.69","562","162","7","2","54","66","17","1452.1","6097","1345","644","595","169","509","24","49","52","7","999","29","99","63","3.69","562","162","7","2","54","17","1452.1","6097","1345","644","595","169","509","24","49","52","7","999","1832","1699","935","177","8778","14516","23294","851","109","74","16","6.19","3.15","1.96","8.33","1.05",".243","1.28",".269","75.6 %","4.25","1.08","20.9 %","41.0 %","38.0 %","10.4 %","9.9 %","5.9 %","21.6 %","123.1","1006.5","37.8","442.1","160.9","16.1","$62.8","4.78","4.36","11.82","-101.20","113.02","130.95","12.66","1.01","1.54","1.19","1.31","400","9.84","1.85","65.1 %","88.2","12.9 %","69.8","","","12.2 %","72.8","8.1 %","80.9","1.7 %","76.7","","","12.0 %","","28.8","14.8","","9.4","4.9","4.8","","0.22","0.56","","0.38","0.30","1.35","","17.4 %","69.0 %","45.4 %","54.4 %","85.8 %","80.3 %","54.3 %","59.8 %","8.9 %","66","132","62","83","97","100","16.4 %","8.4 %","4.29","5.27","-0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.3","7.5","4.7","12.2","20 - 39","8.0 %","42.1 %","29.6 %","28.3 %","14.1 %","64.5 %","21.5 %","4.29","27.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","103","59","3.69","570","162","9","5","48","86","21","1452.0","6158","1391","654","595","135","474","45","62","40","9","1021","28","103","59","3.69","570","162","9","5","48","21","1452.0","6158","1391","654","595","135","474","45","62","40","9","1021","2102","1494","911","185","8394","14538","22932","800","161","94","18","6.33","2.94","2.15","8.62","0.84",".247","1.28",".281","73.3 %","3.87","1.41","20.2 %","46.6 %","33.1 %","12.4 %","9.0 %","7.7 %","19.1 %","178.0","1030.9","49.2","416.2","227.2","23.1","$90.2","4.28","4.09","13.15","-105.15","118.29","109.62","10.93","1.06","1.71","1.21","1.35","408","10.62","1.78","65.1 %","86.6","6.0 %","81.0","","","12.7 %","72.3","11.9 %","76.1","4.4 %","79.8","","","5.1 %","","50.5","-0.3","","8.1","12.2","14.3","","0.36","-0.02","","0.29","0.47","1.50","","17.9 %","69.5 %","46.6 %","48.0 %","86.1 %","79.6 %","55.5 %","59.9 %","9.5 %","86","117","66","84","88","94","16.6 %","7.7 %","4.06","4.96","-0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6","3.4","0.1","3.5","24 - 37","8.9 %","43.9 %","28.7 %","27.4 %","16.3 %","62.6 %","21.1 %","4.19","26.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","92","70","3.69","585","162","4","2","56","78","15","1457.2","6139","1311","643","598","165","555","45","46","33","3","1132","32","92","70","3.69","585","162","4","2","56","15","1457.2","6139","1311","643","598","165","555","45","46","33","3","1132","1813","1537","919","204","8522","14381","22903","713","102","135","32","6.99","3.43","2.04","8.09","1.02",".237","1.28",".270","75.5 %","4.12","1.18","21.5 %","42.5 %","36.0 %","13.3 %","10.7 %","5.6 %","23.7 %","121.5","984.6","37.3","468.4","158.7","16.4","$64.1","4.43","4.11","9.38","-103.45","112.83","45.65","4.70","1.03","1.63","1.12","1.21","423","3.41","5.70","63.4 %","88.5","13.9 %","80.3","","","7.7 %","73.8","9.5 %","80.5","5.4 %","76.4","0.1 %","62.4","9.4 %","","26.6","16.6","","19.6","17.3","11.2","0.2","0.20","0.57","","1.22","0.88","1.01","0.66","18.9 %","69.0 %","46.1 %","46.8 %","84.1 %","77.1 %","54.3 %","57.8 %","10.5 %","78","125","60","96","99","98","18.4 %","9.0 %","4.08","4.40","-0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4","7.1","-4.1","2.9","25 - 45","9.4 %","40.8 %","28.0 %","31.2 %","18.0 %","62.1 %","19.9 %","4.12","30.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","97","65","3.70","634","162","4","2","42","82","21","1446.1","6135","1355","648","595","141","547","39","60","40","2","1009","30","97","65","3.70","634","162","4","2","42","21","1446.1","6135","1355","648","595","141","547","39","60","40","2","1009","1925","1542","936","167","8686","14181","22867","787","112","115","15","6.28","3.40","1.84","8.43","0.88",".245","1.32",".277","74.5 %","4.09","1.25","21.3 %","43.7 %","35.0 %","10.8 %","9.1 %","5.8 %","13.0 %","103.5","915.7","33.0","525.5","136.5","14.2","$55.3","4.62","4.30","8.58","-100.21","108.80","64.60","6.87","1.00","1.36","1.02","1.07","472","4.03","4.59","66.1 %","88.5","8.2 %","79.6","","","13.8 %","74.0","8.5 %","80.1","3.4 %","80.9","","","10.6 %","","48.9","0.9","","13.5","-7.6","21.0","","0.36","0.06","","0.48","-0.44","3.05","","16.9 %","68.9 %","45.1 %","48.6 %","86.2 %","79.7 %","54.2 %","58.5 %","9.1 %","82","126","75","92","99","102","16.5 %","8.9 %","4.27","4.90","-0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4","4.3","0.9","5.3","22 - 39","7.5 %","43.1 %","29.7 %","27.3 %","14.8 %","63.7 %","21.5 %","4.35","27.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","93","69","3.75","500","162","5","3","51","40","17","1446.0","6049","1339","665","603","146","430","29","84","31","6","1157","30","93","69","3.75","500","162","5","3","51","17","1446.0","6049","1339","665","603","146","430","29","84","31","6","1157","1949","1504","857","181","8175","14593","22768","859","134","67","21","7.20","2.68","2.69","8.33","0.91",".242","1.22",".282","72.1 %","3.74","1.30","19.9 %","45.2 %","34.9 %","12.0 %","9.7 %","6.9 %","31.3 %","189.4","990.2","26.7","450.9","216.1","22.6","$88.2","4.23","3.87","8.11","-95.50","103.62","115.81","11.20","0.94","1.58","1.05","1.13","338","12.90","-4.31","59.4 %","88.0","8.2 %","79.7","","","12.0 %","74.7","10.7 %","78.0","0.2 %","82.1","9.5 %","65.7","0.9 %","","23.8","0.7","","17.8","24.4","0.4","25.2","0.18","0.04","","0.66","1.01","1.22","1.18","18.4 %","69.1 %","46.8 %","48.2 %","83.8 %","77.7 %","56.1 %","61.6 %","10.4 %","40","93","62","82","88","89","19.1 %","7.1 %","3.72","5.35","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3","3.2","1.5","4.7","24 - 37","12.0 %","44.8 %","28.2 %","27.0 %","14.4 %","65.9 %","19.8 %","3.81","28.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","103","58","3.89","495","161","9","5","53","46","16","1452.0","6159","1441","697","627","144","403","44","48","59","2","1135","30","103","58","3.89","495","161","9","5","53","16","1452.0","6159","1441","697","627","144","403","44","48","59","2","1135","1915","1602","957","221","7998","14927","22925","897","124","99","29","7.04","2.50","2.82","8.93","0.89",".252","1.27",".293","70.7 %","3.62","1.20","21.4 %","42.8 %","35.8 %","13.8 %","9.0 %","6.5 %","29.3 %","212.6","1022.1","61.0","425.0","273.7","28.2","$110.0","4.12","3.86","11.41","-100.08","111.50","74.86","7.70","1.00","1.66","1.16","1.30","334","9.36","2.07","63.6 %","89.5","5.1 %","80.1","","","19.6 %","75.3","8.2 %","79.7","3.6 %","86.9","","","3.3 %","","34.3","6.3","","-5.6","21.2","12.4","","0.24","0.56","","-0.13","1.16","1.57","","21.0 %","70.0 %","48.3 %","50.7 %","87.0 %","80.0 %","55.6 %","60.5 %","9.7 %","46","96","50","88","83","89","18.4 %","6.5 %","3.78","5.56","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1","-1.0","-4.1","-5.1","25 - 39","11.9 %","44.5 %","27.8 %","27.6 %","17.8 %","60.7 %","21.5 %","3.83","27.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","75","86","3.91","612","161","9","6","36","62","15","1442.2","6212","1408","703","626","163","543","75","55","22","7","1107","28","75","86","3.91","612","161","9","6","36","15","1442.2","6212","1408","703","626","163","543","75","55","22","7","1107","1869","1594","912","218","8964","14774","23738","690","122","131","27","6.91","3.39","2.04","8.78","1.02",".251","1.35",".287","73.3 %","4.14","1.17","20.8 %","42.7 %","36.4 %","13.7 %","10.2 %","6.5 %","20.6 %","97.4","956.0","34.8","481.3","132.2","13.4","$52.2","4.47","4.20","1.33","-107.66","108.99","-8.71","-0.73","1.01","1.86","1.10","1.18","451","-0.57","1.88","64.4 %","89.2","11.3 %","80.9","","","13.9 %","74.1","8.4 %","80.7","2.0 %","84.6","","","1.7 %","","-44.0","42.6","","-2.1","15.2","5.8","","-0.29","1.61","","-0.07","0.77","1.25","","18.4 %","69.2 %","45.9 %","53.6 %","84.7 %","79.0 %","54.2 %","58.1 %","9.6 %","62","110","72","98","101","100","17.8 %","8.7 %","4.11","4.30","-0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3","0.7","-1.9","-1.1","21 - 37","9.1 %","44.4 %","28.4 %","27.2 %","17.0 %","61.5 %","21.5 %","4.16","29.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","98","64","3.93","584","162","14","5","40","58","19","1446.2","6067","1361","674","631","170","421","30","54","48","11","1303","32","98","64","3.93","584","162","14","5","40","19","1446.2","6067","1361","674","631","170","421","30","54","48","11","1303","1820","1481","875","166","8017","14489","22506","819","115","113","29","8.11","2.62","3.10","8.47","1.06",".243","1.23",".289","72.7 %","3.67","1.23","21.0 %","43.6 %","35.5 %","11.2 %","11.5 %","6.3 %","25.7 %","216.7","1057.0","24.7","384.3","241.3","26.4","$102.8","4.40","3.56","11.72","-100.24","111.96","85.35","8.41","1.00","1.60","1.08","1.16","422","9.91","1.81","61.0 %","89.5","21.6 %","82.5","","","5.9 %","75.7","6.5 %","79.2","5.1 %","84.9","","","6.6 %","","4.8","63.0","","-1.5","10.6","14.2","","0.04","1.39","","-0.12","0.78","1.33","","20.2 %","69.5 %","47.6 %","43.7 %","84.3 %","76.7 %","55.6 %","60.2 %","11.1 %","58","93","64","91","85","85","21.5 %","6.9 %","3.47","5.10","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9","-0.2","-2.3","-2.5","22 - 42","14.5 %","42.6 %","29.8 %","27.7 %","14.2 %","63.3 %","22.5 %","3.51","31.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
