"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Mariners","116","46","3.54","553","162","8","4","56","","","1465.0","6096","1293","627","576","160","465","28","64","40","1","1051","29","116","46","3.54","553","162","8","4","56","","1465.0","6096","1293","627","576","160","465","28","64","40","1","1051","","","","","","","","","","","","6.46","2.86","2.26","7.94","0.98",".232","1.20",".260","74.8 %","4.12","","","","","","","","","132.1","992.7","55.9","468.1","187.9","18.9","","","","17.23","-96.13","113.36","144.65","14.55","1.01","1.02","1.23","1.37","391","14.02","3.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","47","82","95","","17.2 %","7.6 %","","","-0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1","13.0","-2.8","10.3","22 - 38","9.6 %","","","","","","","4.33","27.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","102","60","3.59","578","162","13","6","44","","","1463.1","6115","1384","645","583","153","440","49","46","42","3","1117","29","102","60","3.59","578","162","13","6","44","","1463.1","6115","1384","645","583","153","440","49","46","42","3","1117","","","","","","","","","","","","6.87","2.71","2.54","8.51","0.94",".246","1.25",".282","74.0 %","3.88","","","","","","","","","183.3","1021.4","51.6","438.9","234.9","23.9","","","","10.25","-102.12","112.37","119.59","12.05","1.02","1.02","1.22","1.35","416","12.69","-2.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","70","82","88","","18.3 %","7.2 %","","","-0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.3","4.6","-0.2","4.4","23 - 36","11.1 %","","","","","","","4.15","28.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","88","74","3.59","573","162","5","5","41","","","1447.1","6089","1363","643","578","153","499","77","33","41","8","1133","29","88","74","3.59","573","162","5","5","41","","1447.1","6089","1363","643","578","153","499","77","33","41","8","1133","","","","","","","","","","","","7.05","3.10","2.27","8.48","0.95",".245","1.29",".283","74.5 %","3.96","","","","","","","","","169.7","1006.5","37.9","437.8","207.6","21.1","","","","8.08","-99.83","107.91","78.14","7.81","1.00","0.98","1.06","1.13","411","6.27","1.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","62","84","91","","18.6 %","8.2 %","","","-0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2","2.8","2.3","5.1","21 - 36","10.4 %","","","","","","","4.23","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","92","70","3.88","583","162","12","5","34","","","1459.2","6090","1352","677","629","195","461","30","59","45","6","1297","31","92","70","3.88","583","162","12","5","34","","1459.2","6090","1352","677","629","195","461","30","59","45","6","1297","","","","","","","","","","","","8.00","2.84","2.81","8.34","1.20",".243","1.24",".284","74.7 %","4.08","","","","","","","","","180.5","1000.1","19.8","454.2","200.3","21.8","","","","13.15","-99.72","112.87","108.94","10.87","1.00","1.00","1.10","1.19","421","8.79","4.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","62","86","91","","21.3 %","7.6 %","","","-0.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0","2.1","4.1","6.2","22 - 41","13.7 %","","","","","","","3.84","32.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","93","69","3.96","646","162","8","4","38","","","1435.1","6121","1389","684","631","196","526","36","72","45","6","1083","29","93","69","3.96","646","162","8","4","38","","1435.1","6121","1389","684","631","196","526","36","72","45","6","1083","","","","","","","","","","","","6.79","3.30","2.06","8.71","1.23",".251","1.33",".281","76.1 %","4.57","","","","","","","","","121.0","966.8","-5.6","462.7","115.3","12.2","","","","8.76","-99.86","108.63","78.81","8.34","0.97","0.96","1.03","1.08","484","3.72","5.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","68","92","104","","17.7 %","8.6 %","","","-0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","3.3","5.3","8.6","21 - 38","9.1 %","","","","","","","4.39","29.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cubs","88","74","4.03","614","162","8","2","41","","","1437.0","6159","1357","701","643","164","550","43","50","48","5","1344","28","88","74","4.03","614","162","8","2","41","","1437.0","6159","1357","701","643","164","550","43","50","48","5","1344","","","","","","","","","","","","8.42","3.44","2.44","8.50","1.03",".244","1.33",".294","72.7 %","3.91","","","","","","","","","169.6","970.7","50.9","460.7","220.5","22.2","","","","4.24","-106.33","110.56","41.03","4.47","1.01","1.00","1.15","1.26","452","3.79","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","67","94","89","","21.8 %","8.9 %","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.5","-1.1","-2.6","-3.7","20 - 38","12.9 %","","","","","","","3.94","33.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","95","65","4.04","523","161","7","3","57","","","1451.1","6174","1429","713","651","158","465","29","55","54","6","1266","29","95","65","4.04","523","161","7","3","57","","1451.1","6174","1429","713","651","158","465","29","55","54","6","1266","","","","","","","","","","","","7.85","2.88","2.72","8.86","0.98",".253","1.31",".300","71.5 %","3.79","","","","","","","","","171.9","971.3","77.7","472.8","249.6","26.1","","","","11.75","-102.97","114.72","56.54","5.44","1.01","0.99","1.12","1.23","362","5.82","5.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","42","92","86","","20.5 %","7.5 %","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","-2.1","-2.6","-4.7","24 - 38","13.0 %","","","","","","","3.93","30.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","82","80","4.08","559","162","6","3","48","","","1445.2","6107","1418","713","655","186","438","60","43","53","7","1191","29","82","80","4.08","559","162","6","3","48","","1445.2","6107","1418","713","655","186","438","60","43","53","7","1191","","","","","","","","","","","","7.41","2.73","2.72","8.83","1.16",".252","1.28",".290","72.4 %","4.07","","","","","","","","","156.5","979.1","13.9","459.8","170.4","17.2","","","","1.02","-105.55","106.57","-24.16","-2.41","1.00","0.98","1.11","1.20","397","-0.96","1.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","67","97","95","","19.5 %","7.2 %","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9","0.5","-1.7","-1.3","22 - 40","12.3 %","","","","","","","4.00","29.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Phillies","86","76","4.16","635","162","8","3","47","","","1445.1","6198","1417","719","668","170","527","60","70","40","6","1086","29","86","76","4.16","635","162","8","3","47","","1445.1","6198","1417","719","668","170","527","60","70","40","6","1086","","","","","","","","","","","","6.76","3.28","2.06","8.82","1.06",".253","1.35",".287","72.9 %","4.31","","","","","","","","","103.7","958.8","33.4","481.4","137.1","13.6","","","","0.65","-112.16","112.81","6.25","0.30","1.05","1.05","1.24","1.36","473","-0.24","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","87","97","100","","17.5 %","8.5 %","","","-0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4","1.2","1.6","2.8","23 - 39","9.0 %","","","","","","","4.40","28.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","82","79","4.18","585","161","3","2","48","","","1448.0","6272","1412","745","672","146","544","50","93","54","7","1259","29","82","79","4.18","585","161","3","2","48","","1448.0","6272","1412","745","672","146","544","50","93","54","7","1259","","","","","","","","","","","","7.83","3.38","2.31","8.78","0.91",".251","1.35",".299","70.7 %","3.94","","","","","","","","","163.2","898.3","21.8","542.7","185.1","19.1","","","","1.63","-112.38","114.01","23.59","2.35","1.03","0.99","1.12","1.22","424","2.44","-0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","88","92","92","","20.1 %","8.7 %","","","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6","-1.8","1.3","-0.5","23 - 38","11.4 %","","","","","","","4.11","31.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
