"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Dodgers","85","77","3.16","600","162","3","3","58","81","8","1457.2","6001","1254","556","511","127","526","35","40","50","5","1289","30","85","77","3.16","600","162","3","3","58","8","1457.2","6001","1254","556","511","127","526","35","40","50","5","1289","1929","1206","883","149","8138","14444","22582","574","128","128","18","7.96","3.25","2.45","7.74","0.78",".231","1.22",".280","77.0 %","3.56","1.60","22.0 %","48.0 %","30.0 %","12.4 %","10.5 %","6.6 %","14.1 %","169.1","983.6","94.1","470.1","263.2","27.0","$116.2","3.94","3.63","18.33","-98.39","116.72","156.54","16.20","1.05","1.56","1.14","1.25","438","13.57","3.91","62.2 %","89.8","9.5 %","80.5","","","8.5 %","75.2","13.5 %","79.3","6.4 %","79.4","","","4.7 %","","41.9","25.1","","18.2","68.4","19.1","","0.31","1.23","","0.99","2.35","1.40","","23.6 %","66.7 %","46.2 %","45.2 %","84.6 %","75.0 %","52.3 %","59.6 %","11.5 %","81","144","48","78","82","84","21.5 %","8.8 %","3.67","3.54","-0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9","3.7","1.2","4.9","19 - 38","12.7 %","42.2 %","28.4 %","29.5 %","17.1 %","61.7 %","21.2 %","3.83","32.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","96","66","3.63","526","162","16","5","48","53","12","1441.2","6078","1336","643","582","140","499","42","54","41","10","1018","27","96","66","3.63","526","162","16","5","48","12","1441.2","6078","1336","643","582","140","499","42","54","41","10","1018","2049","1423","928","202","8495","14307","22802","768","145","106","26","6.36","3.12","2.04","8.34","0.87",".242","1.27",".274","73.6 %","4.03","1.44","21.1 %","46.6 %","32.3 %","14.2 %","9.8 %","7.1 %","24.5 %","199.6","1015.9","20.0","421.1","219.6","22.4","$96.1","4.53","4.21","14.52","-95.81","110.32","137.26","12.98","0.98","1.54","1.06","1.14","365","12.81","1.97","58.4 %","87.4","8.9 %","80.9","","","10.1 %","71.5","17.2 %","77.3","4.5 %","83.1","0.9 %","66.8","10.6 %","","26.7","19.1","","0.7","24.7","39.8","-2.1","0.22","1.05","","0.04","0.70","4.39","-1.18","23.4 %","66.6 %","45.6 %","53.3 %","86.5 %","78.2 %","51.4 %","57.5 %","10.0 %","53","97","49","81","90","94","16.8 %","8.2 %","4.20","4.79","-0.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8","6.3","0.1","6.5","21 - 37","8.5 %","45.3 %","26.5 %","28.3 %","17.0 %","63.9 %","19.2 %","4.33","27.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","100","61","3.73","622","161","7","4","43","77","17","1437.1","6090","1349","638","595","136","546","34","43","68","8","1006","28","100","61","3.73","622","161","7","4","43","17","1437.1","6090","1349","638","595","136","546","34","43","68","8","1006","1895","1521","944","171","8749","14296","23045","755","109","135","30","6.30","3.42","1.84","8.45","0.85",".245","1.32",".278","74.4 %","4.09","1.25","21.7 %","43.5 %","34.9 %","11.2 %","8.9 %","5.8 %","22.2 %","108.1","947.1","41.4","485.8","149.6","15.7","$67.7","4.56","4.40","11.59","-100.40","111.99","89.77","9.33","1.03","1.75","1.17","1.27","461","6.95","4.32","69.3 %","89.2","10.8 %","82.6","","","7.1 %","75.4","12.2 %","80.4","0.7 %","83.4","","","8.6 %","","48.0","28.9","","-4.3","18.8","1.8","","0.33","1.27","","-0.29","0.74","1.22","","22.6 %","69.3 %","46.2 %","54.7 %","88.0 %","79.9 %","50.5 %","56.8 %","9.3 %","77","129","67","90","98","101","16.5 %","9.0 %","4.39","4.73","-0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2","4.7","2.7","7.4","21 - 35","7.6 %","41.8 %","28.6 %","29.6 %","16.5 %","62.0 %","21.6 %","4.45","27.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","93","69","3.76","528","162","8","3","38","48","14","1441.0","6025","1340","637","602","173","466","24","54","35","4","1001","29","93","69","3.76","528","162","8","3","38","14","1441.0","6025","1340","637","602","173","466","24","54","35","4","1001","1734","1749","938","216","8715","14595","23310","795","80","83","21","6.25","2.91","2.15","8.37","1.08",".243","1.25",".269","75.6 %","4.29","0.99","21.2 %","39.2 %","39.6 %","12.3 %","9.9 %","4.6 %","25.3 %","116.7","1025.4","46.1","412.1","162.8","16.1","$69.0","4.55","4.49","8.36","-92.89","101.25","110.56","11.24","0.94","1.47","0.98","1.03","366","9.82","-0.89","58.9 %","89.5","13.3 %","82.4","","","10.9 %","76.2","15.7 %","79.8","1.2 %","82.1","","","2.2 %","","38.0","38.0","","20.5","30.9","6.0","","0.28","1.25","","0.83","0.86","2.15","","20.0 %","67.2 %","44.8 %","49.3 %","88.1 %","79.9 %","52.6 %","59.6 %","9.0 %","48","87","46","87","98","101","16.6 %","7.7 %","4.33","4.97","-0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4","7.8","1.5","9.4","23 - 40","8.9 %","43.5 %","28.0 %","28.5 %","14.8 %","62.1 %","23.1 %","4.29","27.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cubs","88","74","3.83","582","162","13","6","36","62","15","1456.1","6227","1304","683","619","143","617","36","71","63","3","1404","28","88","74","3.83","582","162","13","6","36","15","1456.1","6227","1304","683","619","143","617","36","71","63","3","1404","1879","1231","880","147","9149","14992","24141","724","137","144","29","8.68","3.81","2.28","8.06","0.88",".235","1.32",".291","73.1 %","3.80","1.53","22.1 %","47.1 %","30.9 %","11.9 %","11.6 %","7.3 %","20.1 %","198.6","1028.7","31.0","422.5","229.6","24.1","$103.6","4.40","3.75","11.53","-101.69","113.22","69.63","7.18","1.01","1.48","1.05","1.12","420","6.44","4.95","66.1 %","92.0","13.8 %","83.4","","","11.5 %","78.4","7.3 %","82.0","1.5 %","81.2","","","1.7 %","","-12.2","56.2","","35.2","23.5","3.9","","-0.08","1.72","","1.30","1.36","1.11","","23.0 %","68.9 %","45.9 %","41.2 %","85.4 %","74.3 %","49.9 %","58.2 %","11.8 %","62","98","58","89","86","86","22.6 %","9.9 %","3.74","4.47","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8","0.0","-2.3","-2.3","21 - 37","12.6 %","42.4 %","26.5 %","31.1 %","16.9 %","61.1 %","22.0 %","3.84","34.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","84","78","3.84","614","162","7","5","42","47","13","1455.0","6230","1379","685","621","150","526","53","72","52","9","1291","28","84","78","3.84","614","162","7","5","42","13","1455.0","6230","1379","685","621","150","526","53","72","52","9","1291","1978","1317","888","148","8643","14752","23395","717","140","155","35","7.99","3.25","2.45","8.53","0.93",".245","1.31",".293","73.1 %","3.83","1.50","21.2 %","47.3 %","31.5 %","11.2 %","11.4 %","7.1 %","22.6 %","189.3","990.9","47.7","458.5","237.0","24.6","$105.8","4.60","3.81","14.70","-102.07","116.78","107.13","10.57","1.03","1.56","1.11","1.20","452","9.13","5.11","63.4 %","89.8","16.5 %","81.9","","","5.7 %","75.0","10.3 %","80.2","4.1 %","84.1","","","5.0 %","","-22.0","49.3","","13.8","4.4","33.4","","-0.16","1.34","","1.09","0.19","3.65","","24.8 %","68.2 %","46.8 %","45.6 %","85.7 %","75.3 %","50.8 %","59.7 %","11.6 %","47","136","61","85","86","88","20.7 %","8.4 %","3.75","4.44","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","-0.8","1.1","0.3","20 - 39","12.3 %","44.4 %","27.9 %","27.8 %","17.4 %","59.5 %","23.2 %","3.88","31.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","87","75","3.87","664","162","1","0","50","91","14","1450.0","6176","1350","677","623","161","565","53","74","40","4","1139","28","87","75","3.87","664","162","1","0","50","14","1450.0","6176","1350","677","623","161","565","53","74","40","4","1139","1871","1499","903","199","8768","14684","23452","805","96","125","25","7.07","3.51","2.02","8.38","1.00",".244","1.32",".281","74.4 %","4.23","1.25","21.1 %","43.8 %","35.1 %","13.3 %","10.7 %","5.1 %","20.0 %","114.6","866.8","48.0","579.0","162.6","16.4","$70.7","4.81","4.29","8.93","-103.79","112.71","87.40","8.52","1.02","1.48","1.07","1.13","502","7.80","0.95","65.9 %","90.9","14.0 %","83.6","","","8.9 %","74.1","9.0 %","78.4","0.2 %","81.3","2.0 %","65.6","3.4 %","","-6.0","33.0","","12.0","18.2","-0.6","6.2","-0.04","1.04","","0.59","0.89","-1.44","1.36","21.4 %","70.9 %","47.2 %","50.1 %","85.0 %","77.4 %","52.1 %","57.2 %","10.6 %","91","141","71","89","97","99","18.4 %","9.2 %","4.15","5.00","-0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9","3.5","2.0","5.5","24 - 34","9.3 %","43.9 %","27.8 %","28.3 %","17.2 %","58.3 %","24.6 %","4.24","30.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expos","83","79","4.01","599","162","15","2","42","67","18","1437.2","6171","1467","716","641","181","463","51","71","71","4","1028","27","83","79","4.01","599","162","15","2","42","18","1437.2","6171","1467","716","641","181","463","51","71","71","4","1028","2007","1488","1005","168","8596","14469","23065","711","130","109","28","6.44","2.90","2.22","9.18","1.13",".260","1.34",".290","73.5 %","4.35","1.35","22.3 %","44.6 %","33.1 %","11.3 %","12.2 %","6.5 %","25.7 %","155.4","983.9","-7.5","448.4","147.9","15.5","$66.7","5.20","4.23","5.33","-107.73","113.07","41.99","3.95","1.03","1.67","1.15","1.25","437","3.78","1.39","62.9 %","89.2","16.6 %","78.4","","","10.5 %","74.2","8.8 %","79.6","1.3 %","82.6","","","18.4 %","","-37.0","4.9","","10.8","17.9","7.9","","-0.31","0.16","","0.55","1.09","3.33","","25.4 %","67.1 %","46.1 %","60.4 %","85.7 %","78.6 %","49.5 %","59.8 %","9.8 %","67","115","71","91","98","97","16.7 %","7.5 %","4.16","4.45","-0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9","0.2","3.2","3.4","21 - 33","9.2 %","44.3 %","27.6 %","28.1 %","15.1 %","63.2 %","21.6 %","4.26","27.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","101","61","4.03","530","163","8","3","49","57","18","1462.0","6209","1512","716","655","145","375","36","49","33","0","1119","31","101","61","4.03","530","163","8","3","49","18","1462.0","6209","1512","716","655","145","375","36","49","33","0","1119","1958","1557","1066","180","8100","15056","23156","877","130","84","23","6.89","2.31","2.98","9.31","0.89",".261","1.29",".302","70.4 %","3.66","1.26","23.3 %","42.7 %","34.0 %","11.6 %","9.3 %","6.6 %","27.4 %","231.5","1063.2","47.3","390.4","278.8","28.6","$122.8","4.35","3.92","10.61","-100.62","111.22","65.92","6.54","0.98","1.52","1.10","1.20","368","8.42","2.44","61.9 %","90.0","8.5 %","82.2","","","14.8 %","74.4","9.7 %","78.8","5.0 %","85.1","0.0 %","72.7","1.2 %","","-14.0","14.4","","4.4","19.2","29.2","-0.4","-0.10","0.74","","0.13","0.86","2.56","-9.56","23.6 %","69.7 %","48.2 %","49.9 %","88.8 %","79.9 %","53.3 %","59.6 %","9.7 %","57","90","53","90","82","88","18.0 %","6.0 %","3.87","5.40","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5","-4.1","-2.0","-6.0","24 - 46","12.0 %","43.7 %","27.1 %","29.2 %","17.9 %","58.3 %","23.8 %","3.92","26.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marlins","91","71","4.04","557","162","7","2","36","48","14","1445.1","6165","1415","692","649","128","530","40","40","51","11","1132","27","91","71","4.04","557","162","7","2","36","14","1445.1","6165","1415","692","649","128","530","40","40","51","11","1132","1834","1544","978","186","8840","14751","23591","751","92","106","14","7.05","3.30","2.14","8.81","0.80",".253","1.35",".297","71.6 %","3.80","1.19","22.5 %","42.1 %","35.4 %","12.0 %","8.3 %","5.0 %","13.2 %","184.8","977.7","21.7","462.5","206.6","21.3","$91.6","4.25","4.21","9.38","-98.94","108.32","25.02","3.36","0.98","1.57","0.98","1.03","395","3.68","5.95","65.9 %","90.5","9.1 %","82.2","","","11.0 %","75.3","13.8 %","80.4","0.2 %","84.0","","","3.0 %","","33.8","9.5","","13.4","23.4","0.1","","0.22","0.46","","0.53","0.74","0.14","","21.6 %","70.0 %","46.6 %","48.9 %","85.9 %","77.6 %","51.6 %","58.4 %","10.4 %","48","98","47","98","90","97","18.4 %","8.6 %","4.14","4.68","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0","-2.3","-2.0","-4.3","21 - 34","9.8 %","42.8 %","27.4 %","29.8 %","17.3 %","59.8 %","23.0 %","4.18","29.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
