"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Braves","103","59","3.65","556","162","9","1","45","","","1471.0","6218","1398","661","596","142","507","55","26","34","3","1197","27","103","59","3.65","556","162","9","1","45","","1471.0","6218","1398","661","596","142","507","55","26","34","3","1197","","","","","","","","","","","","7.32","3.10","2.36","8.55","0.87",".246","1.30",".289","73.3 %","3.85","","","","","","","","","229.2","1051.2","51.0","414.2","280.2","27.8","","","","13.47","-101.46","114.93","103.58","10.35","1.02","1.02","1.18","1.31","394","11.89","1.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128","49","81","84","","19.3 %","8.2 %","","","-0.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9","2.5","1.6","4.1","22 - 36","11.1 %","","","","","","","4.21","29.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","100","62","3.77","544","162","16","4","42","","","1467.1","6233","1387","676","615","176","543","48","49","39","10","1198","29","100","62","3.77","544","162","16","4","42","","1467.1","6233","1387","676","615","176","543","48","49","39","10","1198","","","","","","","","","","","","7.35","3.33","2.21","8.51","1.08",".246","1.32",".284","75.2 %","4.27","","","","","","","","","189.1","1054.8","28.0","406.7","217.1","21.7","","","","7.66","-114.76","122.42","117.02","11.45","1.08","1.04","1.21","1.35","382","8.44","-1.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","63","81","92","","19.2 %","8.7 %","","","-0.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.2","4.0","5.4","9.5","20 - 37","10.5 %","","","","","","","4.28","30.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","97","65","3.84","501","162","12","5","48","","","1458.2","6199","1485","675","622","128","478","17","40","54","0","1204","27","97","65","3.84","501","162","12","5","48","","1458.2","6199","1485","675","622","128","478","17","40","54","0","1204","","","","","","","","","","","","7.43","2.95","2.52","9.16","0.79",".261","1.35",".312","72.8 %","3.69","","","","","","","","","219.1","1054.5","51.6","400.2","270.7","26.7","","","","10.57","-104.08","114.65","78.40","7.73","1.02","0.99","1.15","1.28","339","6.59","3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","51","89","84","","19.4 %","7.7 %","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6","-6.1","5.0","-1.1","22 - 35","11.7 %","","","","","","","4.14","29.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reds","96","67","3.99","544","163","6","3","55","","","1462.0","6221","1309","711","648","190","636","46","45","65","3","1081","28","96","67","3.99","544","163","6","3","55","","1462.0","6221","1309","711","648","190","636","46","45","65","3","1081","","","","","","","","","","","","6.65","3.92","1.70","8.06","1.17",".236","1.33",".262","74.2 %","4.74","","","","","","","","","101.7","929.8","40.8","527.3","142.4","13.7","","","","7.12","-107.14","114.26","85.33","8.08","1.01","1.00","1.12","1.22","382","4.85","2.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","66","86","101","","17.4 %","10.2 %","","","-0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8","11.5","0.6","12.1","22 - 32","7.2 %","","","","","","","4.69","30.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","94","68","4.00","574","162","6","1","50","","","1436.2","6120","1396","718","638","160","469","25","55","28","0","1131","29","94","68","4.00","574","162","6","1","50","","1436.2","6120","1396","718","638","160","469","25","55","28","0","1131","","","","","","","","","","","","7.09","2.94","2.41","8.75","1.00",".249","1.30",".287","70.9 %","4.10","","","","","","","","","186.3","891.3","40.9","537.9","227.2","23.5","","","","12.47","-101.37","113.84","103.47","9.44","1.00","0.99","1.10","1.19","412","10.92","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129","66","81","88","","18.5 %","7.7 %","","","-0.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.7","4.5","-1.3","3.2","22 - 37","10.8 %","","","","","","","4.25","28.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","98","64","4.16","521","162","6","4","50","","","1439.2","6233","1402","731","665","158","581","27","57","49","4","1111","29","98","64","4.16","521","162","6","4","50","","1439.2","6233","1402","731","665","158","581","27","57","49","4","1111","","","","","","","","","","","","6.95","3.63","1.91","8.76","0.99",".251","1.38",".288","72.0 %","4.35","","","","","","","","","169.2","1000.1","57.2","434.9","226.4","21.2","","","","7.29","-104.58","111.86","60.81","5.91","0.99","0.95","1.06","1.15","359","3.72","3.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","51","88","91","","17.8 %","9.3 %","","","-0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9","4.8","-3.1","1.7","23 - 41","8.5 %","","","","","","","4.52","29.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","97","66","4.27","602","163","5","3","49","","","1456.2","6232","1372","711","691","167","617","53","52","38","4","1172","30","97","66","4.27","602","163","5","3","49","","1456.2","6232","1372","711","691","167","617","53","52","38","4","1172","","","","","","","","","","","","7.24","3.81","1.90","8.48","1.03",".247","1.37",".285","73.6 %","4.39","","","","","","","","","118.0","962.6","48.8","488.0","166.9","15.9","","","","7.22","-104.81","112.03","67.01","6.78","0.99","0.98","1.12","1.22","439","3.97","3.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","61","97","98","","18.8 %","9.9 %","","","-0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9","3.6","2.4","6.0","24 - 40","8.9 %","","","","","","","4.48","31.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pirates","78","83","4.35","586","161","8","0","34","","","1433.1","6272","1444","782","692","160","633","54","51","54","10","1083","27","78","83","4.35","586","161","8","0","34","","1433.1","6272","1444","782","692","160","633","54","51","54","10","1083","","","","","","","","","","","","6.80","3.97","1.71","9.07","1.00",".258","1.45",".296","70.7 %","4.51","","","","","","","","","134.6","963.1","21.2","465.1","155.7","14.9","","","","2.41","-110.30","112.71","-6.50","-0.78","1.01","1.00","1.11","1.20","424","-0.27","2.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","70","94","98","","17.3 %","10.1 %","","","-0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3","0.2","1.2","1.4","23 - 31","7.2 %","","","","","","","4.68","29.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","77","85","4.45","561","162","8","3","37","","","1452.2","6317","1438","787","718","192","594","26","62","53","9","1077","28","77","85","4.45","561","162","8","3","37","","1452.2","6317","1438","787","718","192","594","26","62","53","9","1077","","","","","","","","","","","","6.67","3.68","1.81","8.91","1.19",".254","1.40",".284","71.6 %","4.72","","","","","","","","","133.0","999.9","-7.2","446.0","125.8","12.6","","","","-0.34","-114.67","114.33","-8.50","-0.68","1.01","0.97","1.05","1.11","399","-1.68","1.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","65","104","103","","17.1 %","9.4 %","","","-0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2","4.7","-5.1","-0.4","21 - 37","7.7 %","","","","","","","4.63","29.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Padres","74","88","4.47","564","162","5","3","43","","","1420.1","6147","1454","781","705","193","529","48","35","73","5","1078","29","74","88","4.47","564","162","5","3","43","","1420.1","6147","1454","781","705","193","529","48","35","73","5","1078","","","","","","","","","","","","6.83","3.35","2.04","9.21","1.22",".260","1.40",".292","70.8 %","4.57","","","","","","","","","103.8","973.1","23.1","441.4","126.9","12.0","","","","-1.95","-107.49","105.54","-36.86","-3.47","0.98","0.95","1.07","1.15","402","-3.27","1.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","64","105","103","","17.5 %","8.6 %","","","-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","1.3","-2.5","-1.2","21 - 37","8.9 %","","","","","","","4.47","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
