"","Rank","Movie","ReleaseDate","Distributor","Genre","MPAA","2018 Gross","Tickets Sold"
"503","503","The Paris Opera","10/18/2017","Film Movement","Documentary","Not Rated","$2,766","308"
"504","504","Straight Into a Storm","6/15/2018","Abramorama Films","Documentary","Not Rated","$2,684","299"
"505","505","12 Days","3/16/2018","Distrib Films","Documentary","Not Rated","$2,633","293"
"506","506","ACORN and the Firestorm","4/6/2018","First Run Features","Documentary","Not Rated","$2,621","292"
"507","507","Shadowman","12/1/2017","Film Movement","Documentary","Not Rated","$2,356","262"
"508","508","The Cage Fighter","2/2/2018","IFC Films","Reality","Not Rated","$2,027","225"
"509","509","Félicité","10/27/2017","Strand","Drama","Not Rated","$2,016","224"
"510","510","West of the Jordan River","1/26/2018","Kino Lorber","Documentary","Not Rated","$1,926","214"
"511","511","The Fencer","7/21/2017","CFI","Drama","Not Rated","$1,794","199"
"512","512","Permanent","12/15/2017","Magnolia Pictures","Comedy","PG-13","$1,650","183"
"513","513","Rat Film","9/15/2017","Cinema Guild","Documentary","Not Rated","$1,627","181"
"514","514","Mama Africa","6/7/2002","","","Not Rated","$1,606","179"
"515","515","El Pacto","10/26/2018","Sony Pictures","Horror","R","$1,453","161"
"516","516","Marrowbone","4/13/2018","Magnet Pictures","Horror","R","$1,377","153"
"517","517","30 Years of Garbage: The Garbage Pail Kids Story","7/28/2017","Indican Pictures","Drama","Not Rated","$935","104"
"518","518","Two Men Went to War","3/26/2004","Indican Pictures","Comedy","PG","$925","103"
"519","519","Bad Lucky Goat","10/13/2017","Film Movement","Drama","Not Rated","$835","93"
"520","520","Billionaire Boys Club","8/17/2018","Vertical Entertainment","Drama","R","$618","68"
"521","521","To Die is Hard","12/17/2010","Driving With Our Eyes Shut","Comedy","Not Rated","$580","64"
"522","522","Higher Power","5/11/2018","Magnet Pictures","Thriller/Suspense","R","$528","58"
"523","523","Mobile Homes","11/16/2018","Uncork'd Entertainment","Drama","Not Rated","$449","50"
"524","524","Midget Zombie Takeover","2/8/2013","Driving With Our Eyes Shut","Comedy","Not Rated","$402","44"
"525","Total Gross of All Movies","Total Gross of All Movies","Total Gross of All Movies","Total Gross of All Movies","Total Gross of All Movies","Total Gross of All Movies","$10,709,357,748",NA
"526","Total Tickets Sold","Total Tickets Sold","Total Tickets Sold","Total Tickets Sold","Total Tickets Sold","Total Tickets Sold","Total Tickets Sold","1,193,908,074"
