"","Rank","Movie","ReleaseDate","Distributor","Genre","MPAA","2018 Gross","Tickets Sold"
"175","175","Bad Samaritan","5/4/2018","Electric Entertainment","Thriller/Suspense","R","$3,424,744","381,799"
"176","176","The Disaster Artist","12/1/2017","A24","Comedy","R","$3,258,821","363,302"
"177","177","The Leisure Seeker","3/9/2018","Sony Pictures Classics","Drama","R","$3,224,126","359,434"
"178","178","7 Days in Entebbe","3/16/2018","Focus Features","Thriller/Suspense","PG-13","$3,189,220","355,542"
"179","179","The Sisters Brothers","9/21/2018","Annapurna Pictures","Western","R","$3,122,669","348,123"
"180","180","Sgt. Stubby: An American Hero","4/13/2018","Fun Academy Motion Pictures","Adventure","PG","$3,054,285","340,500"
"181","181","Whitney","7/6/2018","Roadside Attractions","Documentary","R","$3,026,558","337,408"
"182","182","Pandas","4/6/2018","IMAX Films","Documentary","G","$2,892,597","322,474"
"183","183","American Animals","6/1/2018","The Orchard","Thriller/Suspense","R","$2,853,526","318,118"
"184","184","God Bless the Broken Road","9/7/2018","Freestyle Releasing","Drama","PG","$2,846,258","317,308"
"185","185","Thoroughbreds","3/9/2018","Focus Features","Drama","R","$2,830,775","315,582"
"186","186","La Boda de Valentina","2/9/2018","Lionsgate","Romantic Comedy","R","$2,783,739","310,338"
"187","187","Bharat Ane Nenu","4/20/2018","Great India Films","Thriller/Suspense","Not Rated","$2,663,090","296,888"
"188","188","You Were Never Really Here","4/6/2018","Amazon Studios","Drama","R","$2,523,610","281,338"
"189","189","Mary and the Witch’s Flower","1/19/2018","GKIDS","Adventure","PG","$2,418,404","269,610"
"190","190","The Rider","4/13/2018","Sony Pictures Classics","Drama","R","$2,411,353","268,824"
"191","191","Hearts Beat Loud","6/8/2018","Gunpowder & Sky","Drama","PG-13","$2,386,254","266,026"
"192","192","Suspiria","10/26/2018","Amazon Studios","Horror","R","$2,366,096","263,778"
"193","193","Papillon","8/24/2018","Bleecker Street","Drama","R","$2,335,896","260,412"
"194","194","Daddy’s Home 2","11/10/2017","Paramount Pictures","Comedy","PG-13","$2,238,062","249,505"
"195","195","Murder on the Orient Express","11/10/2017","20th Century Fox","Drama","PG-13","$2,206,919","246,033"
"196","196","Puzzle","7/27/2018","Sony Pictures Classics","Drama","R","$2,031,242","226,448"
"197","197","A Fantastic Woman","2/2/2018","Sony Pictures Classics","Drama","R","$2,019,554","225,145"
"198","198","Pope Francis—A Man of His Word","5/18/2018","Focus Features","Documentary","PG","$2,008,385","223,900"
"199","199","Assassination Nation","9/21/2018","Neon","Thriller/Suspense","R","$2,005,142","223,538"
"200","200","Detective Chinatown 2","2/16/2018","Warner Bros.","Action","R","$1,983,984","221,179"
"201","201","Dunkirk","7/21/2017","Warner Bros.","Action","PG-13","$1,695,119","188,976"
"202","202","Padman","2/9/2018","Sony Pictures","Comedy","PG-13","$1,662,927","185,387"
"203","203","The Bookshop","8/24/2018","Greenwich","Drama","PG","$1,600,786","178,459"
"204","204","Operation Red Sea","2/23/2018","Well Go USA","Action","Not Rated","$1,543,547","172,078"
"205","205","A Private War","11/2/2018","Aviron Pictures","Drama","R","$1,468,107","163,668"
"206","206","Don’t Worry, He Won’t Get Far on Foot","7/13/2018","Amazon Studios","Drama","R","$1,441,705","160,725"
"207","207","Finding Your Feet","3/30/2018","Roadside Attractions","Comedy","PG-13","$1,418,682","158,158"
"208","208","Little Women","9/28/2018","Pinnacle Peak","Drama","PG-13","$1,379,497","153,790"
"209","209","The Front Runner","11/6/2018","Sony Pictures","Drama","R","$1,357,318","151,317"
"210","210","102 Not Out","5/4/2018","Sony Pictures","Comedy","PG","$1,339,909","149,376"
"211","211","Baaghi 2","3/30/2018","FIP","Action","Not Rated","$1,319,579","147,110"
"212","212","Along With The Gods: The Two Worlds","12/22/2017","Well Go USA","Action","Not Rated","$1,266,947","141,242"
"213","213","McQueen","7/20/2018","Bleecker Street","Documentary","R","$1,257,275","140,164"
"214","214","The Seagull","5/11/2018","Sony Pictures Classics","Drama","PG-13","$1,252,960","139,683"
"215","215","Beautifully Broken","8/24/2018","ArtAffects","Drama","PG-13","$1,209,645","134,854"
"216","216","Lean on Pete","4/6/2018","A24","Drama","R","$1,163,056","129,660"
"217","217","Raid","3/16/2018","Eros Entertainment","Drama","Not Rated","$1,010,385","112,640"
"218","218","The Insult","1/12/2018","Cohen Media Group","Drama","R","$1,000,038","111,486"
"219","219","Yellow Submarine","11/13/1968","United Artists","Musical","G","$993,385","110,745"
"220","220","Tiger Zinda Hai","12/22/2017","Yash Raj Films","Action","Not Rated","$988,690","110,221"
"221","221","Film Stars Don’t Die in Liverpool","12/29/2017","Sony Pictures Classics","Drama","R","$979,074","109,149"
"222","222","The Miseducation of Cameron Post","8/3/2018","FilmRise","Drama","Not Rated","$905,111","100,904"
"223","223","The Star","11/17/2017","Sony Pictures","Adventure","PG","$884,046","98,555"
"224","224","Wildlife","10/19/2018","IFC Films","Drama","PG-13","$876,450","97,709"
"225","225","The Cakemaker","6/29/2018","Strand","Drama","Not Rated","$874,584","97,501"
"226","226","Beast","5/11/2018","Roadside Attractions","Drama","R","$800,365","89,226"
"227","227","1945","11/1/2017","Menemsha Entertainment","Drama","Not Rated","$760,602","84,793"
"228","228","The Party","2/16/2018","Roadside Attractions","Drama","R","$749,827","83,592"
"229","229","On Chesil Beach","5/18/2018","Bleecker Street","Drama","R","$745,972","83,162"
"230","230","Walk with me","7/18/2017","Gathr Films","Documentary","Not Rated","$726,593","81,002"
"231","231","The Catcher Was A Spy","6/22/2018","IFC Films","Drama","R","$714,205","79,621"
"232","232","The Little Stranger","8/31/2018","Focus Features","Drama","R","$713,143","79,503"
"233","233","Monster Hunt 2","2/16/2018","Lionsgate","Adventure","Not Rated","$706,153","78,723"
"234","234","Boundaries","6/22/2018","Sony Pictures Classics","Drama","R","$701,828","78,241"
"235","235","Blaze","8/17/2018","IFC Films","Drama","R","$699,114","77,939"
"236","236","Maria by Callas","11/2/2018","Sony Pictures Classics","Documentary","PG","$685,741","76,448"
"237","237","Nothing to Lose","5/10/2018","Swen Group","Drama","PG","$679,531","75,755"
"238","238","Bombshell: The Hedy Lamarr Story","11/24/2017","Zeitgeist","Documentary","Not Rated","$664,289","74,056"
"239","239","Ex Files 3: Return of the Exes","12/29/2017","China Lion Film Distribution","Comedy","Not Rated","$656,871","73,229"
"240","240","Lizzie","9/14/2018","Roadside Attractions","Drama","R","$642,157","71,589"
"241","241","Itzhak","3/9/2018","Greenwich","Documentary","Not Rated","$618,626","68,966"
"242","242","Foxtrot","3/2/2018","Sony Pictures Classics","Drama","R","$617,972","68,893"
"243","243","The Florida Project","10/6/2017","A24","Drama","R","$607,067","67,677"
"244","244","Marshall","10/13/2017","Open Road","Drama","PG-13","$583,341","65,032"
"245","245","The Favourite","11/23/2018","Fox Searchlight","Drama","R","$574,310","64,025"
"246","246","Loveless","2/16/2018","Sony Pictures Classics","Drama","R","$564,073","62,884"
"247","247","Get Out","2/24/2017","Universal","Horror","R","$556,525","62,042"
"248","248","Fireworks","7/3/2018","Fathom Events","Drama","Not Rated","$525,280","58,559"
"249","249","Monsters and Men","9/28/2018","Neon","Drama","R","$500,101","55,752"
"250","250","Border","10/26/2018","Neon","Thriller/Suspense","R","$494,325","55,108"
"251","251","Bilal: A New Breed of Hero","2/2/2018","Vertical Entertainment","Adventure","PG-13","$490,973","54,735"
"252","252","At Eternity’s Gate","11/16/2018","CBS Films","Drama","PG-13","$489,584","54,580"
"253","253","Loving Vincent","9/22/2017","Good Deed Entertainment","Drama","PG-13","$465,429","51,887"
"254","254","Final Portrait","3/23/2018","Sony Pictures Classics","Drama","R","$460,859","51,377"
"255","255","The Children Act","9/14/2018","A24","Drama","R","$457,803","51,037"
"256","256","The Happy Prince","10/10/2018","Sony Pictures Classics","Drama","R","$450,699","50,245"
"257","257","Condorito: The Movie","1/12/2018","Lionsgate","Adventure","PG","$447,719","49,912"
"258","258","A Bag of Marbles","3/23/2018","Self Distributed","Drama","PG","$409,862","45,692"
"259","259","The Night is Short, Walk on Girl","8/21/2018","GKIDS","Romantic Comedy","Not Rated","$406,490","45,316"
"260","260","The Oath","10/12/2018","Roadside Attractions","Black Comedy","R","$401,464","44,756"
"261","261","We The Animals","8/17/2018","The Orchard","Drama","R","$400,746","44,676"
"262","262","The Gospel According to Andre","5/25/2018","Magnolia Pictures","Documentary","PG-13","$400,713","44,672"
"263","263","Leaning into the Wind","3/9/2018","Magnolia Pictures","Documentary","PG","$400,530","44,652"
"264","264","Blade Runner 2049","10/6/2017","Warner Bros.","Thriller/Suspense","R","$399,647","44,553"
"265","265","Burning","10/26/2018","Well Go USA","Thriller/Suspense","Not Rated","$398,483","44,423"
"266","266","Soorma","7/13/2018","Sony Pictures","Drama","PG-13","$382,104","42,597"
"267","267","Oh Lucy!","3/2/2018","Film Movement","Comedy","Not Rated","$375,393","41,849"
"268","268","Grace Jones: Bloodlight and Bami","4/13/2018","Kino Lorber","Documentary","Not Rated","$375,208","41,829"
"269","269","Believer","6/8/2018","Well Go USA","Thriller/Suspense","Not Rated","$365,639","40,762"
"270","270","Mountain","5/11/2018","Greenwich","Documentary","PG","$364,429","40,627"
"271","271","Faces, Places","10/6/2017","Cohen Media Group","Documentary","PG","$347,796","38,773"
"272","272","Shine","10/5/2018","GVN Releasing","Drama","R","$333,388","37,167"
"273","273","Flower","3/16/2018","The Orchard","Drama","R","$328,188","36,587"
"274","274","Youth","12/15/2017","China Lion Film Distribution","Drama","Not Rated","$312,241","34,809"
"275","275","In The Fade","12/27/2017","Magnolia Pictures","Drama","R","$310,556","34,621"
"276","276","Damsel","6/22/2018","Magnolia Pictures","Western","R","$305,136","34,017"
"277","277","But Deliver Us From Evil","2/9/2018","Indican Pictures","Horror","Not Rated","$285,169","31,791"
"278","278","The Square","10/27/2017","Magnolia Pictures","Drama","R","$278,921","31,094"
"279","279","Kings","4/27/2018","The Orchard","Drama","R","$274,320","30,581"
"280","280","The Endless","4/6/2018","Well Go USA","Thriller/Suspense","Not Rated","$272,020","30,325"
"281","281","Science Fair","9/14/2018","National Geographic Entertainment","Documentary","PG","$269,810","30,079"
"282","282","The King","6/22/2018","Oscilloscope Pictures","Documentary","R","$259,291","28,906"
"283","283","What They Had","10/19/2018","Bleecker Street","Drama","R","$257,869","28,747"
"284","284","Back to Burgundy","3/23/2018","Music Box Films","Drama","Not Rated","$257,610","28,719"
"285","285","London Fields","10/26/2018","GVN Releasing","Thriller/Suspense","R","$252,676","28,169"
"286","286","Generation Wealth","7/20/2018","Amazon Studios","Documentary","R","$237,709","26,500"
"287","287","Skate Kitchen","8/10/2018","Magnolia Pictures","Drama","R","$236,799","26,398"
"288","288","Meditation Park","3/9/2018","Mongrel Media","Drama","Not Rated","$235,849","26,293"
"289","289","Borg vs McEnroe","4/13/2018","Neon","Drama","R","$231,346","25,791"
"290","290","Happy End","12/22/2017","Sony Pictures Classics","Drama","R","$230,054","25,647"
"291","291","MFKZ","10/11/2018","GKIDS","Adventure","R","$229,423","25,576"
"292","292","Jane","10/20/2017","Abramorama Films","Documentary","PG","$220,790","24,614"
"293","293","A Bad Moms Christmas","11/1/2017","STX Entertainment","Comedy","R","$218,671","24,378"
"294","294","Dark Money","7/13/2018","PBS Distribution","Documentary","Not Rated","$217,932","24,295"
"295","295","Getting Grace","3/23/2018","Hannover House","Comedy","PG-13","$217,812","24,282"
"296","296","Agent Mr. Chan","2/23/2018","China Lion Film Distribution","Comedy","Not Rated","$208,351","23,227"
"297","297","Keep The Change","3/16/2018","Kino Lorber","Romantic Comedy","Not Rated","$202,788","22,607"
"298","298","Gemini","3/30/2018","Neon","Thriller/Suspense","R","$200,340","22,334"
"299","299","Zama","4/13/2018","Strand","Action","Not Rated","$200,181","22,316"
"300","300","Little Pink House","4/20/2018","Dada Films","Drama","Not Rated","$199,069","22,192"
"301","301","The Guilty","10/19/2018","Magnolia Pictures","Thriller/Suspense","R","$195,139","21,754"
"302","302","The Final Year","1/19/2018","Magnolia Pictures","Documentary","Not Rated","$191,900","21,393"
"303","303","The Monkey King 3: Kingdom of Women","2/16/2018","Well Go USA","Action","Not Rated","$187,074","20,855"
"304","304","Goldbuster","1/5/2018","Well Go USA","Comedy","Not Rated","$186,135","20,750"
"305","305","Summer 1993","5/25/2018","Oscilloscope Pictures","Drama","Not Rated","$185,903","20,724"
"306","306","Jane and Emma","10/12/2018","Excel Entertainment","Drama","PG","$184,795","20,601"
"307","307","The Guardians","5/4/2018","Music Box Films","Drama","R","$177,331","19,769"
"308","308","Always at the Carlyle","5/11/2018","Good Deed Entertainment","Documentary","PG-13","$174,251","19,425"
"309","309","Double Lover","2/14/2018","Cohen Media Group","Drama","Not Rated","$167,093","18,627"
"310","310","Boom for Real: The Late Teenage Years of Jean-Michel Basquiat","5/11/2018","Magnolia Pictures","Documentary","Not Rated","$166,616","18,574"
"311","311","Only the Brave","10/20/2017","Sony Pictures","Drama","PG-13","$158,763","17,699"
"312","312","Bad Reputation","9/28/2018","Magnolia Pictures","Documentary","R","$148,568","16,562"
"313","313","Journey’s End","3/16/2018","Good Deed Entertainment","Drama","R","$148,275","16,530"
"314","314","Ghost Stories","4/20/2018","IFC Midnight","Horror","Not Rated","$135,095","15,060"
"315","315","Shoplifters","11/23/2018","Magnolia Pictures","Drama","R","$132,260","14,744"
"316","316","Eating Animals","6/15/2018","Sundance Selects","Documentary","Not Rated","$130,608","14,560"
"317","317","Support The Girls","8/24/2018","Magnolia Pictures","Comedy","R","$129,124","14,395"
"318","318","The Young Karl Marx","2/23/2018","The Orchard","Drama","Not Rated","$125,659","14,008"
"319","319","Geostorm","10/20/2017","Warner Bros.","Action","PG-13","$121,378","13,531"
"320","320","Till the End of the World","2/2/2018","China Lion Film Distribution","Adventure","Not Rated","$118,352","13,194"
"321","321","Ryuichi Sakamoto: Coda","7/6/2018","MUBI","Documentary","Not Rated","$117,460","13,094"
"322","322","‘85 The Greatest Team in Football History","1/29/2018","Fathom Events","Documentary","Not Rated","$115,463","12,872"
"323","323","Gonjiam: Haunted Asylum","4/13/2018","Well Go USA","Horror","Not Rated","$115,252","12,848"
"324","324","Bodied","11/2/2018","Independent Artists","Comedy","R","$113,956","12,704"
"325","325","Love After Love","3/30/2018","IFC Films","Drama","Not Rated","$113,074","12,605"
"326","326","Roman J. Israel, Esq.","11/17/2017","Sony Pictures","Drama","PG-13","$111,438","12,423"
"327","327","Lu Over The Wall","5/11/2018","GKIDS","Adventure","PG","$110,168","12,281"
"328","328","In Between","1/5/2018","Film Movement","Drama","Not Rated","$107,977","12,037"
"329","329","Love, Cecil","6/29/2018","Zeitgeist","Documentary","Not Rated","$106,057","11,823"
"330","330","Detective K: Secret of the Living Dead","2/16/2018","Well Go USA","Comedy","Not Rated","$104,012","11,595"
"331","331","Ismael’s Ghost","3/23/2018","Magnolia Pictures","Thriller/Suspense","R","$102,510","11,428"
"332","332","The Man Who Invented Christmas","11/22/2017","Bleecker Street","Adventure","PG","$100,351","11,187"
"333","333","All About Nina","9/28/2018","The Orchard","Drama","R","$100,335","11,185"
"334","334","Revenge","5/11/2018","Neon","Action","R","$99,197","11,058"
"335","335","Champion","5/11/2018","Well Go USA","Drama","Not Rated","$97,470","10,866"
"336","336","Mary Shelley","5/25/2018","IFC Films","Drama","PG-13","$97,321","10,849"
"337","337","Wonder Wheel","12/1/2017","Amazon Studios","Drama","PG-13","$96,631","10,772"
"338","338","Wings of Desire (1987) (Re-Release)","10/19/2018","Janus Films","Drama","PG-13","$92,741","10,339"
"339","339","The Breadwinner","11/17/2017","GKIDS","Drama","PG-13","$92,074","10,264"
"340","340","John McEnroe: In the Realm of Perfection","8/22/2018","Oscilloscope Pictures","Documentary","Not Rated","$90,964","10,140"
"341","341","The Third Murder","7/20/2018","Film Movement","Thriller/Suspense","Not Rated","$89,315","9,957"
"342","342","Nostalgia","2/16/2018","Bleecker Street","Drama","R","$86,301","9,621"
"343","343","Sweet Country","4/6/2018","Samuel Goldwyn Films","Western","R","$85,556","9,538"
"344","344","How to Talk to Girls at Parties","5/25/2018","A24","Comedy","R","$84,809","9,454"
"345","345","Custody","6/29/2018","Kino Lorber","Drama","Not Rated","$83,882","9,351"
"346","346","Claire’s Camera","3/9/2018","Cinema Guild","Drama","Not Rated","$83,418","9,299"
"347","347","Godard Mon Amour","4/20/2018","Cohen Media Group","Drama","R","$82,264","9,171"
"348","348","Have a Nice Day","1/26/2018","Strand","Comedy","Not Rated","$79,326","8,843"
"349","349","On The Seventh Day","6/8/2018","Cinema Guild","Drama","Not Rated","$78,270","8,725"
"350","350","The Riot Act","9/14/2018","Hannover House","Thriller/Suspense","PG-13","$75,506","8,417"
"351","351","Tehran Taboo","2/14/2018","Kino Lorber","Drama","Not Rated","$74,758","8,334"
"352","352","The Last Suit","9/21/2018","Outsider","Drama","Not Rated","$73,548","8,199"
"353","353","Nico, 1988","8/1/2018","Magnolia Pictures","Drama","R","$73,304","8,172"
"354","354","Bye Bye Germany","4/13/2018","Film Movement","Drama","Not Rated","$72,366","8,067"
"355","355","Wastelander","1/12/2018","Indican Pictures","Action","Not Rated","$70,045","7,808"
"356","356","Parchi","1/12/2018","Atlas Distribution","Comedy","Not Rated","$69,431","7,740"
"357","357","Tom of Finland","10/13/2017","Kino Lorber","Drama","Not Rated","$69,409","7,737"
"358","358","Outside In","3/30/2018","The Orchard","Drama","Not Rated","$68,492","7,635"
"359","359","Where Hands Touch","9/14/2018","Vertical Entertainment","Drama","PG-13","$67,743","7,552"
"360","360","Under the Tree","7/6/2018","Magnolia Pictures","Black Comedy","Not Rated","$67,596","7,535"
"361","361","The Doctor From India","4/20/2018","Zeitgeist","Documentary","Not Rated","$67,136","7,484"
"362","362","Beuys","1/17/2018","Kino Lorber","Documentary","Not Rated","$65,410","7,292"
"363","363","My Friend Dahmer","11/3/2017","FilmRise","Drama","R","$64,972","7,243"
"364","364","Nancy","6/8/2018","Samuel Goldwyn Films","Thriller/Suspense","Not Rated","$64,011","7,136"
"365","365","The Gardener","3/30/2018","Gravitas Ventures","Documentary","Not Rated","$62,734","6,993"
"366","366","Never Goin’ Back","8/3/2018","A24","Comedy","R","$61,271","6,830"
"367","367","Viper Club","10/26/2018","Roadside Attractions","Drama","R","$60,607","6,756"
"368","368","Where is Kyra?","4/6/2018","Great Point Media","Drama","R","$59,717","6,657"
"369","369","Bomb City","2/9/2018","Gravitas Ventures","Drama","Not Rated","$59,329","6,614"
"370","370","Westwood: Punk, Icon, Activist","6/8/2018","Greenwich","Documentary","Not Rated","$58,799","6,555"
"371","371","In Search of Greatness","11/2/2018","Self Distributed","Documentary","PG-13","$58,090","6,476"
"372","372","Woman Walks Ahead","6/29/2018","A24","Western","R","$57,528","6,413"
"373","373","Ramen Heads","3/16/2018","Gunpowder & Sky","Documentary","Not Rated","$57,346","6,393"
"374","374","Django","1/5/2018","Under the Milky Way","Documentary","Not Rated","$56,556","6,305"
"375","375","Island of Lemurs: Madagascar","4/4/2014","Warner Bros.","Documentary","G","$56,381","6,285"
"376","376","The Great Silence (1969) (Re-Release)","3/30/2018","Film Movement","Western","Not Rated","$53,074","5,916"
"377","377","Wanda (1971) (Re-Release)","7/20/2018","Janus Films","Drama","GP","$52,927","5,900"
"378","378","Before We Vanish","2/2/2018","Super LTD","Drama","R","$52,087","5,806"
"379","379","Black 47","9/28/2018","IFC Films","Drama","R","$50,037","5,578"
"380","380","The China Hustle","3/30/2018","Magnolia Pictures","Documentary","R","$48,650","5,423"
"381","381","Big Sonia","11/17/2017","Argot Pictures","Documentary","Not Rated","$46,704","5,206"
"382","382","Bigger","10/12/2018","Freestyle Releasing","Drama","PG-13","$46,382","5,170"
"383","383","Summer in the Forest","3/23/2018","Abramorama Films","Documentary","Not Rated","$45,542","5,077"
"384","384","Wait For Your Laugh","11/3/2017","Vitagraph Films","Documentary","Not Rated","$45,037","5,020"
"385","385","A Kid Like Jake","6/1/2018","IFC Films","Drama","R","$44,824","4,997"
"386","386","Hale County This Morning, This Evening","9/14/2018","Cinema Guild","Documentary","Not Rated","$44,796","4,993"
"387","387","The Other Side of Hope","12/1/2017","Janus Films","Comedy","Not Rated","$43,509","4,850"
"388","388","The Sacrifice","11/7/2014","Kino Lorber","Drama","Not Rated","$42,789","4,770"
"389","389","Western","2/16/2018","Cinema Guild","Drama","Not Rated","$41,042","4,575"
"390","390","Submission","3/2/2018","Great Point Media","Drama","R","$39,985","4,457"
"391","391","Namiya","1/5/2018","China Lion Film Distribution","Drama","Not Rated","$39,584","4,412"
"392","392","Humor Me","1/12/2018","Shout! Factory","Comedy","Not Rated","$38,419","4,283"
"393","393","Gray Matter","5/18/2018","Indican Pictures","Horror","Not Rated","$38,034","4,240"
"394","394","The Heart of Nuba","4/6/2018","Abramorama Films","Documentary","Not Rated","$37,880","4,222"
"395","395","Golden Exits","2/9/2018","Sony Pictures","Drama","R","$37,801","4,214"
"396","396","Krystal","4/13/2018","Paladin","Drama","R","$37,516","4,182"
"397","397","Girls vs. Gangsters","3/9/2018","Well Go USA","Comedy","Not Rated","$37,115","4,137"
"398","398","Rodin","6/1/2018","Cohen Media Group","Drama","Not Rated","$36,720","4,093"
"399","399","Mind Game (2004)","2/16/2018","GKIDS","Adventure","Not Rated","$36,613","4,081"
"400","400","Racer and the Jailbird","5/4/2018","Neon","Drama","R","$36,522","4,071"
"401","401","Le Corbeau","2/23/1948","Westport International","Drama","Not Rated","$36,089","4,023"
"402","402","The Big Bad Fox & Other Tales","10/19/2018","GKIDS","Comedy","G","$35,787","3,989"
"403","403","The Road Movie","1/19/2018","Oscilloscope Pictures","Documentary","Not Rated","$35,757","3,986"
"404","404","24 Frames: Before and After Lumiere","2/2/2018","Janus Films","Drama","Not Rated","$34,483","3,844"
"405","405","No Date, No Signature","8/1/2018","Distrib Films","Drama","Not Rated","$33,879","3,776"
"406","406","God’s Own Country","10/25/2017","Samuel Goldwyn Films","Drama","Not Rated","$32,808","3,657"
"407","407","Soller’s Point","5/11/2018","Oscilloscope Pictures","Drama","R","$32,608","3,635"
"408","408","Just Getting Started","12/8/2017","Broad Green Pictures","Comedy","PG-13","$32,608","3,635"
"409","409","BPM (Beats per Minute)","10/20/2017","The Orchard","Drama","Not Rated","$32,562","3,630"
"410","410","Saving Brinton","9/22/2017","Barn Owl","Documentary","Not Rated","$31,630","3,526"
"411","411","Young Lions of Gypsy","1/19/2018","IFC Films","Drama","Not Rated","$30,988","3,454"
"412","412","Good Manners","7/27/2018","Distrib Films","Horror","Not Rated","$30,925","3,447"
"413","413","Poor Boy","7/13/2018","Indican Pictures","Western","Not Rated","$30,820","3,435"
"414","414","Cold Water","4/27/2018","Janus Films","Drama","Not Rated","$30,209","3,367"
"415","415","Memories of Underdevelopment (1968) (Re-Release)","1/12/2018","Janus Films","Drama","Not Rated","$29,647","3,305"
"416","416","Same Kind of Different as Me","10/20/2017","Pure Flix Entertainment","Drama","PG-13","$29,599","3,299"
"417","417","Belle de Jour","4/10/1968","Miramax","Drama","R","$26,331","2,935"
"418","418","The Misandrists","5/25/2018","Cartilage Films","Comedy","Not Rated","$26,123","2,912"
"419","419","Ridge Runners","1/19/2018","Indican Pictures","Drama","Not Rated","$26,019","2,900"
"420","420","Birdboy: The Forgotten Children","12/15/2017","GKIDS","Horror","Not Rated","$25,628","2,857"
"421","421","The Day After","5/11/2018","Cinema Guild","Drama","Not Rated","$24,776","2,762"
"422","422","Vazante","1/12/2018","Music Box Films","Drama","Not Rated","$23,884","2,662"
"423","423","Death House","3/2/2018","Hannover House","Horror","R","$23,833","2,656"
"424","424","The Divine Order","10/27/2017","Kino Lorber","Drama","Not Rated","$23,797","2,652"
"425","425","Let There Be Light","10/27/2017","Atlas Distribution","Drama","PG-13","$23,403","2,609"
"426","426","The Judge","4/13/2018","Idle Wild Films","Documentary","Not Rated","$22,257","2,481"
"427","427","Half the Picture","6/8/2018","Gravitas Ventures","Documentary","Not Rated","$21,595","2,407"
"428","428","The Happys","3/16/2018","Indican Pictures","Comedy","Not Rated","$21,108","2,353"
"429","429","The Workshop","3/23/2018","Strand","Drama","Not Rated","$20,590","2,295"
"430","430","The Devil and Father Amorth","4/20/2018","The Orchard","Documentary","Not Rated","$20,449","2,279"
"431","431","The Cured","2/23/2018","IFC Films","Horror","R","$20,261","2,258"
"432","432","Apocalypsis","3/2/2018","Indican Pictures","Thriller/Suspense","Not Rated","$20,052","2,235"
"433","433","Eight Hours Don’t Make a Day (1972) (Re-Release)","3/14/2018","Janus Films","Drama","Not Rated","$19,987","2,228"
"434","434","One Sings, the Other Doesn’t (1977) (Re-Release)","6/1/2018","Janus Films","Drama","Not Rated","$19,919","2,220"
"435","435","Active Measures","8/31/2018","Super LTD","Documentary","PG-13","$19,862","2,214"
"436","436","That Summer","5/18/2018","Sundance Selects","Documentary","Not Rated","$19,563","2,180"
